Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.8,Fl_4.13,Fl_4.21,Fl_4.28,Fl_5.5,Fl_5.12,Fl_5.20,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1,BO_201,BO_130,R,1,FALSE,FALSE,FALSE,7,7,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,1,1,BO_201,BO_130,R,2,FALSE,FALSE,FALSE,7,7,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,1,1,BO_201,BO_130,R,3,FALSE,FALSE,FALSE,7,7,NA,2021-12-28,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,1,1,BO_201,BO_130,R,4,FALSE,FALSE,FALSE,7,7,NA,2021-12-28,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,1,1,BO_201,BO_130,R,5,FALSE,FALSE,FALSE,7,7,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,1,1,BO_201,BO_130,R,6,FALSE,FALSE,FALSE,7,7,NA,2021-12-28,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,1,1,BO_201,BO_130,R,7,TRUE,TRUE,TRUE,7,7,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,2022-05-25,NA,2022-04-08,15,22,0,37,0,12,NA,NA,NA,NA,NA,NA,NA,NA,4,19.75,NA,NA,8,43.3,NA,NA,NA,NA,NA,NA,NA,NA,4.9375,NA,5.4125,NA,NA,5.175,0.3358757210636098,0.8,29.6,194.14,2022-04-01,116,141,135,2022-05-25,54,1,1,1,1
1,1,1,BO_201,BO_130,R,8,FALSE,FALSE,FALSE,7,7,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,1,2,BO_192,BO_166,R,1,FALSE,FALSE,FALSE,6,6,NA,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,1,2,BO_192,BO_166,R,2,FALSE,FALSE,FALSE,6,6,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,2022-04-21,NA,2022-05-05,2022-05-12,2022-05-20,NA,2022-05-12,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-13,128,153,147,2022-05-20,37,1,1,0,0
