Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_diam_mm_SEG,corolla_area_mm2,corolla_area_mm2_SEG,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,LMA_SEG,skel_dryweight_mg,skel_dryweight_mg_SEG,d13C,d13C_SEG,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,1,6,1,1,BO_201,BO_130,G1,R,1,FALSE,FALSE,FALSE,7,7,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,23.962,NA,351.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.14,NA,-26.11,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA
2022,1,6,1,1,BO_201,BO_130,G1,R,2,FALSE,FALSE,FALSE,7,7,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,23.962,NA,351.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.14,NA,-26.11,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA
2022,1,6,1,1,BO_201,BO_130,G1,R,3,FALSE,FALSE,FALSE,7,7,2021-12-28,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,23.962,NA,351.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.14,NA,-26.11,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
2022,1,6,1,1,BO_201,BO_130,G1,R,4,FALSE,FALSE,FALSE,7,7,2021-12-28,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,23.962,NA,351.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.14,NA,-26.11,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
2022,1,6,1,1,BO_201,BO_130,G1,R,5,FALSE,FALSE,FALSE,7,7,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,23.962,NA,351.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.14,NA,-26.11,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA
2022,1,6,1,1,BO_201,BO_130,G1,R,6,FALSE,FALSE,FALSE,7,7,2021-12-28,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,23.962,NA,351.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.14,NA,-26.11,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
2022,1,6,1,1,BO_201,BO_130,G1,R,7,TRUE,TRUE,TRUE,7,7,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-05-25,54,116,141,135,23.962,23.962,351.332,351.332,NA,NA,NA,NA,NA,NA,NA,NA,194.14,194.14,-26.11,-26.11,3.38,15,22,37,0,12,5.175,0.3358757210636098,0.8,29.6,30,1,1,1,1,1
2022,1,6,1,1,BO_201,BO_130,G1,R,8,FALSE,FALSE,FALSE,7,7,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,23.962,NA,351.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.14,NA,-26.11,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
2022,2,4,1,1,BO_192,BO_166,G1,R,1,FALSE,FALSE,FALSE,6,6,NA,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.87,2.46,19.865853658536583,0.05033763044812769,NA,NA,NA,-27.76,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA
2022,2,4,1,1,BO_192,BO_166,G1,R,2,FALSE,FALSE,FALSE,6,6,2021-12-06,2021-11-11,2021-11-17,2022-04-13,2022-05-20,37,128,153,147,NA,NA,NA,NA,48.87,2.46,19.865853658536583,0.05033763044812769,48.87,2.46,19.865853658536583,0.05033763044812769,NA,NA,NA,-27.76,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
