Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.8,Fl_4.13,Fl_4.21,Fl_4.28,Fl_5.5,Fl_5.12,Fl_5.20,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1,BO_201,BO_130,R,7,TRUE,TRUE,TRUE,7,7,NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,2022-05-25,NA,2022-04-08,15,22,0,37,0,12,0.8,29.6,2022-04-01,116,135,2022-05-25,54,1,1,1,1
1,1,2,BO_192,BO_166,R,6,TRUE,TRUE,TRUE,6,6,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-13,1,0,0,1,0,0,0,0,2022-04-13,128,147,2022-05-20,37,1,1,1,0
1,1,3,BO_005,BO_019,n,7,TRUE,FALSE,TRUE,7,7,NA,NA,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-08,0,0,0,0,0,NA,0,0,2022-04-08,NA,142,2022-04-08,0,0,1,0,0
1,1,4,BO_070,BO_066,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,NA,NA,NA,2022-04-13,1,0,0,1,0,0,0,0,2022-04-13,128,147,2022-05-12,29,1,1,1,0
1,1,5,BO_038,BO_137,R,5,TRUE,TRUE,TRUE,5,"5,8",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,NA,2022-04-21,2022-04-28,2022-05-05,2022-05-12,NA,NA,NA,2022-04-21,0,NA,NA,0,NA,NA,0,0,2022-04-21,136,155,2022-05-12,21,1,1,0,0
1,1,5,BO_038,BO_137,R,8,FALSE,TRUE,TRUE,5,"5,8",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-08,2,3,0,5,0,5,2.5,12.5,2022-04-08,123,142,2022-05-20,42,1,1,1,1
1,1,6,BO_170,BO_045,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-15,2021-11-17,NA,NA,NA,NA,NA,NA,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-21,0,0,0,0,0,NA,0,0,2022-04-21,127,155,2022-05-20,29,1,1,0,0
1,1,7,BO_001,BO_048,R,3,TRUE,TRUE,TRUE,3,"3,8",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,NA,NA,NA,2022-04-08,5,0,0,5,0,0,0,0,2022-04-08,123,142,2022-05-12,34,1,1,1,0
1,1,7,BO_001,BO_048,R,8,FALSE,TRUE,TRUE,3,"3,8",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,2022-04-21,NA,2022-05-05,2022-05-12,2022-05-20,NA,NA,NA,9,0,0,9,0,24,2.6666666666666665,24,2022-04-08,123,142,2022-05-20,42,1,1,1,1
1,1,9,BO_033,BO_099,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,NA,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-28,5,7,0,12,0,8,1.6,19.200000000000003,2022-04-21,136,155,2022-05-20,29,1,1,1,1
1,1,10,BO_065,BO_115,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,NA,NA,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-28,0,0,0,0,0,NA,0,0,2022-04-28,143,162,2022-05-20,22,1,1,0,0
1,1,11,BO_106,BO_104,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,0,0
