Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,1,HR_008,HR_058,1,2021-12-06,2021-11-10,2021-11-19
1,1,1,HR_008,HR_058,2,2021-12-06,2021-11-10,2021-11-19
1,1,1,HR_008,HR_058,3,2021-12-06,2021-11-10,2021-11-19
1,1,1,HR_008,HR_058,4,2021-12-06,2021-11-10,2021-11-19
1,1,1,HR_008,HR_058,5,2021-12-17,2021-11-10,2021-11-19
1,1,1,HR_008,HR_058,6,2021-12-17,2021-11-10,2021-11-19
1,1,1,HR_008,HR_058,7,2021-12-06,2021-11-10,2021-11-19
1,1,1,HR_008,HR_058,8,2021-12-06,2021-11-10,2021-11-19
1,1,2,HR_196,HR_183,1,2021-12-06,2021-11-10,2021-11-19
1,1,2,HR_196,HR_183,2,2021-12-06,2021-11-10,2021-11-19
1,1,2,HR_196,HR_183,3,2021-12-06,2021-11-10,2021-11-19
1,1,2,HR_196,HR_183,4,2021-12-17,2021-11-10,2021-11-19
1,1,2,HR_196,HR_183,5,2021-12-06,2021-11-10,2021-11-19
1,1,2,HR_196,HR_183,6,2021-12-06,2021-11-10,2021-11-19
1,1,2,HR_196,HR_183,7,2021-12-06,2021-11-10,2021-11-19
1,1,2,HR_196,HR_183,8,2021-12-06,2021-11-10,2021-11-19
1,1,3,HR_085,HR_176,1,2021-12-06,2021-11-10,2021-11-19
1,1,3,HR_085,HR_176,2,2021-12-06,2021-11-10,2021-11-19
1,1,3,HR_085,HR_176,3,2021-12-06,2021-11-10,2021-11-19
1,1,3,HR_085,HR_176,4,2021-12-06,2021-11-10,2021-11-19
1,1,3,HR_085,HR_176,5,2021-12-06,2021-11-10,2021-11-19
1,1,3,HR_085,HR_176,6,2021-12-06,2021-11-10,2021-11-19
1,1,3,HR_085,HR_176,7,2021-11-19,2021-11-10,2021-11-19
1,1,3,HR_085,HR_176,8,2021-12-06,2021-11-10,2021-11-19
1,1,4,HR_006,HR_146,1,2021-12-06,2021-11-10,2021-11-19
1,1,4,HR_006,HR_146,2,2021-12-06,2021-11-10,2021-11-19
1,1,4,HR_006,HR_146,3,2021-12-06,2021-11-10,2021-11-19
1,1,4,HR_006,HR_146,4,2021-11-19,2021-11-10,2021-11-19
1,1,4,HR_006,HR_146,5,2021-12-06,2021-11-10,2021-11-19
1,1,4,HR_006,HR_146,6,2021-12-06,2021-11-10,2021-11-19
