Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_diam_mm_SEG,corolla_area_mm2,corolla_area_mm2_SEG,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,LMA_SEG,skel_dryweight_mg,skel_dryweight_mg_SEG,d13C,d13C_SEG,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,1,3,1,1,HR_008,HR_058,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,115,141,132,22.031,22.031,288.273,288.273,NA,NA,NA,NA,33.764,1.54,21.924675324675327,0.045610709631560234,123.09,123.09,-29.94,-29.94,2.7,28,1,29,1,11,3.7845833333333334,0.8262491945421075,0.39285714285714285,11.392857142857142,11,1,1,1,1,1
2022,2,3,1,1,HR_196,HR_183,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,115,141,132,19.275,19.275,233.033,233.033,NA,NA,NA,NA,35.62,2.36,15.09322033898305,0.06625491297024144,NA,NA,-29.64,-29.64,3.12,16,0,16,1,11,3.638095238095238,1.2841215001746853,0.6875,11,11,1,1,1,1,1
2022,3,1,1,1,HR_085,HR_176,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-11-19,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,125,134,125,23.45,23.45,328.36,328.36,NA,NA,NA,NA,21.408,1.45,14.764137931034485,0.06773168908819133,28.08,28.08,-30.28,-30.28,2.38,8,3,11,4,5,3.1288888888888886,0.43909418545877343,0.625,6.875,7,1,1,1,1,1
2022,4,5,1,1,HR_006,HR_146,G1,R,8,TRUE,TRUE,TRUE,8,"6,3,8",2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,108,134,125,20.472,20.472,237.198,237.198,NA,NA,NA,NA,65.649,4.03,16.290074441687345,0.06138707367972094,NA,NA,NA,-30.57,NA,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,5,3,1,1,HR_108,HR_177,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-20,27,108,134,125,24.48,24.48,329.487,329.487,NA,NA,NA,NA,45.701,2.62,17.443129770992368,0.057329161287499174,39.97,39.97,-31.13,-31.13,1.83,14,0,14,1,37,1.9298655913978493,0.07325778319067092,2.642857142857143,37,37,1,1,1,1,1
2022,6,7,1,1,HR_074,HR_115,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,115,141,132,NA,20.43,NA,290.636,NA,NA,NA,NA,41.022,3.02,13.583443708609272,0.07361903368923992,62.48,62.48,-30.2,-30.2,1.8,12,1,13,0,24,2.3595833333333336,NA,2,26,26,1,1,1,1,1
2022,7,4,1,1,HR_180,HR_036,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-14,14,115,141,132,NA,21.01,NA,271.008,NA,NA,NA,NA,39.708,2.78,14.283453237410072,0.07001108089050065,31.12,31.12,-30.99,-30.99,2.06,8,1,9,0,8,3.395,NA,1,9,9,1,1,1,1,1
2022,8,1,1,1,HR_160,HR_033,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,108,134,125,19.99,19.99,261.504,261.504,NA,NA,NA,NA,23.203,1.82,12.748901098901099,0.0784381330000431,87.33,87.33,-30.49,-30.49,3.09,18,6,24,0,21,2.721111111111111,0.5342584568965025,1.1666666666666667,28,28,1,1,1,1,1
2022,9,5,1,1,HR_070,HR_061,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,108,134,125,23.06,23.06,382.745,382.745,NA,NA,NA,NA,39.274,2.38,16.501680672268908,0.06059988796659368,61.48,61.48,-30.93,-30.93,2.02,19,6,25,0,22,4.270396825396825,0.5710708370969536,1.1578947368421053,28.947368421052634,29,1,1,1,1,1
2022,10,2,1,1,HR_133,HR_158,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,115,141,132,14.89,14.89,143.178,143.178,NA,NA,NA,NA,49.817,4.03,12.36153846153846,0.0808960796515246,85.29,85.29,-30.84,-30.84,3.37,27,6,33,2,69,2.1606,0.4604679359086799,2.5555555555555554,84.33333333333333,84,1,1,1,1,1
2022,11,3,1,1,HR_108,HR_175,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-20,20,115,141,132,NA,20.09,NA,259.314,NA,NA,NA,NA,32.396,2.05,15.802926829268294,0.06327941721200148,51.98,51.98,-30.93,-30.93,1.72,9,4,13,0,14,2.3935714285714282,NA,1.5555555555555556,20.22222222222222,20,1,1,1,1,1
2022,12,3,1,1,HR_164,HR_005,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-05-05,35,115,141,132,23.835,23.835,289.23,289.23,NA,NA,NA,NA,17.231,1.09,15.808256880733945,0.06325808136498172,86.19,86.19,-30.21,-30.21,3.44,25,4,29,0,42,3.4295238095238094,NA,1.68,48.72,49,1,1,1,1,1
2022,13,1,1,1,HR_171,HR_057,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-20,20,115,141,132,23.514,23.514,326.999,326.999,NA,NA,NA,NA,28.997,1.94,14.946907216494846,0.06690347277304548,21.18,21.18,-30.59,-30.59,2.46,2,3,5,3,2,2.855,NA,1,5,5,1,1,1,1,1
2022,14,3,1,1,HR_196,HR_170,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,115,141,132,23.471,23.471,290.695,290.695,NA,NA,NA,NA,27.191,1.24,21.92822580645161,0.045603324629472995,61.78,61.78,-30.44,-30.44,2.88,25,2,27,9,53,2.5844152046783626,0.1625185628371298,2.12,57.24,57,1,1,1,1,1
2022,15,1,1,1,HR_148,HR_114,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-04-20,13,122,148,139,19.156,19.156,227.766,227.766,NA,NA,NA,NA,12.188,0.79,15.427848101265823,0.06481785362651789,24.14,24.14,-30.23,-30.23,1.69,8,0,8,2,5,4.184,NA,0.625,5,5,1,1,1,1,1
2022,16,6,1,1,HR_069,HR_108,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,122,148,139,19.131,19.131,244.052,244.052,NA,NA,NA,NA,22.542,1.43,15.763636363636365,0.06343713956170703,32.08,32.08,-31.08,-31.08,2.89,13,0,13,0,21,3.101380952380952,0.3477458118509321,1.6153846153846154,21,21,1,1,1,1,1
2022,17,6,1,1,HR_175,HR_196,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,122,148,139,22.906,22.906,316.274,316.274,NA,NA,NA,NA,47.675,2.41,19.782157676348547,0.05055060304142633,120.03,120.03,-31.51,-31.51,2.01,28,0,28,0,62,2.05463963963964,0.571473945740179,2.2142857142857144,62,62,1,1,1,1,1
2022,18,6,1,1,HR_131,HR_046,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-05-05,28,122,148,139,20.159,20.159,244.543,244.543,33.773,1.97,17.143654822335026,0.05833061913362745,33.773,1.97,17.143654822335026,0.05833061913362745,59.37,59.37,-31.02,-31.02,2.73,16,1,17,0,6,3.45,0.5515432893255069,0.375,6.375,6,1,1,1,1,1
2022,19,4,1,1,HR_095,HR_020,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-17,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,111,148,139,NA,20.992,NA,289.896,NA,NA,NA,NA,34.761,2.29,15.179475982532752,0.06587842697275682,14.53,14.53,-30.91,-30.91,2.14,4,0,4,0,7,1.9157142857142857,NA,1.75,7,7,1,1,1,1,1
