Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_3.10,Fl_3.16,Fl_3.24,Fl_3.31,Fl_4.7,Fl_4.14,Fl_4.20,Fl_4.26,Fl_5.4,Fl_5.11,Fl_5.20,Fl_5.24,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1,HR_008,HR_058,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,28,1,0,29,1,11,0.39285714285714285,11.392857142857142,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,1,2,HR_196,HR_183,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,16,0,0,16,1,11,0.6875,11,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,1,3,HR_085,HR_176,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-19,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,NA,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,8,3,0,11,4,5,0.625,6.875,2022-03-24,125,125,2022-04-26,33,1,1,1,1
1,1,4,HR_006,HR_146,R,3,FALSE,TRUE,TRUE,8,"6,3,8",NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,14,1,0,15,6,0,0,0,2022-03-24,108,125,2022-04-26,33,1,1,1,0
1,1,4,HR_006,HR_146,R,6,FALSE,TRUE,TRUE,8,"6,3,8",NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,0,NA,NA,0,NA,NA,0,0,2022-03-24,108,125,2022-04-26,33,1,1,0,0
1,1,4,HR_006,HR_146,R,8,TRUE,TRUE,TRUE,8,"6,3,8",NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,0,NA,NA,0,NA,NA,0,0,2022-03-24,108,125,2022-04-26,33,1,1,0,0
1,1,5,HR_108,HR_177,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-24,14,0,0,14,1,37,2.642857142857143,37,2022-03-24,108,125,2022-04-20,27,1,1,1,1
1,1,6,HR_074,HR_115,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,12,1,0,13,0,24,2,26,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,1,7,HR_180,HR_036,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-03-31,8,1,0,9,0,8,1,9,2022-03-31,115,132,2022-04-14,14,1,1,1,1
1,1,8,HR_160,HR_033,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,18,6,0,24,0,21,1.1666666666666667,28,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,1,9,HR_070,HR_061,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,19,6,0,25,0,22,1.1578947368421053,28.947368421052634,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,1,10,HR_133,HR_158,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,27,6,0,33,2,69,2.5555555555555554,84.33333333333333,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,1,11,HR_108,HR_175,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,9,4,0,13,0,14,1.5555555555555556,20.22222222222222,2022-03-31,115,132,2022-04-20,20,1,1,1,1
1,1,12,HR_164,HR_005,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-03-31,25,4,0,29,0,42,1.68,48.72,2022-03-31,115,132,2022-05-05,35,1,1,1,1
1,1,13,HR_171,HR_057,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,2,3,0,5,3,2,1,5,2022-03-31,115,132,2022-04-20,20,1,1,1,1
1,1,14,HR_196,HR_170,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,25,2,0,27,9,53,2.12,57.24,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,1,15,HR_148,HR_114,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,8,0,0,8,2,5,0.625,5,2022-04-07,122,139,2022-04-20,13,1,1,1,1
1,1,16,HR_069,HR_108,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,13,0,0,13,0,21,1.6153846153846154,21,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,17,HR_175,HR_196,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,28,0,0,28,0,62,2.2142857142857144,62,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,18,HR_131,HR_046,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,2022-05-16,2022-04-07,16,1,0,17,0,6,0.375,6.375,2022-04-07,122,139,2022-05-05,28,1,1,1,1
1,1,19,HR_095,HR_020,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-17,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,NA,4,0,0,4,0,7,1.75,7,2022-04-07,111,139,2022-04-26,19,1,1,1,1
1,1,20,HR_108,HR_016,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-17,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,7,0,0,7,0,0,0,0,2022-04-07,111,139,2022-04-26,19,1,1,1,0
1,1,21,HR_200,HR_010,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,6,3,0,9,0,1,0.16666666666666666,1.5,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,22,HR_164,HR_041,n,3,TRUE,FALSE,TRUE,3,3,NA,NA,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-14,2,0,0,2,0,8,4,8,2022-04-14,NA,146,2022-04-20,6,0,1,1,1
1,1,23,HR_168,HR_148,R,5,TRUE,TRUE,TRUE,5,"5,6",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,5,1,0,6,0,2,0.4,2.4000000000000004,2022-04-14,129,146,2022-04-26,12,1,1,1,1
1,1,23,HR_168,HR_148,R,6,FALSE,TRUE,TRUE,5,"5,6",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,NA,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,7,0,0,7,0,1,0.14285714285714285,1,2022-04-14,129,146,2022-04-26,12,1,1,1,1
1,1,24,HR_121,HR_105,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,NA,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-20,3,1,0,4,0,13,4.333333333333333,17.333333333333332,2022-04-20,135,152,2022-05-05,15,1,1,1,1
1,1,25,HR_062,HR_134,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,7,0,0,7,0,2,0.2857142857142857,2,2022-04-14,129,146,2022-04-26,12,1,1,1,1
1,1,28,HR_005,HR_040,R,3,FALSE,TRUE,TRUE,5,"5,3,7",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-07,10,1,0,11,0,0,0,0,2022-04-07,122,139,2022-05-05,28,1,1,1,0
1,1,28,HR_005,HR_040,R,5,TRUE,TRUE,TRUE,5,"5,3,7",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,5,1,0,6,0,2,0.4,2.4000000000000004,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,28,HR_005,HR_040,R,7,FALSE,TRUE,TRUE,5,"5,3,7",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,15,1,0,16,0,12,0.8,12.8,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,29,HR_149,HR_007,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-26,7,2,0,9,0,8,1.1428571428571428,10.285714285714285,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,30,HR_131,HR_113,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,NA,NA,NA,2022-04-20,27,0,0,27,0,6,0.2222222222222222,6,2022-04-07,122,139,2022-05-11,34,1,1,1,1
