Donor,Recipient,mean_surv_to_flowering,mean_fruit_prod,mean_est_seed_prod_R,mean_surv_x_est_seed_prod_R,total_seed_count
HR_002,HR_056,0.9583333333333334,12.333333333333334,2.677593853367737,2.9100762155838438,80
HR_002,HR_059,0.9166666666666666,14.333333333333334,0.7468836096094694,0.7850332670958062,51
HR_002,HR_071,0.9583333333333334,16.333333333333332,0.41455703473201716,0.46069480684756337,19
HR_005,HR_040,0.7083333333333334,16.666666666666668,0.6564458657234951,0.5397433816230438,36
HR_005,HR_149,1,13.333333333333334,0.16621601997175375,0.1995837964104465,6
HR_005,HR_180,0.6666666666666666,7.666666666666667,1.2705409907645144,1.1493614029278822,54
HR_006,HR_142,0.7916666666666666,10,0.8121383801399495,0.814326621946224,47
HR_006,HR_146,0.8333333333333334,8.666666666666666,0.5018410699139491,0.35249020976371914,15
HR_006,HR_162,0.875,8.333333333333334,0.24175364256024873,0.24155938070240549,12
HR_008,HR_012,0.9583333333333334,8,0.8122399463051719,0.825895994415047,39
HR_008,HR_042,0.8333333333333334,9.666666666666666,0.07221884758622496,0.0684107845765935,4
HR_008,HR_058,1,12.333333333333334,0.32910481415309933,0.4001551503089331,11
HR_027,HR_043,0.9166666666666666,9.666666666666666,0.9367948175131007,0.9900858030923793,50
HR_027,HR_119,0.9166666666666666,13.666666666666666,2.3990442860463568,2.523221858773243,139
HR_027,HR_145,0.9166666666666666,3.6666666666666665,0.14300386158124168,0.15774385037431482,8
HR_034,HR_017,0.9583333333333334,13.333333333333334,0.2437378164317362,0.26491505532804566,12
HR_034,HR_080,0.7083333333333334,11.666666666666666,0.40704653407089736,0.2937571245085203,25
HR_034,HR_112,0.7916666666666666,20,3.2540548470537463,2.874805837295402,120
HR_053,HR_038,0.875,23.666666666666668,1.5969242905407126,1.6457307740461582,42
HR_053,HR_092,0.6666666666666666,10,1.622399121262951,1.3387887199002175,47
HR_053,HR_169,0.875,22.666666666666668,1.8173303733794242,1.9021054686430263,88
HR_057,HR_006,0.9166666666666666,5,0.22556562644431835,0.21936526949624993,10
HR_057,HR_110,1,8.666666666666666,0.9638036471872119,1.0862312044598557,45
HR_057,HR_147,0.7083333333333334,6,0.7413199446403504,0.5849309720605149,22
HR_059,HR_011,0.9583333333333334,18.666666666666668,1.5152943097319078,1.6571973083641713,99
HR_059,HR_155,1,16.333333333333332,1.2096021196440088,1.4189419435709933,61
HR_059,HR_166,0.9583333333333334,3.6666666666666665,0.26551636323387684,0.2871705223832512,13
HR_062,HR_116,0.875,22.666666666666668,0.5257810077430808,0.4560652501404602,19
HR_062,HR_134,0.6666666666666666,5,0.4346920519945044,0.37308555131364146,13
HR_062,HR_136,0.9583333333333334,8,0.15765174977128954,0.1737206724486425,6
HR_064,HR_019,0.875,28,1.2713800724193538,1.1753946762803997,56
HR_064,HR_028,0.875,37,3.6800697496496992,3.7104961486046903,204
HR_064,HR_190,0.9583333333333334,11.666666666666666,0.8132821994389222,0.8957527104390773,42
HR_066,HR_078,0.8333333333333334,10,0.9732966772345817,0.8266707406864848,53
HR_066,HR_087,0.9583333333333334,14,0.9352941301807588,1.0108121803730816,43
HR_066,HR_137,0.8333333333333334,23.666666666666668,2.237348825338896,1.6568835683573515,94
HR_069,HR_108,0.7916666666666666,16,0.5563351280671321,0.39537051465249146,32
HR_069,HR_133,0.9583333333333334,7.333333333333333,0.8598688596631252,0.9345769974542102,32
HR_069,HR_156,0.9166666666666666,24,0.9769787552421325,0.9881665011691336,53
HR_070,HR_061,0.875,14.333333333333334,1.0822016042235316,1.1264886304367085,34
HR_070,HR_123,0.875,14.333333333333334,0.7629904461769637,0.7794914885162151,39
HR_070,HR_165,1,14,1.2774536369939045,1.4344249590586375,54
HR_074,HR_066,0.8333333333333334,10,1.1674323905842858,1.0411787401083352,59
