Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_area_mm2,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,skel_dryweight_mg,d13C,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,1,1,1,1,AC_150,AC_200,G1,n,10,TRUE,FALSE,TRUE,10,10,2021-12-05,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,149,188,180,26.379,436.972,95.372,5.3,17.994716981132076,0.05557186595646521,19.74,-31.9,3.9,3,2,5,28,18,0.9972222222222222,NA,6,30,30,1,1,1,1,1
2022,2,3,1,1,AC_102,AC_191,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,20.875,247.868,69.747,3.56,19.591853932584268,0.0510416218618722,6.23,-32.29,2.39,1,3,4,23,0,NA,NA,0,0,0,1,1,1,1,0
2022,3,2,1,1,AC_177,AC_107,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,22.24,305.431,47.468,2.89,16.42491349480969,0.06088312126063874,50.33,-30.95,1.72,8,6,14,34,26,1.7273030303030303,0.32522626438937624,3.25,45.5,46,1,1,1,1,1
2022,4,4,1,1,AC_094,AC_109,G1,R,1,FALSE,TRUE,TRUE,4,"1,3,4",2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,22.373,299.692,88.441,4.69,18.85735607675906,0.05302970341809794,NA,-30.65,2.2,8,22,30,0,39,1.7848076923076923,0.17160937651104294,4.875,146.25,146,1,1,1,1,1
2022,4,4,1,1,AC_094,AC_109,G1,R,3,FALSE,TRUE,TRUE,4,"1,3,4",2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,23.335,298.597,88.441,4.69,18.85735607675906,0.05302970341809794,NA,-30.65,2.2,11,14,25,0,59,1.61483908045977,0.0912086471089131,5.363636363636363,134.0909090909091,134,1,1,1,1,1
2022,4,4,1,1,AC_094,AC_109,G1,R,4,TRUE,TRUE,TRUE,4,"1,3,4",2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,23.555,311.127,88.441,4.69,18.85735607675906,0.05302970341809794,21.48,-30.65,2.2,6,1,7,45,30,2.049027777777778,0.5187413914204643,5,35,35,1,1,1,1,1
2022,5,1,1,1,AC_150,AC_110,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,27.268,NA,57.791,3.34,17.302694610778442,0.05779446626637366,105.22,-31.43,2.53,10,9,19,42,56,1.5345590327169274,0.29425901683659234,5.6,106.39999999999999,106,1,1,1,1,1
2022,6,5,1,1,AC_186,AC_048,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,14.48,135.878,34.442,2.71,12.709225092250923,0.0786830033099123,105.9,-30.8,4.35,21,9,30,29,73,1.5061798435482647,0.2094719827381623,3.4761904761904763,104.28571428571429,104,1,1,1,1,1
2022,7,3,1,1,AC_015,AC_190,G1,R,2,FALSE,TRUE,TRUE,3,"2,3,4",2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,23.394,347.924,14.988,0.96,15.6125,0.06405124099279423,NA,-30.32,4.12,10,16,26,0,66,1.242614165890028,0.16218643981157604,6.6,171.6,172,1,1,1,1,1
2022,7,3,1,1,AC_015,AC_190,G1,R,3,TRUE,TRUE,TRUE,3,"2,3,4",2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,24.025,336.459,14.988,0.96,15.6125,0.06405124099279423,43.89,-30.32,4.12,7,10,17,0,35,1.6253623188405797,0.02541485242525562,5,85,85,1,1,1,1,1
2022,7,3,1,1,AC_015,AC_190,G1,R,4,FALSE,TRUE,TRUE,3,"2,3,4",2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,21.69,286.634,14.988,0.96,15.6125,0.06405124099279423,50.33,-30.32,4.12,10,5,15,13,62,1.7083541666666666,0.07922542227544271,6.2,93,93,1,1,1,1,1
2022,8,5,1,1,AC_096,AC_074,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-05,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,137,176,168,15.81,173.247,48.056,3.67,13.094277929155313,0.07636923589145997,15.85,-31.93,3.96,7,1,8,45,18,1.551076923076923,0.14838363839053087,2.5714285714285716,20.571428571428573,21,1,1,1,1,1
2022,9,7,1,1,AC_107,AC_130,G1,n,10,TRUE,FALSE,TRUE,10,10,NA,2021-10-27,2021-11-04,2022-05-13,2022-05-13,0,NA,198,190,20.151,244.007,47.489,3.16,15.028164556962023,0.06654172545220999,NA,NA,NA,2,1,3,13,7,1.7328571428571429,NA,3.5,10.5,10,0,1,1,1,1
2022,10,2,1,1,AC_207,AC_070,G1,R,7,FALSE,TRUE,TRUE,9,"7,8,9",2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,19.016,205.635,48.245,3.75,12.865333333333332,0.07772826199606178,32.39,-31.09,4.22,8,6,14,30,31,2.19359649122807,0.08051092999825761,3.875,54.25,54,1,1,1,1,1
2022,10,2,1,1,AC_207,AC_070,G1,R,8,FALSE,TRUE,TRUE,9,"7,8,9",2021-12-05,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,137,176,168,17.694,169.038,48.245,3.75,12.865333333333332,0.07772826199606178,10.24,-31.09,4.22,3,2,5,0,14,1.9466666666666668,0.2451303508113365,4.666666666666667,23.333333333333336,23,1,1,1,1,1
2022,10,2,1,1,AC_207,AC_070,G1,R,9,TRUE,TRUE,TRUE,9,"7,8,9",2021-12-05,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,137,176,168,20.256,225.473,48.245,3.75,12.865333333333332,0.07772826199606178,17.37,-31.09,4.22,9,2,11,0,27,1.9769642857142857,0.4730039289865726,3,33,33,1,1,1,1,1
2022,11,5,1,1,AC_096,AC_181,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,15.676,152.993,18.382,1.17,15.711111111111114,0.06364922206506364,7.39,-30.73,3.25,7,0,7,18,15,1.660277777777778,0.007463904912524736,2.142857142857143,15,15,1,1,1,1,1
2022,12,5,1,1,AC_054,AC_046,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,125,164,156,18.568,218.013,24.709,1.68,14.707738095238096,0.06799142013031689,NA,-30.83,2.24,8,4,12,11,27,1.7595999999999998,0.11370277041479704,3.375,40.5,40,1,1,1,1,1
2022,13,6,1,1,AC_052,AC_131,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-05,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,137,176,168,19.512,214.568,38.866,2.65,14.666415094339623,0.06818298770133278,69.75,-31.73,3.16,28,3,31,18,43,2.138547619047619,0.11585970433431711,1.5357142857142858,47.60714285714286,48,1,1,1,1,1
2022,14,5,1,1,AC_064,AC_086,G1,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,NA,176,168,23.884,319.134,42.988,2.52,17.058730158730157,0.058621010514562213,51.35,-30.91,3.2,11,4,15,11,22,2.7604545454545453,NA,2,30,30,0,1,1,1,1
2022,15,3,1,1,AC_068,AC_056,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,125,164,156,16.068,NA,41.239,2.68,15.387686567164177,0.06498702684352192,26.24,-31.53,1.32,11,0,11,24,20,1.3891666666666667,0.2710575994548432,1.8181818181818181,20,20,1,1,1,1,1
2022,16,3,1,1,AC_170,AC_203,G1,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,NA,176,168,22.301,305.217,120.399,8.68,13.870852534562212,0.07209362204005017,NA,-32.28,4.18,16,0,16,14,58,1.1117676767676767,0.3103757584238858,3.625,58,58,0,1,1,1,1
2022,17,5,1,1,AC_165,AC_062,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-03,24,157,164,156,21.473,264.316,37.37,2.87,13.020905923344946,0.0767995718490768,NA,-32.87,2.37,1,0,1,23,1,1.03,NA,1,1,1,1,1,1,1,1
2022,18,3,1,1,AC_015,AC_097,G1,R,1,TRUE,TRUE,TRUE,1,"1,3,9",2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-06-08,60,125,164,156,21.262,258.556,15.943,1.64,9.721341463414635,0.10286646177005582,271.84,-31.62,2.76,45,7,52,0,182,1.4464179487179487,0.128718817496302,4.044444444444444,210.3111111111111,210,1,1,1,1,1
2022,18,3,1,1,AC_015,AC_097,G1,R,3,FALSE,TRUE,TRUE,1,"1,3,9",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-06-08,60,157,164,156,18.534,212.036,15.943,1.64,9.721341463414635,0.10286646177005582,746.15,-31.62,2.76,140,13,153,0,815,1.3663038461538461,0.3768824750894977,5.821428571428571,890.6785714285714,891,1,1,1,1,1
2022,18,3,1,1,AC_015,AC_097,G1,R,9,FALSE,TRUE,TRUE,1,"1,3,9",2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,19.739,217.91,15.943,1.64,9.721341463414635,0.10286646177005582,NA,-31.62,2.76,6,0,6,0,18,1.570892857142857,0.09419672477949366,3,18,18,1,1,1,1,1
2022,19,3,1,1,AC_068,AC_089,G1,n,10,TRUE,FALSE,TRUE,10,10,NA,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,NA,176,168,19.738,212.986,NA,NA,NA,NA,32.71,-29.96,3.08,7,0,7,0,20,1.694040404040404,0.057139941914064345,2.857142857142857,20,20,0,1,1,1,1
2022,20,7,1,1,AC_169,AC_120,G1,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,NA,176,168,21.57,251.321,47.139,2.89,16.311072664359862,0.061308046415918874,13.33,-33,3.57,4,4,8,13,12,1.185625,0.3102431002455977,3,24,24,0,1,1,1,1
2022,21,1,1,1,AC_179,AC_136,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,18.638,230.707,21.259,1.55,13.715483870967741,0.07291029681546639,12.87,-32.07,1.37,3,0,3,10,7,2.025714285714286,NA,2.3333333333333335,7,7,1,1,1,1,1
2022,22,2,1,1,AC_039,AC_168,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,125,164,156,16.584,165.989,45.35,3.83,11.840731070496084,0.0844542447629548,5.57,-32.46,1.76,2,0,2,15,5,1.98,NA,2.5,5,5,1,1,1,1,1
2022,23,7,1,1,AC_045,AC_151,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-05,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,137,176,168,16.743,160.377,37.348,3.24,11.527160493827159,0.08675163328692301,13.39,-31.54,4.37,5,3,8,9,14,2.2633333333333336,0.19563287612827826,2.8,22.4,22,1,1,1,1,1
2022,24,6,1,1,AC_195,AC_193,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-04-21,0,169,176,168,NA,NA,11.428,0.95,12.029473684210528,0.08312915645782289,5.43,-32.09,2.2,0,3,3,5,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,25,4,1,1,AC_089,AC_057,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,18.683,223.966,19.398,1.12,17.319642857142856,0.05773791112485824,NA,-29.93,2.29,1,2,3,4,3,0.8166666666666668,NA,3,9,9,1,1,1,1,1
2022,26,6,1,1,AC_160,AC_015,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,21.334,292.453,11.436,0.75,15.248,0.06558237145855195,NA,-32.78,1.83,3,0,3,0,6,2.0466666666666664,NA,2,6,6,1,1,1,1,1
2022,27,3,1,1,AC_161,AC_088,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-12-05,2021-10-27,2021-11-04,2022-04-21,2022-05-03,12,137,176,168,22.18,316.274,51.681,3.1,16.671290322580642,0.059983359455118915,NA,NA,NA,1,3,4,35,1,1.7,NA,1,4,4,1,1,1,1,1
2022,28,7,1,1,AC_045,AC_096,G1,n,9,TRUE,FALSE,TRUE,9,9,2021-12-05,2021-10-27,2021-11-04,2022-04-21,2022-06-08,48,137,176,168,17.032,167.443,28.01,1.43,19.58741258741259,0.05105319528739735,NA,NA,NA,10,0,10,13,19,2.0508333333333333,0.47965409990487484,1.9,19,19,1,1,1,1,1
2022,29,5,1,1,AC_216,AC_058,G1,R,1,FALSE,TRUE,TRUE,7,"1,7,9",2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,12.461,96.483,38.434,2.86,13.438461538461539,0.07441327990841443,13.02,-30.62,4.56,3,3,6,33,3,3.09,NA,1,6,6,1,1,1,1,1
2022,29,5,1,1,AC_216,AC_058,G1,R,7,TRUE,TRUE,TRUE,7,"1,7,9",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,11.021,77.569,38.434,2.86,13.438461538461539,0.07441327990841443,17.59,-30.62,4.56,7,2,9,0,17,2.4863194444444443,0.8663040162286855,2.4285714285714284,21.857142857142854,22,1,1,1,1,1
2022,29,5,1,1,AC_216,AC_058,G1,R,9,FALSE,TRUE,TRUE,7,"1,7,9",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,10.956,NA,38.434,2.86,13.438461538461539,0.07441327990841443,49.97,-30.62,4.56,1,20,21,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,30,4,1,1,AC_091,AC_218,G1,R,2,TRUE,TRUE,TRUE,2,"6,2,9",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-04-09,0,157,164,156,NA,NA,56.215,3.17,17.733438485804417,0.05639064306679712,NA,-31.28,4.64,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,30,4,1,1,AC_091,AC_218,G1,R,6,FALSE,TRUE,TRUE,2,"6,2,9",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,17.203,174.58,56.215,3.17,17.733438485804417,0.05639064306679712,19.82,-31.28,4.64,5,1,6,0,10,1.8995833333333334,0.24336258385837015,2,12,12,1,1,1,1,1
2022,30,4,1,1,AC_091,AC_218,G1,R,9,FALSE,TRUE,TRUE,2,"6,2,9",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,17.546,192.756,56.215,3.17,17.733438485804417,0.05639064306679712,NA,-31.28,4.64,9,2,11,8,31,2.1293589743589743,0.26307998448761066,3.4444444444444446,37.88888888888889,38,1,1,1,1,1
2022,31,3,1,1,AC_170,AC_185,G1,n,10,TRUE,FALSE,TRUE,10,10,2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,22.038,319.345,36.054,2.39,15.085355648535565,0.06628945470682865,25.76,-31.57,4.22,10,2,12,4,25,1.208653846153846,0.3304364381314059,2.5,30,30,1,1,1,1,1
2022,32,2,1,1,AC_207,AC_055,G1,R,5,TRUE,TRUE,TRUE,5,"7,9,5",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,21.178,225.618,33.852,2.66,12.726315789473682,0.07857733664185278,78.63,-31.88,4.27,14,12,26,6,54,1.112962962962963,NA,3.857142857142857,100.28571428571429,100,1,1,1,1,1
2022,32,2,1,1,AC_207,AC_055,G1,R,7,FALSE,TRUE,TRUE,5,"7,9,5",2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-04-21,12,125,164,156,19.778,215.57,33.852,2.66,12.726315789473682,0.07857733664185278,36.79,-31.88,4.27,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,32,2,1,1,AC_207,AC_055,G1,R,9,FALSE,TRUE,TRUE,5,"7,9,5",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,19.834,185.846,33.852,2.66,12.726315789473682,0.07857733664185278,10.5,-31.88,4.27,5,0,5,0,11,1.87,NA,2.2,11,11,1,1,1,1,1
2022,33,4,1,1,AC_091,AC_189,G1,R,3,TRUE,TRUE,TRUE,3,"3,4,5",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,NA,NA,37.217,2.7,13.784074074074073,0.07254749173764678,18.45,-30.93,1.84,7,2,9,0,15,1.5542307692307693,0.6304128918424682,2.142857142857143,19.285714285714285,19,1,1,1,1,1
2022,33,4,1,1,AC_091,AC_189,G1,R,4,FALSE,TRUE,TRUE,3,"3,4,5",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,NA,NA,37.217,2.7,13.784074074074073,0.07254749173764678,NA,-30.93,1.84,12,2,14,0,63,1.0176573426573428,0.08045193936996585,5.25,73.5,74,1,1,1,1,1
