Block,Location,Sequence,Co.,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_area_mm2,corolla_diam_mm,notes_corolla,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1,5,BB_173,BB_170,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-08,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2022-04-01,110,123,120,2022-04-08,7,1,1,0,0
1,1,2,1,BB_023,BB_206,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,1,1,0,2,0,6,NA,NA,NA,NA,NA,NA,4,15.43,NA,NA,2,11.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8575,NA,5.555,NA,NA,NA,4.70625,1.2003137610641643,6,12,NA,2022-03-17,221.109,18.213,NA,2022-03-17,88,108,105,2022-04-08,22,1,1,1,1
1,2,3,1,BB_075,BB_085,R,3,TRUE,TRUE,TRUE,3,"6,3,7",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-03-17,437.155,25.535,NA,2022-03-17,95,108,105,2022-04-08,22,1,1,0,0
1,2,4,2,BB_107,BB_179,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-03-25,505.782,29.387,NA,2022-03-17,88,108,105,2022-04-08,22,1,1,0,0
1,3,6,1,BB_028,BB_109,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,2022-03-11,2022-03-17,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,1,0,0,1,3,2,NA,NA,NA,NA,NA,NA,2,7.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.845,NA,NA,NA,NA,NA,3.845,NA,2,2,NA,NA,NA,NA,NA,2022-03-11,89,102,99,2022-04-01,21,1,1,1,1
1,3,7,5,BB_141,BB_003,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-03-17,240.305,19.584,NA,2022-03-17,95,108,105,2022-04-01,15,1,1,0,0
1,3,8,3,BB_174,BB_010,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,2022-03-11,2022-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.1,NA,NA,NA,NA,2022-03-11,89,102,99,2022-03-17,6,1,1,0,0
1,4,9,4,BB_099,BB_161,R,4,TRUE,TRUE,TRUE,4,"6,4",NA,2021-12-30,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-01,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-04-01,738.555,34.386,NA,2022-04-01,92,123,120,2022-04-08,7,1,1,0,0
1,4,10,1,BB_194,BB_214,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-04-02,320.703,22.317,NA,2022-04-01,110,123,120,2022-04-01,0,1,1,0,0
1,4,11,5,BB_051,BB_143,R,7,TRUE,TRUE,TRUE,7,"6,7,4",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,2022-05-04,2022-03-25,3,2,0,5,0,28,NA,NA,NA,NA,NA,NA,9,15.69,19,54.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7433333333333332,2.8473684210526318,NA,NA,NA,NA,2.2953508771929823,0.7806706971942009,9.333333333333334,46.66666666666667,42.4,2022-03-25,179.925,16.243,NA,2022-03-17,95,108,105,2022-04-08,22,1,1,1,1
