Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_area_mm2,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,skel_dryweight_mg,d13C,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,1,6,1,1,BO_201,BO_130,G1,R,7,TRUE,TRUE,TRUE,7,7,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-05-25,54,116,141,135,23.962,351.332,NA,NA,NA,NA,194.14,-26.11,3.38,15,22,37,0,12,5.175,0.3358757210636098,0.8,29.6,30,1,1,1,1,1
2022,2,4,1,1,BO_192,BO_166,G1,R,6,TRUE,TRUE,TRUE,6,6,2021-12-06,2021-11-11,2021-11-17,2022-04-13,2022-05-20,37,128,153,147,NA,NA,48.87,2.46,19.865853658536583,0.05033763044812769,NA,-27.76,3.6,1,0,1,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,3,5,1,1,BO_005,BO_019,G1,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-11,2021-11-17,2022-04-08,2022-04-08,0,NA,148,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,1,0,0,0
2022,4,5,1,1,BO_070,BO_066,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-06,2021-11-11,2021-11-17,2022-04-13,2022-05-12,29,128,153,147,24.515,412.063,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,5,2,1,1,BO_038,BO_137,G1,R,5,TRUE,TRUE,TRUE,5,"5,8",2021-12-06,2021-11-11,2021-11-17,2022-04-21,2022-05-12,21,136,161,155,17.585,145.417,NA,NA,NA,NA,NA,-28.09,4.78,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,6,4,1,1,BO_170,BO_045,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-15,2021-11-11,2021-11-17,2022-04-21,2022-05-20,29,127,161,155,19.797,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,7,6,1,1,BO_001,BO_048,G1,R,3,TRUE,TRUE,TRUE,3,"3,8",2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-05-12,34,123,148,142,23.105,355.54,NA,NA,NA,NA,96.62,-31.52,1.48,6,0,6,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,9,4,1,1,BO_033,BO_099,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-11,2021-11-17,2022-04-21,2022-05-20,29,136,161,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,12,0,8,3.71,NA,1.6,19.200000000000003,19,1,1,1,1,1
2022,10,5,1,1,BO_065,BO_115,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-06,2021-11-11,2021-11-17,2022-04-28,2022-05-20,22,143,168,162,26.278,381.84,49.162,2.95,16.665084745762712,0.06000569545583988,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,11,1,1,1,BO_106,BO_104,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,0,0,0,0
