Block,Transect,Donor,Recipient,est_seed_prod,total_fruit_prod,closed_fruits,seed_count,P_surv_flower,FIT_surv_x_seedprod,FIT_surv_x_fruitprod,BLOCKmean_FIT_surv_x_seedprod,BLOCKmean_FIT_surv_x_fruitprod,BLOCKmean_est_seed_prod,BLOCKmean_total_fruit_prod,BLOCKmean_seed_count,BLOCKmean_P_surv_flower,Rel_FIT_surv_x_seedprod,Rel_FIT_surv_x_fruitprod,Rel_est_seed_prod,Rel_total_fruit_prod,Rel_seed_count,Rel_P_surv_flower
1,1,AC_015,AC_097,210.3111111111111,52,45,182,0.9,189.28,46.800000000000004,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,8.788754920027296,6.599367422245652,7.457879122082988,5.428292682926829,8.465116279069768,1.2457956015523932
1,1,AC_015,AC_190,85,17,7,35,0.8,68,13.600000000000001,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,3.1574140667891806,1.917764891934634,3.0141998776381476,1.7746341463414632,1.627906976744186,1.107373868046572
1,1,AC_039,AC_168,5,2,2,5,0.6,3,1.2,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.13929767941716975,0.16921454928835003,0.17730587515518517,0.20878048780487804,0.23255813953488372,0.8305304010349288
1,1,AC_045,AC_096,19,10,10,19,0.5,9.5,5,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.4411093181543708,0.7050606220347918,0.6737623255897036,1.04390243902439,0.8837209302325582,0.6921086675291074
1,1,AC_045,AC_151,22.4,8,5,14,0.7,15.679999999999998,5.6,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.7280625377537404,0.7896678966789668,0.7943303206952295,0.8351219512195122,0.6511627906976745,0.9689521345407502
1,1,AC_052,AC_131,47.60714285714286,31,28,43,0.5,23.80357142857143,15.5,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.1052607539469481,2.1856879283078547,1.6882052255847275,3.2360975609756095,2,0.6921086675291074
1,1,AC_054,AC_046,42,12,8,28,0.8,33.6,9.600000000000001,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.560134009472301,1.3537163943068005,1.4893693513035553,1.2526829268292683,1.302325581395349,1.107373868046572
1,1,AC_064,AC_086,30,15,11,22,0.7,21,10.5,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.9750837559201881,1.4806273062730628,1.0638352509311109,1.5658536585365852,1.0232558139534884,0.9689521345407502
1,1,AC_064,AC_205,NA,1,0,0,0.6,NA,0.6,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,NA,0.08460727464417502,NA,0.10439024390243902,0,0.8305304010349288
1,1,AC_068,AC_056,20,11,11,20,0.7,14,7.699999999999999,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.6500558372801255,1.0857933579335792,0.7092235006207407,1.1482926829268292,0.9302325581395349,0.9689521345407502
1,1,AC_068,AC_089,20,7,7,20,0.2,4,1.4000000000000001,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.18573023922289297,0.19741697416974172,0.7092235006207407,0.7307317073170732,0.9302325581395349,0.276843467011643
1,1,AC_089,AC_057,9,3,1,3,0.4,3.6,1.2000000000000002,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.16715721530060368,0.16921454928835006,0.31915057527933327,0.3131707317073171,0.13953488372093023,0.553686934023286
1,1,AC_091,AC_189,19.285714285714285,9,7,15,0.8,15.428571428571429,7.2,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.7163880655740158,1.0152872957301002,0.6838940898842856,0.9395121951219512,0.6976744186046512,1.107373868046572
1,1,AC_091,AC_218,NA,0,0,NA,0.6,NA,0,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,NA,0,NA,0,NA,0.8305304010349288
1,1,AC_094,AC_109,35,7,6,30,0.9,31.5,6.3,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.4626256338802823,0.8883763837638377,1.2411411260862961,0.7307317073170732,1.3953488372093024,1.2457956015523932
1,1,AC_096,AC_074,20.571428571428573,8,7,18,0.9,18.514285714285716,7.2,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.859665678688819,1.0152872957301002,0.7294870292099047,0.8351219512195122,0.8372093023255814,1.2457956015523932
1,1,AC_096,AC_128,72,16,6,27,0.9,64.8,14.4,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,3.0088298754108664,2.0305745914602005,2.553204602234666,1.6702439024390243,1.255813953488372,1.2457956015523932
1,1,AC_096,AC_181,15,7,7,15,0.8,12,5.6000000000000005,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.557190717668679,0.7896678966789669,0.5319176254655554,0.7307317073170732,0.6976744186046512,1.107373868046572
1,1,AC_102,AC_191,0,4,1,0,0.5,0,2,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0,0.28202424881391674,0,0.4175609756097561,0,0.6921086675291074
1,1,AC_107,AC_130,10.5,3,2,7,0.5,5.25,1.5,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.24377093898004704,0.21151818661043753,0.3723423378258888,0.3131707317073171,0.32558139534883723,0.6921086675291074
1,1,AC_150,AC_110,106.4,19,10,56,0.9,95.76,17.1,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,4.446381926996058,2.4113073273589882,3.7730690233023405,1.9834146341463412,2.604651162790698,1.2457956015523932
1,1,AC_150,AC_200,30,5,3,18,1,30,5,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.3929767941716973,0.7050606220347918,1.0638352509311109,0.521951219512195,0.8372093023255814,1.3842173350582148
1,1,AC_160,AC_015,6,3,3,6,0.4,2.4000000000000004,1.2000000000000002,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.11143814353373581,0.16921454928835006,0.2127670501862222,0.3131707317073171,0.27906976744186046,0.553686934023286
1,1,AC_161,AC_088,4,4,1,1,0.9,3.6,3.6,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.16715721530060368,0.5076436478650501,0.14184470012414813,0.4175609756097561,0.046511627906976744,1.2457956015523932
1,1,AC_165,AC_062,1,1,1,1,0.7,0.7,0.7,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.03250279186400627,0.09870848708487084,0.03546117503103703,0.10439024390243902,0.046511627906976744,0.9689521345407502
1,1,AC_169,AC_120,24,8,4,12,0.6,14.399999999999999,4.8,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.6686288612024147,0.6768581971534001,0.8510682007448888,0.8351219512195122,0.5581395348837209,0.8305304010349288
1,1,AC_170,AC_185,30,12,10,25,0.4,12,4.800000000000001,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.557190717668679,0.6768581971534002,1.0638352509311109,1.2526829268292683,1.1627906976744187,0.553686934023286
1,1,AC_170,AC_203,58,16,16,58,0.3,17.4,4.8,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.8079265406195845,0.6768581971534001,2.056748151800148,1.6702439024390243,2.697674418604651,0.4152652005174644
1,1,AC_177,AC_107,45.5,14,8,26,0.8,36.4,11.200000000000001,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.690145176928326,1.5793357933579337,1.613483463912185,1.4614634146341463,1.2093023255813953,1.107373868046572
1,1,AC_179,AC_136,7,3,3,7,0.8,5.6000000000000005,2.4000000000000004,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.2600223349120502,0.3384290985767001,0.24822822521725924,0.3131707317073171,0.32558139534883723,1.107373868046572
