Transect,Sequence,Recipient,Plant_ID,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,Corolla Diameter,Units,Corolla Area,Units,measurement notes,URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,(paste here),,,,,,Rosette Diameter (mm),Rosette Radius (center to tip of farthest extruding leaf),Units,Notes,,Area of smallest polygon that encloses leaf tips and rosette (mm^2)
1,1,AC_200,1,,,,,,,,,,1,4.368,117.259,0.32,203.683,-70.297,64.159,,mm,,,
1,1,AC_200,2,,,,,,,,,,,,,,,,,,,,,
1,2,AC_200,3,,,,,,,,,,,,,,,,,,,,,
1,2,AC_200,4,,,,,,,,,,,,,,,,,,,,,
1,3,AC_200,5,,,,,,,,,,,,,,,,,,,,,
1,3,AC_200,6,,,,,,,,,,,,,,,,,,,,,
1,4,AC_200,7,,,,,,,,,,,,,,,,,,,,,
1,4,AC_200,8,,,,,,,,,,,,,,,,,,,,,
1,5,AC_200,9,,,,,,,,,,,,,,,,,,,,,
1,5,AC_200,10,https://drive.google.com/file/d/1JkUi1bakoioailZ_s93dgm0DdjYNG2cm/view?usp=sharing,2022-05-03,26.379,mm,436.972,mm,,https://drive.google.com/file/d/1JlXhc5iNdRG5MNmWV22BGvuyTl3EZgRN/view?usp=sharing,2022-05-03,,,,,,,67.195,34.849,mm,,,
1,6,AC_191,1,,,,,,,,,,,,,,,,,,,,,
1,6,AC_191,2,,,,,,,,,,,,,,,,,,,,,
1,7,AC_191,3,,,,,,,,,,,,,,,,,,,,,
1,7,AC_191,4,,,,,,,,,,,,,,,,,,,,,
1,8,AC_191,5,https://drive.google.com/file/d/1So34FshsqsNB-1Ls-6fXXYKmwL6ggK-8/view?usp=sharing,2022-05-13,20.875,mm,247.868,mm,,https://drive.google.com/file/d/1JgrzlsVS-XoGKPGKDJ3wKL4XhGzH-H2A/view?usp=sharing,2022-05-03,,,,,,,48.801,26.64,mm,,,
