Block,Location = Point,Recipient = ID,Plant,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,Number of Anthers,Corolla area (mm^2),Maximum corolla diameter (mm),Measurement Notes,URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,Rosette Diameter (mm) (when available),Rosette Radius (center to tip of farthest extruding leaf),Units,Notes
1,1,BB_170,1,,,,,,,https://drive.google.com/file/d/1_nAf0W6TZwGmExM-WZaNFZ1q4sYGwyVs/view?usp=sharing,2022-04-01,84.184,72.274,mm,
1,1,BB_170,2,,,,,,,,,,,,
1,1,BB_170,3,,,,,,,,,,,,
1,1,BB_170,4,,,,,,,https://drive.google.com/file/d/1vM6QaprGG79hpZALbybbyup8tAk5Kota/view?usp=sharing,2022-03-25,101.901,51.121,mm,
1,1,BB_170,5,https://drive.google.com/file/d/1vKJN5FIqWG2NFP1Ee9zO69aIyw60nG8f/view?usp=sharing,2022-03-25,,521.756,29.21,,https://drive.google.com/file/d/1vKVEPHNQjmOWusBVDVJddL7NbA98v6jD/view?usp=sharing,2022-03-25,99.035,60.178,mm,
1,1,BB_170,6,,,,,,,,,,,,
1,1,BB_170,7,,,,,,,,,,,,
1,1,BB_170,8,,,,,,,,,,,,
1,1,BB_206,1,,,,,,,,,,,,
1,1,BB_206,2,,,,,,,,,,,,
1,1,BB_206,3,,,,,,,https://drive.google.com/file/d/1vFseSJZbP0ZOR-m8yhi1rLShiU39J5Fl/view?usp=sharing,2022-03-25,30.601,19.657,mm,
1,1,BB_206,4,https://drive.google.com/file/d/1sf8pEDFM0y0rQMASTwjps6Gzc-IlfbM9/view?usp=sharing,2022-03-17,,529.43,27.731,,https://drive.google.com/file/d/1u0FS6yVjd0Ho5XAIr_eY17w8yDNUcmIA/view?usp=sharing,2022-03-17,137.669,73.128,mm,
1,1,BB_206,5,https://drive.google.com/file/d/1vJT7hXH1qiupk9hoKLHeQrNIHpxP6qMb/view?usp=sharing ,2022-03-17,,221.109,18.213,,https://drive.google.com/file/d/1x7LuVoBqLGMnxogII5yQH0ArvNiRhU3t/view?usp=sharing,2022-03-17,118.518,63.689,mm,
1,1,BB_206,6,,,,,,,,,,,,
1,1,BB_206,7,,,,,,,,,,,,
1,1,BB_206,8,,,,,,,,,,,,
1,2,BB_179,1,https://drive.google.com/file/d/1vv7CRgSA1F1KKeAH0aKEG5ggjaG54PGX/view?usp=sharing ,2022-03-17,,636.77,29.537,,https://drive.google.com/file/d/1vv7CRgSA1F1KKeAH0aKEG5ggjaG54PGX/view?usp=sharing ,2022-03-17,53.137,31.14,mm,
1,2,BB_179,2,,2022-03-17,,,,,https://drive.google.com/file/d/1ubYeTYxc8Sm7f-JTN4Dc5aZlNx4WTL4Q/view?usp=sharing ,2022-03-17,47.936,25.513,mm,
1,2,BB_179,3,https://drive.google.com/file/d/1vAsQko24SdPw2lXrlidwixUeCoKm_3HV/view?usp=sharing ,2022-03-25,6,505.782,29.387,,https://drive.google.com/file/d/1rbDfeIUpJa_GpbpAfE7lDh49iWLDtSdm/view?usp=sharing ,2022-03-17,,,,
1,2,BB_179,4,,,,,,,,,,,,
1,2,BB_179,5,,2022-03-17,,,,,https://drive.google.com/file/d/1w-R9v1uT62jyvPta4qkB4eReBIn-r8DG/view?usp=sharing ,2022-03-17,47.738,24.873,mm,
1,2,BB_179,6,,,,,,,,,,,,
1,2,BB_179,7,,,,,,,,,,,,
1,2,BB_179,8,,,,,,,,,,,,
1,2,BB_079,1,,,,,,,,,,,,
1,2,BB_079,2,,,,,,,,,,,,
1,2,BB_079,3,,,,,,,,,,,,
1,2,BB_079,4,,,,,,,,,,,,
1,2,BB_079,5,,,,,,,,,,,,
1,2,BB_079,6,,,,,,,,,,,,
1,2,BB_079,7,,,,,,,,,,,,
1,2,BB_079,8,,,,,,,,,,,,
1,2,BB_085,1,,2022-03-17,,,,,https://drive.google.com/file/d/1wUZZ2dG4JarqDXtVRlO63g7mLHoVzSQS/view?usp=sharing,2022-03-17,47.581,26.891,mm,
1,2,BB_085,2,,2022-03-17,,,,,https://drive.google.com/file/d/1uusAkfyRIbQlvYkAOBNZfAAczIN3LNN_/view?usp=sharing ,2022-03-17,22.811,12.801,mm,
1,2,BB_085,3,https://drive.google.com/file/d/1s61H5HfVXEKcUGHt690ibEJAh0S-G46x/view?usp=sharing ,2022-03-17,,437.155,25.535,,https://drive.google.com/file/d/1tZ0iotlOQbPsGyKP32iyznk-nrVtaJ-I/view?usp=sharing ,2022-03-17,35.957,17.455,mm,
1,2,BB_085,4,,2022-03-17,,,,,https://drive.google.com/file/d/1wYFlgiDhrDFynHvqJ4CO2wBkl5OKCuD2/view?usp=sharing ,2022-03-17,41.48,21.564,mm,
1,2,BB_085,5,,,,,,,,,,,,
1,2,BB_085,6,https://drive.google.com/file/d/1vFsswIZA_shETYDfDWfDTGC2ibLq3EcE/view?usp=sharing ,2022-03-25,,625.407,32.349,,https://drive.google.com/file/d/1v7jIlaQ-C9ttHIIT7fc33cQqUnZ5OcKm/view?usp=sharing ,2022-03-17,45.352,23.916,mm,
1,2,BB_085,7,https://drive.google.com/file/d/1sH47vutEZiO48Cgl0KTTmyqCD4pn3v0g/view?usp=sharing ,2022-03-17,,,25.11,herbivory,https://drive.google.com/file/d/1tsfwFK6vCRKbm5W8cRJP-6b8cPBqoGnh/view?usp=sharing ,2022-03-17,65.68,33.32,mm,
1,2,BB_085,8,,,,,,,,,,,,
1,3,BB_010,1,,2022-03-17,,,,,https://drive.google.com/file/d/1runMmhue5aGC3OC46FgA_MiyU5KIQHJ7/view?usp=sharing ,2022-03-17,71.53,37.229,mm,
1,3,BB_010,2,,,,,,,,,,,,
1,3,BB_010,3,,,,,,,,,,,,
1,3,BB_010,4,,,,,,,,,,,,
1,3,BB_010,5,,,,,,,,,,,,
1,3,BB_010,6,,,,,,,,,,,,
1,3,BB_010,7,,,,,,,,,,,,
1,3,BB_010,8,,,,,,,,,,,,
1,3,BB_109,1,,,,,,,,,,,,
1,3,BB_109,2,,,,,,,,,,,,
1,3,BB_109,3,,,,,,,,,,,,
1,3,BB_109,4,,,,,,,,,,,,
1,3,BB_109,5,,,,,,,,,,,,
1,3,BB_109,6,,,,,,,,,,,,
1,3,BB_109,7,,,,,,,,,,,,
1,3,BB_109,8,,2022-03-17,,,,,https://drive.google.com/file/d/1t8I_iEM6dz0GDqwgF8TqnowKNkFI9Yuj/view?usp=sharing ,2022-03-17,37.229,15.872,mm,
1,3,BB_003,1,https://drive.google.com/file/d/1uOMj50hs7bd1MRJwC23z9QVe2ZbUFwSk/view?usp=sharing ,2022-03-17,,240.305,19.584,,https://drive.google.com/file/d/1vTahugMeb_zE5TiFkVfFJgfazUgpvZBw/view?usp=sharing ,2022-03-17,30.678,17.185,mm,
1,3,BB_003,2,,,,,,,,,,,,
1,3,BB_003,3,,,,,,,,,,,,
1,3,BB_003,4,,,,,,,,,,,,
1,3,BB_003,5,,,,,,,,,,,,
1,3,BB_003,6,,,,,,,,,,,,
1,3,BB_003,7,,,,,,,,,,,,
1,3,BB_003,8,,,,,,,,,,,,
1,4,BB_143,1,,,,,,,,,,,,
1,4,BB_143,2,,,,,,,,,,,,
1,4,BB_143,3,,,,,,,,,,,,
1,4,BB_143,4,,,,,,,,,,,,
1,4,BB_143,5,,,,,,,,,,,,
1,4,BB_143,6,https://drive.google.com/file/d/1_n1xPGfQjIW5ZPw_Pazi3pCvpzORT0sD/view?usp=sharing,2022-04-01,,,21.89,folded,https://drive.google.com/file/d/1_jcLYzagz7C_MeWiYbJg8s0YrihXTqzO/view?usp=sharing,2022-04-01,28.009,17.886,mm,
