Transect,Sequence,Recipient,Plant ID,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,# of Anthers,Corolla area (mm^2),Maximum corolla diameter (mm),"Notes (highlight key: purple=HEIC file, orange=something wrong with data, green=where John M left off)",URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,Rosette Diameter (mm),Rosette Radius (center to tip of farthest extruding leaf),Units
1,1,BO_130,1,,,,,,,,,,,mm
1,1,BO_130,2,,,,,,,,,,,
1,2,BO_130,3,,,,,,,,,,,
1,2,BO_130,4,,,,,,,,,,,
1,3,BO_130,5,,,,,,,,,,,
1,3,BO_130,6,,,,,,,,,,,
1,4,BO_130,7,https://drive.google.com/file/d/1uvdhW9dWb7uFWuoiCx--ONlw90jtQw3C/view?usp=sharing,2022-04-08,,351.332,23.962,,https://drive.google.com/file/d/1TJi7ZgJuaLmNzgQNbZh8O9O1UUSuW21V/view?usp=sharing,2022-04-01,67.828,36.103,mm
1,4,BO_130,8,,,,,,,,,,,
1,5,BO_166,1,,,,,,,,,,,
1,5,BO_166,2,,,,,,,,,,,
1,6,BO_166,3,,,,,,,,,,,
1,6,BO_166,4,,,,,,,,,,,
1,7,BO_166,5,,,,,,,,,,,
1,7,BO_166,6,,,,,,,,,,,
1,8,BO_166,7,,,,,,,,,,,
1,8,BO_166,8,,,,,,,,,,,
1,9,BO_019,1,,,,,,,,,,,
1,9,BO_019,2,,,,,,,,,,,
1,10,BO_019,3,,,,,,,,,,,
1,10,BO_019,4,,,,,,,,,,,
1,11,BO_019,5,,,,,,,,,,,
1,11,BO_019,6,,,,,,,,,,,
1,12,BO_019,7,,,,,,,,,,,
1,12,BO_019,8,,,,,,,,,,,
1,13,BO_066,1,,,,,,,,,,,
1,13,BO_066,2,,,,,,,,,,,
1,14,BO_066,3,,,,,,,,,,,
1,14,BO_066,4,,,,,,,,,,,
1,15,BO_066,5,,,,,,,,,,,
1,15,BO_066,6,,,,,,,,,,,
1,16,BO_066,7,https://drive.google.com/file/d/1upkk-DbDOsnhHxzQ3y8ynDPaKInf6C0n/view?usp=sharing,2022-04-08,,412.063,24.515,,https://drive.google.com/file/d/1uqBBxH0sTLiHMDSIjT19hQYLMcSNIIx4/view?usp=sharing,2022-04-08,134.627,72.509,mm
1,16,BO_066,8,,,,,,,,,,,
1,17,BO_137,1,,,,,,,,,,,
1,17,BO_137,2,,,,,,,,,,,
1,18,BO_137,3,,,,,,,,,,,
1,18,BO_137,4,,,,,,,,,,,
1,19,BO_137,5,https://drive.google.com/file/d/18ooPq0URlWt3hwz2sSMASEGkfsKFxHX4/view?usp=sharing,2022-04-21,,145.417,17.585,,https://drive.google.com/file/d/1w0irivXw7C_4UIZc0kKOG_l6teYOhxHX/view?usp=sharing,2022-04-21,54.4,34.21,mm
1,19,BO_137,6,,,,,,,,,,,
1,20,BO_137,7,,,,,,,,,,,
1,20,BO_137,8,https://drive.google.com/file/d/1ugNslNqM00BGlW_6Vj0dQf1fziC5TcgL/view?usp=sharing,2022-04-08,,397.801,25.535,,https://drive.google.com/file/d/1ulK2TE0gTzZ7q25mHqE3u6iTbCmv_a6I/view?usp=sharing,2022-04-08,61.01,32.66,mm
1,21,BO_045,1,,,,,,,,,,,
1,21,BO_045,2,,,,,,,,,,,
1,22,BO_045,3,,,,,,,,,,,
1,22,BO_045,4,,,,,,,,,,,
1,23,BO_045,5,https://drive.google.com/file/d/1N3TCYt1tLycDJVfTLzJNqMurr37nEM18/view?usp=sharing,2022-04-21,,,19.797,,https://drive.google.com/file/d/1nCFzMmeTGr4C-WmaP4BhgWhvpVhn2TrG/view?usp=sharing,2022-04-21,86.37,49.97,mm
1,23,BO_045,6,,,,,,,,,,,
1,24,BO_045,7,,,,,,,,,,,
1,24,BO_045,8,,,,,,,,,,,
1,25,BO_048,1,,,,,,,,,,,
1,25,BO_048,2,,,,,,,,,,,
1,26,BO_048,3,https://drive.google.com/file/d/1udc5PMy6uwVl0atVcHou1AB4qoNpR19d/view?usp=sharing,2022-04-08,,355.54,23.105,,https://drive.google.com/file/d/1ueQswK9ba3stPHXJHVHic3Qs0UU_SI03/view?usp=sharing,2022-04-08,78.8,44.74,mm
1,26,BO_048,4,,,,,,,,,,,
1,27,BO_048,5,,,,,,,,,,,
1,27,BO_048,6,,,,,,,,,,,
1,28,BO_048,7,,,,,,,,,,,
1,28,BO_048,8,https://drive.google.com/file/d/1pTR_DgAOwlXsvQC5D2BYT36EfLsaE9dO/view?usp=sharing,2022-04-21,,365.683,25.771,,https://drive.google.com/file/d/1uaAmuSzLXIzvT1jLAtP7SW1_FWjxBTCY/view?usp=sharing,2022-04-08,42.74,23.95,mm
1,29,BO_043,1,https://drive.google.com/file/d/1eDgxwKG97FSnTs8ZhYHRz8UMpjNtrfAQ/view?usp=sharing,2022-04-27,,,23.437,,,,,,
1,29,BO_043,2,,,,,,,,,,,
1,30,BO_043,3,,,,,,,,,,,
1,30,BO_043,4,,,,,,,,,,,
1,31,BO_043,5,,,,,,,,,,,
1,31,BO_043,6,,,,,,,,,,,
1,32,BO_043,7,,,,,,,,,,,
1,32,BO_043,8,,,,,,,,,,,
1,33,BO_099,1,,,,,,,,,,,
1,33,BO_099,2,,,,,,,,,,,
1,34,BO_099,3,,,,,,,,,,,
1,34,BO_099,4,,,,,,,,,,,
1,35,BO_099,5,,,,,,,,,,,
1,35,BO_099,6,,,,,,,,,,,
1,36,BO_099,7,,,,,,,,,,,
1,36,BO_099,8,,,,,,,,,,,
1,37,BO_115,1,,,,,,,,,,,
1,37,BO_115,2,,,,,,,,,,,
