Transect,Sequence,Recipient,Plant_ID,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,(paste here),,,,,,Corolla Diameter,Units,(paste here),Corolla Area,Units,Measurement Notes,,,,URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,Length of longest leaf (mm),Area of smallest polygon that encloses leaf tips and rosette (mm^2),(paste here),,,,,,Length of longest leaf (mm),Units,(paste here),Area of smallest polygon that encloses leaf tips and rosette (mm^2),# of Anthers,
1,1,HR_058,1,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1jXQtuYLF9PbiBc3kpbDZyZ-b-kIvzV9G/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,1,HR_058,2,https://drive.google.com/file/d/1b_PeEC8ICDTqvuEXfg0ejhxWq8cl1iGW/view?usp=sharing,2022-03-31,,,,,,,22.031,mm,,288.273,mm^2,minor folding,,,,https://drive.google.com/file/d/12XWzrbp2JwCbYK5ONSgH2eU0dCtDL2gi/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,2,HR_058,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,HR_058,4,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1jT8UTksr9EHtPC3syLYQq32yHX4t83fl/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,3,HR_058,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,HR_058,6,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1jN-izeQxWbeNEnYndPJ7VwSBIQO-nXzC/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,4,HR_058,7,https://drive.google.com/file/d/1jDNzOM9v8ka-1gAvae9GtWfnlnu96Pk3/view?usp=sharing,2022-03-24,,,,,,,21.319,mm,,261.976,mm^2,,,,,https://drive.google.com/file/d/1jJc0xaKEHjVfmXeziJMoEsAxIcgidahE/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,4,HR_058,8,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1jCGK48O-z-Y57yQ4GV_eKuVCLhOk6Lwx/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,5,HR_183,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,HR_183,2,https://drive.google.com/file/d/11T7TH6WanK1kVJkpy7NGJDiXJzdrFSlJ/view?usp=sharing,2022-03-31,,,,,,,19.275,mm,,233.033,mm^2,,,,,https://drive.google.com/file/d/167G32DdAZVfO2tQgIwdrUh9oLMlvRuRL/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,6,HR_183,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,HR_183,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,HR_183,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,HR_183,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,HR_183,7,https://drive.google.com/file/d/1i_G9p02WWrVRbM-hhFKaUMdawvoBlluY/view?usp=sharing,2022-03-24,,,,,,,16.87,mm,,145.742,mm^2,,,,,https://drive.google.com/file/d/1jCBntKj3lNjtH8nPNUK9Jmv7rUzZLe84/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,8,HR_183,8,https://drive.google.com/file/d/1iWKxG7zMO5wlbTray3kb9_Of1_ZlQb-w/view?usp=sharing,2022-03-24,,,,,,,26.115,mm,,393.2,mm^2,,,,,https://drive.google.com/file/d/1jAGovjeyjnhr1NgAvVWhPFb4KnL98Vn5/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,9,HR_176,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,HR_176,2,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1jA3_GFaoNSNztOEFKLat6axqstcXVB9o/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,10,HR_176,3,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1j6IvUJ2fbR8fg7KNR6mNY7m0N_KnH823/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,10,HR_176,4,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1iyx8HXHPl4Tr5b6WqoAzzw2eGj_hEQ-B/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,11,HR_176,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
