Transect,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated,NOTES,,,
1,AC_107,4,4,,,,,
1,AC_109,"1,3,4",4,R,,,,"Note: When multiple fitness plants were chosen by mistake (non-replicated ID), a random selection was made, assuming both plants had fruit collected."
1,AC_110,4,4,,,,,
1,AC_120,8,8,,,,,
1,AC_128,10,10,,,,,
1,AC_130,10,10,,,,,
1,AC_131,6,6,,,,,
1,AC_136,4,4,,,,,
1,AC_15,5,5,,,,,
1,AC_151,6,6,,,,,
1,AC_168,5,5,,,,,
1,AC_181,7,7,,,,,
1,AC_185,10,10,,,,,
1,AC_189,"3,4,5",3,R,,,,
1,AC_190,"2,3,4",3,R,,,,
1,AC_191,5,5,,,,,
1,AC_193,5,5,,,,,
1,AC_200,10,10,,,,,
1,AC_203,2,2,,,,,
1,AC_205,6,6,,,,,
1,AC_218,"6,2,9",2,R,,,,
1,AC_46,3,3,,,,,
1,AC_48,4,4,,,,,
1,AC_55,"7,9,5",5,R,,,,
1,AC_56,5,5,,,,,
1,AC_57,7,7,,,,,
1,AC_58,"1,7,9",7,R,,,,
1,AC_62,6,6,,,,,
1,AC_66,10,10,,,,,
1,AC_70,"7,8,9",9,R,,,,
1,AC_74,6,6,,,,,
1,AC_86,4,4,,,,,
1,AC_88,1,1,,,,,
1,AC_89,10,10,,,,,
1,AC_96,9,9,,,,,
1,AC_97,"1,3,9",1,R,,,,
2,AC_104,7,7,,,,,
2,AC_11,9,9,,,,,
2,AC_114,6,6,,,,,
2,AC_118,6,6,,,,,
2,AC_123,1,1,,,,,
2,AC_14,6,6,,,,,
2,AC_142,2,2,,,,,
2,AC_143,7,7,,,,,
2,AC_144,5,5,,,,,
2,AC_148,8,8,,,,,
2,AC_152,5,5,,,,,
2,AC_153,4,4,,,,,
2,AC_158,6,6,,,,,
2,AC_159,3,3,,,,,
2,AC_171,7,7,,,,,
2,AC_172,3,3,,,,,
2,AC_178,8,8,,,,,
2,AC_182,9,9,,,,,
2,AC_186,8,8,,,,,
2,AC_195,2,2,,,,,
2,AC_199,4,4,,,,,
2,AC_204,"1,2,4",4,R,,,,
2,AC_206,6,6,,,,,
2,AC_211,7,7,,,,,
2,AC_213,7,7,,,,,
2,AC_215,1,1,,,,,
2,AC_30,4,4,,,,,
2,AC_34,"2,9,10",10,R,,,,
2,AC_38,8,8,,,,,
2,AC_52,3,3,,,,,
2,AC_54,4,4,,,,,
2,AC_68,9,9,,,,,
2,AC_72,7,7,,,,,
2,AC_82,"7,8,9",7,R,,,,
2,AC_83,1,1,,,,,
2,AC_94,7,7,,,,,
3,AC_10,7,7,,,,,
3,AC_100,5,5,,,,,
3,AC_111,"2,4,10",2,R,,,,
3,AC_113,8,8,,,,,
3,AC_115,6,6,,,,,
3,AC_119,6,6,,,,,
3,AC_122,2,2,,,,,
3,AC_133,4,4,,,,,
3,AC_147,9,9,,,,,
3,AC_154,3,3,,,,,
3,AC_155,4,4,,,,,
3,AC_16,9,9,,,,,
3,AC_160,2,2,,,,,
3,AC_17,3,3,,,,,
3,AC_179,5,5,,,,,
3,AC_187,"2,7,5",5,R,,,,
3,AC_188,4,4,,,,,
3,AC_192,10,10,,,,,
3,AC_197,"4,9,10",10,R,,,,
3,AC_201,8,8,,,,,
3,AC_208,"6,3,8",6,R,,,,
3,AC_212,8,8,,,,,
3,AC_216,"1,5,10",5,R,,,,
3,AC_217,"6,5,10",6,R,,,,
3,AC_32,7,7,,,,,
3,AC_40,"2,8,4",4,R,,,,
3,AC_5,1,1,,,,,
3,AC_51,6,6,,,,,
3,AC_64,8,8,,,,,
3,AC_75,5,5,,,,,
3,AC_81,"1,6,2",1,R,,,,
3,AC_90,4,4,,,,,
3,AC_92,1,1,,,,,
3,AC_95,10,10,,,,,
3,AC_99,"2,8,9",9,R,,,,
4,AC_10,7,7,,,,,
4,AC_109,"6,2,3",6,R,,,,
4,AC_113,8,8,,,,,
4,AC_115,8,8,,,,,
4,AC_118,4,4,,,,,
4,AC_119,1,1,,,,,
4,AC_130,5,5,,,,,
4,AC_14,1,1,,,,,
4,AC_144,4,4,,,,,
4,AC_148,5,5,,,,,
4,AC_151,5,5,,,,,
4,AC_152,7,7,,,,,
4,AC_154,6,6,,,,,
4,AC_158,5,5,,,,,
4,AC_16,2,2,,,,,
4,AC_171,1,1,,,,,
4,AC_178,3,3,,,,,
4,AC_179,2,2,,,,,
4,AC_182,4,4,,,,,
4,AC_185,4,4,,,,,
4,AC_197,"6,7,3",3,R,,,,
4,AC_203,9,9,,,,,
4,AC_204,"6,3,5",6,R,,,,
4,AC_206,2,2,,,,,
4,AC_215,2,2,,,,,
4,AC_32,5,5,,,,,
4,AC_34,"1,7,4",7,R,,,,
4,AC_40,"2,7,8",7,R,,,,
4,AC_46,8,8,,,,,
4,AC_55,"1,2,3",2,R,,,,
4,AC_58,"7,8,4",8,R,,,,
4,AC_70,"7,4,5",5,R,,,,
4,AC_72,2,2,,,,,
4,AC_83,3,3,,,,,
4,AC_88,6,6,,,,,
4,AC_92,2,2,,,,,
5,AC_100,9,9,,,,,
5,AC_110,5,5,,,,,
5,AC_111,"8,9,10",9,R,,,,
5,AC_122,6,6,,,,,
5,AC_123,10,10,,,,,
5,AC_128,1,1,,,,,
5,AC_131,3,3,,,,,
5,AC_136,3,3,,,,,
5,AC_143,8,8,,,,,
5,AC_147,7,7,,,,,
5,AC_155,9,9,,,,,
5,AC_159,1,1,,,,,
5,AC_17,3,3,,,,,
5,AC_172,7,7,,,,,
5,AC_186,"6,10",6,R,*seeds counted for plant 10 but moved to non-fitness box,,,
5,AC_192,2,2,,,,,
5,AC_200,6,6,,,,,
5,AC_201,2,2,,,,,
5,AC_211,10,10,,,,,
5,AC_212,9,9,,,,,
5,AC_213,4,4,,,,,
5,AC_216,"6,4,5",6,R,,,,
5,AC_217,"2,8,10",2,R,,,,
5,AC_218,"6,4,5",5,R,,,,
5,AC_48,2,2,,,,,
5,AC_5,9,9,,,,,
5,AC_54,6,6,,,,,
5,AC_56,6,6,,,,,
5,AC_62,1,1,,,,,
5,AC_64,8,8,,,,,
5,AC_82,"1,6,10",6,R,,,,
5,AC_86,4,4,,,,,
5,AC_89,6,6,,,,,
5,AC_90,3,3,,,,,
5,AC_96,1,1,,,,,
5,AC_97,"8,4,9",9,R,,,,
6,AC_104,10,10,,,,,
6,AC_107,8,8,,,,,
6,AC_11,6,6,,,,,
6,AC_114,9,9,,,,,
6,AC_120,4,4,,,,,
6,AC_133,3,3,,,,,
6,AC_142,2,2,,,,,
6,AC_15,4,4,,,,,
6,AC_153,7,7,,,,,
6,AC_160,2,2,,,,,
6,AC_168,3,3,,,,,
6,AC_181,4,4,,,,,
6,AC_187,"2,8,5",8,R,,,,
6,AC_188,4,4,,,,,
6,AC_189,"4,5,10",5,R,,,,
6,AC_190,"7,3,9",7,R,,,,
6,AC_191,7,7,,,,,
6,AC_193,8,8,,,,,
6,AC_195,1,1,,,,,
6,AC_199,5,5,,,,,
6,AC_205,5,5,,,,,
6,AC_208,"1,8,4",4,R,,,,
6,AC_30,10,10,,,,,
6,AC_38,5,5,,,,,
6,AC_51,3,3,,,,,
6,AC_52,6,6,,,,,
6,AC_57,5,5,,,,,
6,AC_66,6,6,,,,,
6,AC_68,8,8,,,,,
6,AC_74,7,7,,,,,
6,AC_75,3,3,,,,,
6,AC_81,"2,7,8",8,R,,,,
6,AC_94,5,5,,,,,
6,AC_95,6,6,,,,,
6,AC_99,"3,5,10",10,R,,,,
7,AC_100,9,9,,,,,
7,AC_104,8,8,,,,,
7,AC_107,6,6,,,,,
7,AC_111,"1,7,5",5,R,,,,
7,AC_113,8,8,,,,,
7,AC_120,7,7,,,,,
7,AC_122,3,3,,,,,
7,AC_128,3,3,,,,,
7,AC_130,7,7,,,,,
7,AC_143,4,4,,,,,
7,AC_160,8,8,,,,,
7,AC_17,6,6,,,,,
7,AC_171,10,10,,,,,
7,AC_172,3,3,,,,,
7,AC_178,4,4,,,,,
7,AC_186,9,9,,,,,
7,AC_190,"1,8,4",8,R,,,,
7,AC_193,5,5,,,,,
