Block,Location,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated?,NOTES
1,1,BB_206,5,5,,
1,1,BB_170,7,7,,
1,2,BB_79,,NA,R,
1,2,BB_179,3,3,,
1,2,BB_85,"6,3,7",3,R,
1,3,BB_3,1,1,,
1,3,BB_109,2,2,,
1,3,BB_10,5,5,,
1,4,BB_214,6,6,,
1,4,BB_161,"6,4",4,R,
1,4,BB_143,"6,7,4",7,R,
1,5,BB_20,"1,5,7",5,R,
1,5,BB_69,4,4,,
1,5,BB_114,5,5,,
1,5,BB_13,8,8,,
1,6,BB_195,4,4,,
1,6,BB_104,8,8,,
1,6,BB_193,8,8,,
1,7,BB_201,1,1,,
1,7,BB_27,2,2,,
1,7,BB_186,7,7,,
1,8,BB_207,6,6,,
1,8,BB_137,"6,3,7",3,R,
1,8,BB_218,7,7,,
1,9,BB_9,2,2,,
1,9,BB_17,"5,4,8",4,R,
1,9,BB_189,6,6,,
1,10,BB_58,2,2,,
1,10,BB_187,3,3,R,
1,10,BB_21,3,3,,
1,10,BB_32,5,5,R,
1,11,BB_71,,,,
1,11,BB_60,3,3,,
1,11,BB_93,7,7,,
1,12,BB_68,2,2,,
1,12,BB_18,6,6,,
1,13,BB_29,5,5,,
1,13,BB_131,6,6,,
1,13,BB_45,6,6,,
1,14,BB_172,4,4,,
1,14,BB_116,6,6,,
1,14,BB_83,7,7,,
1,15,BB_19,1,1,,
1,15,BB_61,8,8,R,
1,16,BB_166,5,5,,
1,16,BB_210,6,6,,
1,17,BB_98,2,2,,
1,17,BB_34,5,5,,
1,17,BB_146,7,7,,
1,18,BB_101,2,2,,
1,18,BB_52,5,5,,
1,19,BB_117,5,5,,
1,19,BB_134,6,6,,
1,19,BB_209,6,6,,
1,20,BB_164,"1,4,8",4,R,
1,20,BB_150,3,3,,
1,20,BB_48,8,8,,
1,21,BB_160,3,3,,
1,21,BB_4,4,4,,
1,21,BB_110,6,6,,
1,22,BB_84,4,4,,
1,22,BB_215,5,5,,
1,22,BB_149,6,6,,
1,23,BB_44,4,4,,
1,23,BB_103,5,5,,
1,23,BB_7,7,7,,
1,24,BB_199,1,1,,
1,24,BB_211,3,3,,
1,24,BB_200,5,5,,Plants 5 and 8 originally selected
1,25,BB_113,2,2,,
1,25,BB_171,2,2,,
1,25,BB_94,2,2,,
1,26,BB_59,"2,3,4",3,R,
1,26,BB_25,4,4,,
1,26,BB_185,"6,4,8",4,R,
1,27,BB_97,1,1,,
1,27,BB_70,6,6,,
1,27,BB_92,8,8,,
1,28,BB_76,1,1,,
1,28,BB_123,4,4,,
1,28,BB_163,6,6,,
1,29,BB_81,5,5,,
1,29,BB_135,8,8,,
W1,30,BB_32,"1,6,3",NA,R,
W1,30,BB_17,2,NA,R,
W1,30,BB_185,"5,6,3",NA,R,
1,31,BB_133,3,3,,
1,31,BB_154,4,4,,
1,31,BB_95,8,8,,
1,32,BB_64,3,3,,
1,32,BB_8,8,8,,
1,33,BB_205,1,1,,
1,33,BB_147,1,1,,
1,33,BB_159,5,5,,
1,34,BB_46,1,1,,
1,34,BB_53,2,2,,
1,34,BB_102,"5,2,7",7,R,
1,35,BB_183,,NA,,
1,35,BB_2,6,6,,
1,36,BB_151,2,2,,
1,36,BB_72,4,4,,
1,36,BB_204,8,8,,
1,37,BB_50,2,2,,
1,37,BB_132,6,6,,
1,37,BB_121,7,7,,
1,38,BB_63,,NA,,
1,38,BB_126,3,3,,
1,38,BB_89,4,4,,
1,38,BB_139,7,7,,
1,39,BB_105,"2,3,4",3,R,*2 never flowered
1,39,BB_145,4,4,,
1,39,BB_39,5,5,,
W1,40,BB_118,"1,6,4",NA,R,
W1,40,BB_187,"6,3,4",NA,R,
W1,40,BB_77,7,NA,R,
1,41,BB_77,,NA,R,
1,41,BB_37,2,2,,
1,41,BB_190,2,2,,
1,42,BB_138,1,1,,
1,42,BB_111,6,6,,
1,43,BB_35,2,2,,
1,43,BB_54,6,6,,
1,43,BB_87,7,7,,
1,44,BB_152,2,2,R,
1,44,BB_208,3,3,,
1,44,BB_40,4,4,,
1,45,BB_43,,NA,,
1,45,BB_74,4,4,,
1,45,BB_192,8,8,,
1,46,BB_127,,NA,,
1,46,BB_153,1,1,,
1,46,BB_24,"3,4,8",4,R,
1,47,BB_31,1,1,,
1,47,BB_30,2,2,,
1,47,BB_49,"5,3,8",3,R,
1,48,BB_148,,NA,,
1,48,BB_205 B,,NA,,
1,48,BB_157,7,7,,
1,49,BB_181,,NA,,
1,49,BB_88,7,7,,
1,49,BB_119,8,8,,
W1,50,BB_161,4,NA,R,
W1,50,BB_143,"5,2,4",NA,R,
W1,50,BB_49,"5,3,7",NA,R,
1,51,BB_80,3,3,,
1,51,BB_140,5,5,,
1,51,BB_158,8,8,,
1,52,BB_16,1,1,,
1,52,BB_51,"1,2,6",1,R,
1,52,BB_216,6,6,,
1,53,BB_56,4,4,,
1,53,BB_118,"5,3,8",3,R,
1,53,BB_78,7,7,,
1,54,BB_42,7,7,,
1,54,BB_120,8,8,,
1,55,BB_86,1,1,,
2,56,BB_118,,NA,R,
2,56,BB_148,,NA,,
2,56,BB_16,4,4,,
2,57,BB_111,1,1,,
2,57,BB_120,3,3,,
2,57,BB_92,7,7,,
2,58,BB_153,3,3,,
2,58,BB_127,5,5,,
2,58,BB_50,6,6,,
2,59,BB_56,1,1,,**Two fitness plants? 1 and 8 originally recorded. Double check. No fruit collected from either
2,59,BB_143,"5,2,4",2,R,
2,59,BB_133,8,8,,
W1,60,BB_51,"2,7",NA,R,
W1,60,BB_152,"7,8",NA,R,
W1,60,BB_85,8,NA,R,
2,61,BB_27,,NA,,
2,61,BB_147,6,6,,
2,61,BB_78,8,8,,
2,62,BB_211,,NA,,
2,62,BB_61,"1,7,8",1,R,
2,62,BB_214,8,8,,
2,63,BB_171,1,1,,
2,63,BB_114,6,6,,
2,63,BB_83,6,6,,plants 6 and 3 originally recorded
2,64,BB_69,,NA,,
2,64,BB_20,,NA,R,
2,64,BB_51,"3,7,8",3,R,
2,65,BB_135,,NA,,
2,65,BB_52,4,4,,
2,65,BB_150,8,8,,
2,66,BB_84,,NA,,
2,66,BB_43,,NA,,
2,66,BB_37,,NA,,
2,67,BB_134,,NA,,
2,67,BB_204,,NA,,
2,67,BB_164,2,2,R,
2,68,BB_121,,NA,,
2,68,BB_218,7,7,,
2,69,BB_163,,NA,,
2,69,BB_81,1,1,,plants 1 and 5 originally recorded.
2,69,BB_199,8,8,,
W1,70,BB_105,4,NA,R,
W1,70,BB_61,6,NA,R,
W1,70,BB_20,"7,4",NA,R,
2,71,BB_210,1,1,,
2,71,BB_146,2,2,,
2,71,BB_8,8,8,,
2,72,BB_68,1,1,,
2,72,BB_119,6,6,,
2,72,BB_195,7,7,,
2,73,BB_45,2,2,,
2,73,BB_24,2,2,R,
2,73,BB_216,4,4,,
2,74,BB_40,,NA,,
2,74,BB_64,1,1,,
2,74,BB_157,5,5,,
2,75,BB_58,,NA,,
2,75,BB_31,3,3,,
2,75,BB_95,6,6,,
2,76,BB_85,,NA,R,
2,76,BB_161,"2,3",3,R,
2,76,BB_53,7,7,,
2,77,BB_32,"1,5,8",1,R,
2,77,BB_151,6,6,,
2,77,BB_104,8,8,,
2,78,BB_18,,NA,,
2,78,BB_9,3,3,,
2,78,BB_209,6,6,,
2,79,BB_105,1,1,R,
2,79,BB_72,6,6,,
2,79,BB_76,8,8,,
2,80,BB_207,3,3,,
2,80,BB_145,3,3,,
2,80,BB_19,8,8,,
W1,80.5,BB_137,"1,5,2",NA,R,
W1,80.5,BB_59,"2,7",NA,R,
W1,80.5,BB_102,"6,4,8",NA,R,
2,81,BB_3,,NA,,
2,81,BB_113,4,4,,**Two fitness plants? Double check. 3 and 4 originally recorded.
2,81,BB_159,5,5,,**Two fitness plants? Double check. 2 and 5 originally recorded.
2,82,BB_166,,NA,,
2,82,BB_42,,NA,,
2,82,BB_25,4,4,,
2,82,BB_131,8,8,,
2,83,BB_109,3,3,,
2,83,BB_39,5,5,,**Two fitness plants? Double check. 4 and 5 originally recorded
2,83,BB_93,6,6,,
2,83,BB_102,"6,4,8",6,R,
2,84,BB_152,,NA,R,
2,84,BB_187,"1,6,3",1,R,
2,84,BB_186,8,8,,
2,85,BB_79,"2,3,7",3,R,
2,85,BB_2,3,3,,
2,85,BB_29,4,4,,
2,85,BB_193,6,6,,
2,86,BB_103,1,1,,
2,86,BB_179,2,2,,
2,86,BB_77,"5,7,4",7,R,
2,86,BB_189,7,7,,
2,87,BB_137,2,2,R,
2,87,BB_206,2,2,,
2,87,BB_87,5,5,,
2,87,BB_126,8,8,,
2,88,BB_140,,NA,,
2,88,BB_116,1,1,,
2,88,BB_17,"5,2,4",2,R,
2,88,BB_149,8,8,,
2,89,BB_154,,NA,,
2,89,BB_139,,NA,,
2,89,BB_185,,NA,R,
2,89,BB_208,,NA,,
W1,90,BB_164,"5,7,4",NA,R,
W1,90,BB_24,"7,8",NA,R,
W1,90,BB_79,8,NA,R,
2,91,BB_158,,NA,,
2,91,BB_70,,NA,,
2,91,BB_7,2,2,,
2,91,BB_49,7,NA,R,Never flowered?
2,92,BB_117,NA,NA,,
2,92,BB_160,8,8,,
2,92,BB_10,8,8,,
2,92,BB_80,8,8,,
2,93,BB_4,,NA,,
2,93,BB_172,,NA,,
2,93,BB_132,,NA,,
2,93,BB_138,2,2,,
2,94,BB_101,,NA,,
2,94,BB_94,3,3,,
2,94,BB_13,4,4,,
2,95,BB_201,,NA,,
2,95,BB_88,,NA,,
2,95,BB_63,7,7,,
2,96,BB_205 B,,NA,,
2,96,BB_98,,NA,,
2,96,BB_200,1,1,,
2,96,BB_44,3,3,,
2,97,BB_190,,NA,,
2,97,BB_71,1,1,,
2,97,BB_60,5,5,,
2,98,BB_86,3,3,,
2,98,BB_110,5,5,,
2,99,BB_59,2,2,R,
2,99,BB_192,4,4,,
2,99,BB_35,5,5,,
2,99,BB_205 A,6,6,,
W2,100,BB_32,,NA,R,
W2,100,BB_161,,NA,R,
W2,100,BB_85,"1,2,8",NA,R,
2,101,BB_97,,NA,,
2,101,BB_74,,NA,,
2,101,BB_21,3,3,,
2,102,BB_89,,NA,,
2,102,BB_34,,NA,,
2,102,BB_183,4,4,,
2,103,BB_215,2,2,,
2,103,BB_181,2,2,,
2,103,BB_30,6,6,,
2,103,BB_54,7,7,,
2,104,BB_170,1,1,,
2,104,BB_48,4,4,,
2,104,BB_46,4,4,,
2,105,BB_123,7,7,,
3,106,BB_71,2,2,,
3,106,BB_103,5,5,,
3,106,BB_72,5,5,,
3,107,BB_159,,NA,,
3,107,BB_181,,NA,,
3,107,BB_20,"3,7,8",3,R,
3,108,BB_215,,NA,,
3,108,BB_204,7,7,,
3,108,BB_186,8,8,,
3,109,BB_97,2,2,,
3,109,BB_87,3,3,,
3,109,BB_24,8,8,R,
W2,110,BB_77,"5,7,4",NA,R,
