Transect,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated?,NOTES
1,BO_104,4,4,,
1,BO_105,,NA,,
1,BO_114,,NA,,
1,BO_115,5,5,,
1,BO_117,7,7,,
1,BO_118,3,3,,
1,BO_12,1,1,,
1,BO_120,2,2,,
1,BO_121,6,6,,
1,BO_127,8,8,R,
1,BO_130,7,7,R,
1,BO_137,"5,8",5,R,
1,BO_139,7,7,,
1,BO_141,2,2,,
1,BO_149,"1,4",4,R,
1,BO_153,,NA,,
1,BO_155,8,8,,
1,BO_166,6,6,R,
1,BO_175,2,2,,
1,BO_176,5,5,,
1,BO_178,3,3,,
1,BO_182,"1,4",4,R,
1,BO_185,1,1,,
1,BO_19,7,7,,
1,BO_191,6,6,,
1,BO_21,"1,3,4",1,R,
1,BO_22,,NA,,
1,BO_24,"2,3",3,R,
1,BO_29,1,1,,
1,BO_34,,NA,,
1,BO_4,"6,7",6,R,
1,BO_43,,NA,,
1,BO_45,5,5,,
1,BO_47,6,6,,
1,BO_48,"3,8",3,R,
1,BO_60,4,4,,
1,BO_66,7,7,,
1,BO_79,,NA,,
1,BO_8,2,2,,
1,BO_80,"1,2,3",1,R,
1,BO_82,"1,2",1,R,
1,BO_94,4,4,,
1,BO_98,7,7,,
1,BO_99,2,2,,
2,BO_106,6,6,,
2,BO_108,,NA,,
2,BO_111,3,3,,
2,BO_122,,NA,,
2,BO_125,7,7,,
2,BO_132,3,3,,
2,BO_135,,NA,,
2,BO_152,"1,7,8",1,R,
2,BO_154,8,8,,
2,BO_159,6,6,,
2,BO_164,5,5,,
2,BO_17,3,3,,
2,BO_174,2,2,,
2,BO_189,4,4,R,
2,BO_198,2,2,,
2,BO_199,"2,7,4",2,R,
2,BO_200,6,6,,
2,BO_31,,NA,,
2,BO_44,,NA,,
2,BO_50,7,7,,
2,BO_51,7,7,,
2,BO_52,4,4,,
2,BO_55,7,7,,
2,BO_56,3,3,,
2,BO_61,1,1,,1 and 8 originally selected
2,BO_63,2,2,,
2,BO_70,,NA,,
2,BO_71,6,6,,
2,BO_72,2,2,,
2,BO_78,7,7,,
2,BO_86,"2,7,8",7,R,
2,BO_89,3,3,,
2,BO_95,8,8,,
3,BO_1,5,5,,
3,BO_100,8,8,,
3,BO_116,6,6,,
3,BO_123,2,2,,
3,BO_124,,NA,,
3,BO_126,"5,6,3",3,R,
3,BO_13,,NA,,
3,BO_134,5,5,,
3,BO_140,1,1,,
3,BO_142,"5,6,8",6,R,
3,BO_143,,NA,,
3,BO_145,4,4,,
3,BO_146,7,7,,
3,BO_148,,NA,,
3,BO_150,4,4,,
3,BO_151,"6,3",6,R,
3,BO_158,1,1,,
3,BO_169,6,6,,
3,BO_171,3,3,,
3,BO_180,,NA,,
3,BO_186,,NA,,
3,BO_190,,NA,,
3,BO_201,,7,,Never marked in field but fruit collected
3,BO_25,"5,7",5,R,
3,BO_28,1,1,,
3,BO_53,,NA,,
3,BO_54,1,1,,
3,BO_67,,NA,,
3,BO_69,1,1,,
3,BO_85,,NA,,
3,BO_88,5,5,,
