Transect,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated?,NOTES,,
1,HR_10,5,5,,,,
1,HR_105,7,7,,,,
1,HR_108,1,1,,,,
1,HR_11,8,8,,,,
1,HR_110,6,6,,,,
1,HR_113,5,5,,,,
1,HR_114,7,7,,,,
1,HR_115,6,6,,,,
1,HR_123,5,5,,,,
1,HR_134,4,4,,,,
1,HR_136,3,3,,,,
1,HR_146,"6,3,8",8,R,,,
1,HR_148,"5,6",5,R,,,
1,HR_158,4,4,,,,
1,HR_16,4,4,,,,
1,HR_162,"5,2,8",2,R,,,
1,HR_170,5,5,,,,
1,HR_173,5,5,,,,
1,HR_175,6,6,,,,
1,HR_176,7,7,,,,
1,HR_177,3,3,,,,
1,HR_178,6,6,,,,
1,HR_18,8,8,,,,
1,HR_183,2,2,,,,
1,HR_196,5,5,,,,
1,HR_20,8,8,,,,
1,HR_25,,NA,,,,
1,HR_26,4,4,,,,
1,HR_32,4,4,,,,
1,HR_33,5,5,,,,
1,HR_36,4,4,,,,
1,HR_37,5,5,,,,
1,HR_39,1,1,,,,
1,HR_40,"5,3,7",5,R,,,
1,HR_41,3,3,,,,
1,HR_46,6,6,,,,
1,HR_47,2,2,,,,
1,HR_49,3,3,,,,
1,HR_5,4,4,,,,
1,HR_57,4,4,,,,
1,HR_58,2,2,,,,
1,HR_61,2,2,,,,
1,HR_7,6,6,,,,
1,HR_83,,NA,,,,
1,HR_92,1,1,,,,
1,HR_95,8,8,,,,
2,HR_101,"6,3,4",3,R,,,
2,HR_104,4,4,,,,
2,HR_107,6,6,,,,
2,HR_109,8,8,,,,
2,HR_112,"5,3,7",3,R,,,
2,HR_119,"1,5,8",5,R,,,
2,HR_12,7,7,,,,
2,HR_121,1,1,,,,
2,HR_126,7,7,,,,
2,HR_129,1,1,,,,
2,HR_133,6,6,,,,
2,HR_137,8,8,,,,
2,HR_14,6,6,,,,
2,HR_142,"1,3,4","1,3,4",R,,,
2,HR_145,"5,6,3",3,R,,,
2,HR_149,"1,2,4",1,R,,,
2,HR_15,"6,3,7",6,R,,,
2,HR_153,4,4,,,,
2,HR_161,8,8,,,,
2,HR_164,3,3,,,,
2,HR_165,8,8,,,,
2,HR_169,5,5,,,,
2,HR_180,"2,6,7",6,R,,,
2,HR_195,3,3,,,,
2,HR_201,6,6,,,,
2,HR_23,2,2,,,,
2,HR_27,8,8,,,,
2,HR_34,5,5,,,,
2,HR_35,6,6,,,,
2,HR_38,8,8,,,,
2,HR_43,"1,5,4",4,R,,,
2,HR_50,1,1,,,,
2,HR_51,3,3,,,,
2,HR_54,1,1,,,,
2,HR_59,"1,5,8",5,R,,,
2,HR_6,6,6,,,,
2,HR_62,5,5,,,,
2,HR_64,"6,7,8",8,R,,,
2,HR_71,"5,2,7",7,R,,,
2,HR_72,7,7,,,,
2,HR_73,3,3,,,,
2,HR_78,2,2,,,,
2,HR_80,"1,5,6",1,R,,,
2,HR_85,4,4,,,,
2,HR_86,1,1,,,,
