Block,Transect,Donor,Recipient,est_seed_prod,total_fruit_prod,closed_fruits,seed_count,P_surv_flower,FIT_surv_x_seedprod,FIT_surv_x_fruitprod,BLOCKmean_FIT_surv_x_seedprod,BLOCKmean_FIT_surv_x_fruitprod,BLOCKmean_est_seed_prod,BLOCKmean_total_fruit_prod,BLOCKmean_seed_count,BLOCKmean_P_surv_flower,Rel_FIT_surv_x_seedprod,Rel_FIT_surv_x_fruitprod,Rel_est_seed_prod,Rel_total_fruit_prod,Rel_seed_count,Rel_P_surv_flower
1,1,BO_001,BO_048,0,6,6,0,0.25,0,1.5,2.220401493930906,1.0953608247422681,10.40046685340803,4.505154639175258,3.966666666666667,0.26804123711340205,0,1.3694117647058823,0,1.331807780320366,0,0.9326923076923077
1,1,BO_005,BO_019,NA,0,0,NA,0.125,NA,0,2.220401493930906,1.0953608247422681,10.40046685340803,4.505154639175258,3.966666666666667,0.26804123711340205,NA,0,NA,0,NA,0.46634615384615385
1,1,BO_005,BO_176,NA,0,0,NA,0.5,NA,0,2.220401493930906,1.0953608247422681,10.40046685340803,4.505154639175258,3.966666666666667,0.26804123711340205,NA,0,NA,0,NA,1.8653846153846154
1,1,BO_013,BO_141,14,7,7,14,0.25,3.5,1.75,2.220401493930906,1.0953608247422681,10.40046685340803,4.505154639175258,3.966666666666667,0.26804123711340205,1.5762914993376926,1.5976470588235292,1.3460934203556905,1.5537757437070938,3.5294117647058822,0.9326923076923077
1,1,BO_033,BO_099,19.200000000000003,12,5,8,0.125,2.4000000000000004,1.5,2.220401493930906,1.0953608247422681,10.40046685340803,4.505154639175258,3.966666666666667,0.26804123711340205,1.0808855995458464,1.3694117647058823,1.8460709764878043,2.663615560640732,2.0168067226890756,0.46634615384615385
1,1,BO_038,BO_082,NA,0,0,NA,0.25,NA,0,2.220401493930906,1.0953608247422681,10.40046685340803,4.505154639175258,3.966666666666667,0.26804123711340205,NA,0,NA,0,NA,0.9326923076923077
1,1,BO_038,BO_137,NA,0,0,NA,0.25,NA,0,2.220401493930906,1.0953608247422681,10.40046685340803,4.505154639175258,3.966666666666667,0.26804123711340205,NA,0,NA,0,NA,0.9326923076923077
1,1,BO_038,BO_149,0,2,2,0,0.25,0,0.5,2.220401493930906,1.0953608247422681,10.40046685340803,4.505154639175258,3.966666666666667,0.26804123711340205,0,0.4564705882352941,0,0.4439359267734554,0,0.9326923076923077
1,1,BO_040,BO_029,4.5,3,2,3,0.125,0.5625,0.375,2.220401493930906,1.0953608247422681,10.40046685340803,4.505154639175258,3.966666666666667,0.26804123711340205,0.2533325623935577,0.3423529411764706,0.43267288511432905,0.665903890160183,0.7563025210084033,0.46634615384615385
1,1,BO_058,BO_094,39.599999999999994,6,5,33,0.125,4.949999999999999,0.75,2.220401493930906,1.0953608247422681,10.40046685340803,4.505154639175258,3.966666666666667,0.26804123711340205,2.2293265490633076,0.6847058823529412,3.8075213890060953,1.331807780320366,8.319327731092436,0.46634615384615385
