,,,,,,,,,,,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,,Collection Date: 2022-05-24 to 2022-05-26,,,,Collection Date: 2022-06-06 to 2022-06-08,,,,Collection Date: 2022-06-22,,,,Collection Date: NA,,,
,,,,Plant number of fitness plant (when chosen),,,,,,,,,,,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Open Fruits ,Eaten or damaged fruits,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Total number of non-fitness fruits collected from segment,Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Date Sown,Date Flowered ,,,,,,,,,,,,,,,,,,,,
26,1,AC_15,AC_015,5,3,0,0,6,3,0,2,18,11/04/2021,04/21/2022,,,,,,,,,3,,,,,,,,,,,
12,1,AC_46,AC_046,3,8,4,0,28,12,11,3.5,42,11/04/2021,04/09/2022,,,,,,,,6,6,3,,5,2,1,,,,,,
6,1,AC_48,AC_048,4,21,9,0,73,30,29,3.476190476,104.2857143,11/04/2021,04/21/2022,,,,,7,,,11,9,,,18,5,9,,,,,,
32,1,AC_55,AC_055,5,14,12,0,54,26,6,3.857142857,100.2857143,11/04/2021,04/09/2022,,,,,14,1,,,,,,6,,11,,,,,,
32,1,AC_55,AC_055,9,5,0,0,11,5,0,2.75,13.75,11/04/2021,04/09/2022,,,,,4,,,,1,,,,,,,,,,,
15,1,AC_56,AC_056,5,11,0,0,20,11,24,1.818181818,20,11/04/2021,04/09/2022,,,,,4,,,15,7,,,9,,,,,,,,
25,1,AC_57,AC_057,7,1,2,0,3,3,4,3,9,11/04/2021,04/21/2022,,,,,,2,,4,1,,,,,,,,,,,
29,1,AC_58,AC_058,1,3,3,0,3,6,33,1,6,11/04/2021,04/21/2022,,,,,3,,,16,,,,17,,3,,,,,,
29,1,AC_58,AC_058,7,7,2,0,8,9,0,4,36,11/04/2021,04/21/2022,,,,,,,,,5,2,,,2,,,,,,,
29,1,AC_58,AC_058,9,1,20,0,0,21,0,0,0,11/04/2021,04/09/2022,,,,,1,1,,,,,,,,19,,,,,,
17,1,AC_62,AC_062,6,1,0,0,1,1,23,1,1,11/04/2021,04/09/2022,,,,,1,,,9,,,,14,,,,,,,,
