,,,,,,,,,,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,Collection Date: 2022-05-24 to 2022-05-26,,,Collection Date: 2022-06-06 to 2022-06-08,,,Collection Date: 2022-06-22,,,Collection Date: NA,,
,,,,,,,,,,,,,,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Number of Open Fruits ,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Date Sown,Date Flowered ,Number of days between sow and flower ,,,,,,,,,,,,,,,
26,1,AC_15,AC_015,5,3,0,6,3,2,6,11/04/2021,04/21/2022,168,,,,,,,3,8,6,,,,,,
12,1,AC_46,AC_046,3,8,4,28,12,3.5,42,11/04/2021,04/09/2022,156,,,,,,,6,40,26,2,2,2,,,
6,1,AC_48,AC_048,4,21,9,73,30,3.476190476,104.2857143,11/04/2021,04/21/2022,168,,,,7,,21,9,,33,5,,19,,,
32,1,AC_55,AC_055,5,14,12,54,26,3.857142857,100.2857143,11/04/2021,04/09/2022,156,,,,14,,54,,,,,,,,,
32,1,AC_55,AC_055,9,5,0,11,5,2.2,11,11/04/2021,04/09/2022,156,,,,4,,11,1,,0,,,,,,
15,1,AC_56,AC_056,5,11,0,20,11,1.818181818,20,11/04/2021,04/09/2022,156,,,,4,,12,7,,8,,,,,,
25,1,AC_57,AC_057,7,1,2,3,3,3,9,11/04/2021,04/21/2022,168,,,,,,,1,,3,,,,,,
29,1,AC_58,AC_058,1,3,3,3,6,1,6,11/04/2021,04/21/2022,168,,,,3,,3,,,,,,,,,
29,1,AC_58,AC_058,7,7,0,17,7,2.428571429,17,11/04/2021,04/21/2022,168,,,,,,,5,,9,2,,8,,,
29,1,AC_58,AC_058,9,1,20,0,21,0,0,11/04/2021,04/09/2022,156,,,,1,,0,,,,,,,,,
17,1,AC_62,AC_062,6,1,0,1,1,1,1,11/04/2021,04/09/2022,156,,,,1,,1,,,,,,,,,
34,1,AC_66,AC_066,10,6,0,9,6,1.5,9,11/04/2021,04/21/2022,168,1,,0,3,,8,2,,1,,,,,,
10,1,AC_70,AC_070,7,8,6,31,14,3.875,54.25,11/04/2021,04/21/2022,168,,,,4,,19,4,,12,,,,,,
