,,,,,,,,,,,,,,,,,,,,Collection Date: 2022-04-08,,,Collection Date: 2022-04-22 to 2022-04-23,,,Collection Date: 2022-04-28 to 2022-04-29,,,Collection Date: 2022-05-04,,,Collection Date: 2022-05-12,,,Collection Date: 2022-05-19 ,,,Collection Date: 2022-05-25 to 2022-05-26,,,Collection Date: 2022-06-09,,,Collection Date: NA,,
Sequence,Block,Location,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),Total number of viable seeds counted across multiple dates,Identifier,Idnetifier,ff_date,Index Match ,Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Total number of all Open fruits,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Sown Date ,Flowering Date ,Days from sown to flower ,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
1,1,1,BB_170,BB_170,7,0,1_BB_170_7,1_BB_170_7,1-Apr,1-Apr,0,#REF!,0,#REF!,#DIV/0!,#DIV/0!,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,BB_206,BB_206,5,6,1_BB_206_5,1_BB_206_5,17-Mar,17-Mar,2,#REF!,6,#REF!,3,#REF!,12/04/2022,03/17/2022,,,,,,,,,,,1,,4,,,,1,,2,,,,,,,,,
17,1,2,BB_79,BB_079,,0,2_BB_79_,2_BB_85_3,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,2,BB_85,BB_085,3,0,2_BB_85_3,2_BB_179_3,17-Mar,17-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,2,BB_85,BB_085,6,0,2_BB_85_6,2_BB_85_3,17-Mar,17-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,2,BB_85,BB_085,7,4,2_BB_85_7,2_BB_85_7,17-Mar,17-Mar,1,#REF!,4,#REF!,4,4,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,
13,1,2,BB_179,BB_179,3,0,2_BB_179_3,2_BB_85_6,17-Mar,17-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/25/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,2,BB_179,BB_179,NF,0,2_BB_179_NF,2_BB_85_7,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,3,BB_3,BB_003,1,0,3_BB_3_1,3_BB_109_2,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,3,BB_109,BB_109,2,2,3_BB_109_2,3_BB_10_5,11-Mar,11-Mar,1,#REF!,2,#REF!,2,2,12/04/2022,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,
41,1,4,BB_143,BB_143,4,4,4_BB_143_4,4_BB_161_4,1-Apr,25-Mar,1,#REF!,4,#REF!,4,4,12/04/2022,03/25/2022,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,
41,1,4,BB_143,BB_143,6,10,4_BB_143_6,4_BB_143_4,25-Mar,1-Apr,1,#REF!,10,#REF!,10,10,12/04/2022,04/01/2022,,,,,,,,,,,,,,1,,10,,,,,,,,,,,,
41,1,4,BB_143,BB_143,7,28,4_BB_143_7,4_BB_161_6,1-Apr,17-Mar,3,#REF!,28,#REF!,9.333333333,28,12/04/2022,03/17/2022,,,,,,,,,,,1,,9,2,,19,,,,,,,,,,,,
33,1,4,BB_161,BB_161,6,0,4_BB_161_6,4_BB_214_6,1-Apr,1-Apr,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,4,BB_214,BB_214,3,0,4_BB_214_3,4_BB_143_6,1-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,5,BB_13,BB_013,8,0,5_BB_13_8,4_BB_143_7,17-Mar,11-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,03/11/2022,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
