,,,,,,Collection Date: 2022-04-13 ,,,Collection Date: 2022-04-21 to 2022-04-22,,,Collection Date: 2022-04-28 to 2022-04-29,,,Collection Date: 2022-05-05,,,Collection Date: 2022-05-11 to 2022-05-13,,,Collection Date: 2022-05-20,,,Collection Date: 2022-05-25 to 2022-05-27,,,Collection Date: 2022-06-13 to 2022-06-14,,,Collection Date: NA,,
Sequence,Transect,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),viable_seeds,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
89,1,BO_4,BO_004,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,BO_4,BO_004,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,BO_8,BO_008,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,BO_12,BO_012,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,BO_19,BO_019,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,BO_21,BO_021,1,6,,,,,,,,,,,,,,,,,,,3,,6,,,,,,
81,1,BO_21,BO_021,3,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
81,1,BO_21,BO_021,4,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
141,1,BO_22,BO_022,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,BO_24,BO_024,3,0,,,,,,,,,,,,,2,,0,,,,1,,0,,,,,,
45,1,BO_29,BO_029,1,3,,,,,,,,,,,,,,,,,,,2,,3,,,,,,
57,1,BO_34,BO_034,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,BO_43,BO_043,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,BO_45,BO_045,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,BO_47,BO_047,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,BO_48,BO_048,3,0,,,,,,,,,,,,,2,,0,,,,4,,0,,,,,,
25,1,BO_48,BO_048,8,24,,,,,,,,,,,,,5,,7,,,,4,,17,,,,,,
93,1,BO_60,BO_060,4,3,,,,,,,,,,,,,,,,,,,2,,3,,,,,,
13,1,BO_66,BO_066,7,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
153,1,BO_79,BO_079,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1,BO_80,BO_080,1,2,,,,,,,,,,,,,,,,1,,0,3,,2,,,,,,
149,1,BO_80,BO_080,2,2,,,,,,,,,,,,,2,,0,,,,3,,2,,,,,,
149,1,BO_80,BO_080,3,18,,,,,,,,,,,,,,,,1,,1,10,,17,,,,,,
157,1,BO_82,BO_082,2,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
165,1,BO_94,BO_094,4,33,,,,,,,,,,,,,3,,22,,,,2,,11,,,,,,
109,1,BO_98,BO_098,7,2,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
33,1,BO_99,BO_099,2,8,,,,,,,,,,,,,1,,0,,,,4,,8,,,,,,
41,1,BO_104,BO_104,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1,BO_105,BO_105,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,BO_114,BO_114,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,BO_115,BO_115,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,BO_117,BO_117,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1,BO_118,BO_118,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,BO_120,BO_120,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1,BO_121,BO_121,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1,BO_127,BO_127,8,46,,,,,,,,,,,,,,,,,,,14,,46,,,,,,
1,1,BO_130,BO_130,7,12,,,,,,,,,,,,,8,,4,,,,7,,8,,,,,,
17,1,BO_137,BO_137,8,5,,,,,,,,,,,,,1,,0,1,,5,,,,,,,,,
113,1,BO_139,BO_139,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,BO_141,BO_141,2,14,,,,,,,,,,,,,1,,0,,,,6,,14,,,,,,
129,1,BO_149,BO_149,1,0,,,,,,,,,,,,,,,,,,,3,,0,,,,,,
129,1,BO_149,BO_149,4,0,,,,,,,,,,,,,2,,0,,,,,,,,,,,,
169,1,BO_153,BO_153,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1,BO_155,BO_155,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,BO_166,BO_166,6,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
121,1,BO_175,BO_175,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
