,,,,,,Collection Date: 2022-04-14,,,Collection Date: 2022-04-20,,,Collection Date: 2022-04-26 to 2022-04-27,,,Collection Date: 2022-05-02 to 2022-05-06,,,Collection Date: 2022-05-09 to 2022-05-12,,,Collection Date: 2022-05-16 to 2022-05-20,,,Collection Date: 2022-05- 23 to 2022-05-24,,,Collection Date: 2022-06-13 to 2022-06-19,,,Collection Date: NA,,
Sequence,Transect,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),viable_seeds,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
12,1,HR_5,HR_005,4,42,,,,1,,0,,,,,,,16,,42,5,,0,3,,0,,,,,,
29,1,HR_7,HR_007,6,8,,,,,,,,,,3,,8,2,,0,1,,0,1,,0,,,,,,
21,1,HR_10,HR_010,5,1,,,,,,,,,,3,,1,3,,0,,,,,,,,,,,,
36,1,HR_11,HR_011,8,16,,,,,,,,,,1,,0,5,,16,5,,0,,,,,,,,,
20,1,HR_16,HR_016,4,0,,,,,,,,,,,,,5,,0,2,,0,,,,,,,,,
43,1,HR_18,HR_018,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,HR_20,HR_020,8,7,,,,,,,,,,3,,7,1,,0,,,,,,,,,,,,
27,1,HR_25,HR_025,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,HR_26,HR_026,4,1,,,,,,,,,,1,,0,2,,1,,,,,,,,,,,,
34,1,HR_32,HR_032,4,6,,,,,,,,,,,,,5,,4,3,,2,1,,0,,,,,,
8,1,HR_33,HR_033,5,21,,,,,,,,,,,,,11,,9,7,,12,,,,,,,,,
7,1,HR_36,HR_036,4,8,,,,,,,,,,8,,8,,,,,,,,,,,,,,,
45,1,HR_37,HR_037,5,11,,,,,,,,,,,,,6,,11,2,,0,,,,,,,,,
41,1,HR_39,HR_039,1,7,,,,,,,,,,,,,3,,7,2,,0,,,,,,,,,
28,1,HR_40,HR_040,3,0,,,,,,,,,,3,,0,3,,0,2,,0,2,,0,,,,,,
28,1,HR_40,HR_040,5,2,,,,,,,,,,2,,2,2,,0,1,,0,,,,,,,,,
28,1,HR_40,HR_040,7,12,,,,,,,,,,5,,11,6,,1,2,,0,2,,0,,,,,,
22,1,HR_41,HR_041,3,8,,,,,,,,,,,,,2,,8,,,,,,,,,,,,
18,1,HR_46,HR_046,6,6,,,,,,,1,,0,4,,3,6,,3,3,,0,2,,0,,,,,,
38,1,HR_47,HR_047,2,8,,,,,,,,,,,,,5,,6,4,,2,,,,,,,,,
32,1,HR_49,HR_049,3,4,,,,,,,,,,,,,8,,4,3,,0,,,,,,,,,
13,1,HR_57,HR_057,4,2,,,,,,,,,,1,,2,1,,0,,,,,,,,,,,,
1,1,HR_58,HR_058,2,11,,,,,,,,,,9,,6,10,,3,4,,1,5,,1,,,,,,
9,1,HR_61,HR_061,2,22,,,,,,,,,,,,,10,,14,6,,6,3,,2,,,,,,
