,Site:  Angelo Coast 2021-22,,,,,Plant ID,,,,,,,,,
Block (1-3),Transect (1-9),Sequence (1-321),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10
1,1,1,AC_150,AC_200,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
1,1,1,AC_150,AC_200,Flow Date,,,,,,,,,,
1,1,2,AC_102,AC_191,Germ Date,2022-12-05,2022-12-05,,,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03
1,1,2,AC_102,AC_191,Flow Date,,,,,,,,,,Dead 12/5
1,1,3,AC_177,AC_107,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05
1,1,3,AC_177,AC_107,Flow Date,,,,,,,,,,
1,1,4,AC_94,AC_109,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,1,4,AC_94,AC_109,Flow Date,,,,,,,,,Dead 12/5,
1,1,5,AC_150,AC_110,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03
1,1,5,AC_150,AC_110,Flow Date,,,,,,,,,,
1,1,6,AC_186,AC_48,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05
1,1,6,AC_186,AC_48,Flow Date,,,,,,,,,,
1,1,7,AC_15,AC_190,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,1,7,AC_15,AC_190,Flow Date,,,,,,,,,,
