Site: Bodega Bay (2021-2022),,,,,,,Plant ID,,,,,,,,,"D-dead; G- gopher; UR-uprooted (plug pushed up); B- buried; PR- paddle replaced; DP-deer poop; T-trampled by deer; (3)- Tripplet (3 Cotyledons); *-cotyledons missing; M -= Missing P-pig; ?-unsure; M- missing; C-regrew cotyledons, (n=2)- double",,
Block (1-3),Location (1-156),Seq (1-441),Co.,Donor_ID,Recipient_ID,mm/dd,1,2,3,4,5,6,7,8,,Notes 12/12,Notes 12/19-20,Notes 12/30
1,1,1,5,BB_173,BB_170,Germ Date,2022-12-19,2022-12-19,2022-12-19,2022-12-19,2022-12-19,2022-12-12,2022-12-12,2022-12-12,,,"*-1,2,3,5","*-1,2,5"
1,1,1,5,BB_173,BB_170,Flow Date,,,,,,,,,,,,
1,1,2,1,BB_023,BB_206,Germ Date,,2022-12-30,2022-12-30,2022-12-12,2022-12-19,,2022-12-12,2022-12-12,,,*-7,*-7
1,1,2,1,BB_023,BB_206,Flow Date,,,,,,,,,,,,
1,2,3,1,BB_075,BB_85,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,,
1,2,3,1,BB_075,BB_85,Flow Date,,,,,,,,,,,,
1,2,4,2,BB_107,BB_179,Germ Date,2022-12-12,2022-12-12,2022-12-19,2022-12-19,2022-12-12,2022-12-19,2022-12-12,2022-12-12,,,*-4,*-4
1,2,4,2,BB_107,BB_179,Flow Date,,,,,,,,,,,,
1,2,5,1,BB_075,BB_79,Germ Date,2022-12-19,2022-12-19,2022-12-19,2022-12-12,,,,2022-12-19,,,"*-2,3,4,8","*-2,3,4,8"
1,2,5,1,BB_075,BB_79,Flow Date,,,,,,,,,,,,
1,3,6,1,BB_028,BB_109,Germ Date,2022-12-12,2022-12-12,2022-12-12,,2022-12-12,2022-12-12,2022-12-12,2022-12-19,,,,
1,3,6,1,BB_028,BB_109,Flow Date,,,,,2022-03-03,,,,,,,
1,3,7,5,BB_141,BB_3,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,*-1;T-8;D-8,*-3
1,3,7,5,BB_141,BB_3,Flow Date,,,,,,,,,,,,
1,3,8,3,BB_174,BB_10,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,*-2,*-2; D-7
1,3,8,3,BB_174,BB_10,Flow Date,,,,,,,,,,,,
1,4,9,4,BB_99,BB_161,Germ Date,2022-12-12,2022-12-12,,2022-12-30,,2022-12-19,2022-12-19,2022-12-30,,,*-1;D-2,"*-1,2,8"
1,4,9,4,BB_99,BB_161,Flow Date,,,,,,,,,,,,
1,4,10,1,BB_194,BB_214,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,"*-1,6,7,8","*-1,7,8"
1,4,10,1,BB_194,BB_214,Flow Date,,,,,,,,,,,,
