,Site:  Hastings Ranch 2021-22,,,,,Plant ID,,,,,,,,,,"D-dead; G- gopher; UR-uprooted (plug pushed up); B- buried; PR- paddle replaced; DP-deer poop; T-trampled by deer; (3)- Tripplet (3 Cotyledons); *-cotyledons missing; M -= Missing P-pig; ?-unsure; M- missing; C-regrew cotyledons, (n=2)- double",,
Block (1-3),Transect (1-12),Sequence (1-396),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10,Notes 12/6,Notes 12/17,Oak leaves removed when ontop of seedlings
1,1,1,HR_8,HR_58,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-17,2022-12-06,2022-12-06,,,,,
1,1,1,HR_8,HR_58,Flow Date,,,,,,,,,,,,,
1,1,2,HR_196,HR_183,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,*-4,
1,1,2,HR_196,HR_183,Flow Date,,,,,,,,,,,,,
1,1,3,HR_085,HR_176,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,,,,,
1,1,3,HR_085,HR_176,Flow Date,,,,,,,,,,,,,
1,1,4,HR_6,HR_146,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,1,4,HR_6,HR_146,Flow Date,,,,,,,,,,,,,
1,1,5,HR_108,HR_177,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,,,,*-5,
1,1,5,HR_108,HR_177,Flow Date,,,,,,,,,,,,,
1,1,6,HR_74,HR_115,Germ Date,2022-12-06,2022-12-06,2022-12-17,2022-12-17,2022-12-06,2022-12-06,,,,,,,
1,1,6,HR_74,HR_115,Flow Date,,,,,,,,,,,,,
1,1,7,HR_180,HR_36,Germ Date,,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,1,7,HR_180,HR_36,Flow Date,,,,,,,,,,,,,
1,1,8,HR_160,HR_33,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,,
1,1,8,HR_160,HR_33,Flow Date,,,,,,,,,,,,,
1,1,9,HR_70,HR_61,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,,,D-7,
1,1,9,HR_70,HR_61,Flow Date,,,,,,,,,,,,,
1,1,10,HR_133,HR_158,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,,,,
1,1,10,HR_133,HR_158,Flow Date,,,,,,,,,,,,,
1,1,11,HR_108,HR_175,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,1,11,HR_108,HR_175,Flow Date,,,,,,,,,,,,,
1,1,12,HR_164,HR_5,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,1,12,HR_164,HR_5,Flow Date,,,,,,,,,,,,,
1,1,13,HR_171,HR_57,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,,,,,
1,1,13,HR_171,HR_57,Flow Date,,,,,,,Dead 12/6,,,,,,
1,1,14,HR_196,HR_170,Germ Date,,2022-12-06,2022-12-06,12/6 *,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,,,*-8,
1,1,14,HR_196,HR_170,Flow Date,,,,,,,,,,,,,
1,1,15,HR_148,HR_114,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,D-2,,
1,1,15,HR_148,HR_114,Flow Date,,,,,,,,,,,,,
1,1,16,HR_69,HR_108,Germ Date,2022-12-06,,2022-12-06,2022-12-06,,2022-11-19,2022-12-17,2022-12-06,,,*-4;D-6,*-7,
1,1,16,HR_69,HR_108,Flow Date,,,,,,,,,,,,,
1,1,17,HR_175,HR_196,Germ Date,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,2022-12-17,,,,"*-2,4;D-3",*-7,
1,1,17,HR_175,HR_196,Flow Date,,,,,,,,,,,,,
1,1,18,HR_131,HR_46,Germ Date,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-17,2022-12-06,2022-12-17,2022-12-06,,,"*-1,2","*-3,5,7,8",
1,1,18,HR_131,HR_46,Flow Date,,,,,,,,,,,,,
