Block,Seq (1-42),Location,Co.,Donor_ID,Recipient_ID,Date (mm/dd),1,2,3,4,5,6,7,8,Notes 12/12,Notes 12/19-20,Notes 12/30
W1,1,30,4,BB_99,BB_32,Germ,20-Dec,,12-Dec,20-Dec,,20-Dec,,,,,
W1,1,30,4,BB_99,BB_32,Flow,,,,,,,,,,,
W1,2,30,5,BB_176,BB_17,Germ,20-Dec,20-Dec,20-Dec,,,20-Dec,,,,"*-3,6","*-8;D-3,6"
W1,2,30,5,BB_176,BB_17,Flow,,,,,,,,,,,
W1,3,30,2,BB_014,BB_185,Germ,20-Dec,12-Dec,20-Dec,,20-Dec,20-Dec,,20-Dec,,*-5,
W1,3,30,2,BB_014,BB_185,Flow,,,,,,,,,,,
W1,4,40,3,BB_115,BB_187,Germ,20-Dec,12-Dec,20-Dec,20-Dec,12-Dec,20-Dec,30-Dec,30-Dec,?-2,?-4,"*-7;D-2,8"
W1,4,40,3,BB_115,BB_187,Flow,,,,,,,,,,,
W1,5,40,5,BB_51,BB_118,Germ,12-Dec,20-Dec,,20-Dec,,12-Dec,12-Dec,,UR-2,"*-2,7",*-7;UR-2
W1,5,40,5,BB_51,BB_118,Flow,,,,,,,,,,,
W1,6,40,3,BB_115,BB_77,Germ,20-Dec,20-Dec,,,12-Dec,30-Dec,20-Dec,20-Dec,,"*-5,8","*-6,8"
W1,6,40,3,BB_115,BB_77,Flow,,,,,,,,,,,
W1,7,50,5,BB_176,BB_49,Germ,30-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,,*-2,
W1,7,50,5,BB_176,BB_49,Flow,,,,,,,,,,,
W1,8,50,5,BB_51,BB_143,Germ,,12-Dec,12-Dec,12-Dec,12-Dec,20-Dec,12-Dec,12-Dec,,"*-3,6;D-7",*-6;D-7  
W1,8,50,5,BB_51,BB_143,Flow,,,,,,,,,,,
W1,9,50,4,BB_99,BB_161,Germ,12-Dec,,12-Dec,30-Dec,,,,30-Dec,,"*-1,3","*-1,8; D-3"
W1,9,50,4,BB_99,BB_161,Flow,,,,,,,,,,,
W1,10,60,4,BB_125,BB_51,Germ,12-Dec,12-Dec,12-Dec,,,,20-Dec,20-Dec,,*-3,D-3
W1,10,60,4,BB_125,BB_51,Flow,,,,,,,,,,,
W1,11,60,1,BB_075,BB_85,Germ,12-Dec,12-Dec,12-Dec,,12-Dec,20-Dec,12-Dec,12-Dec,,"*-26,;G-4","*-2,3,6;B-4"
W1,11,60,1,BB_075,BB_85,Flow,,,,,,,,,,,
W1,12,60,2,BB_014,BB_152,Germ,20-Dec,30-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,30-Dec,,D-4;*-6,"*-1,2,5,6; D-4"
W1,12,60,2,BB_014,BB_152,Flow,,,,,,,,,,,
W1,13,70,3,BB_115,BB_20,Germ,20-Dec,20-Dec,20-Dec,20-Dec,,20-Dec,20-Dec,12-Dec,,"*-1,2,6,7,8","*-1,2,6;D-7,8"
W1,13,70,3,BB_115,BB_20,Flow,,,,,,,,,,,
W1,14,70,4,BB_99,BB_61,Germ,20-Dec,12-Dec,20-Dec,20-Dec,20-Dec,20-Dec,,20-Dec,,"*-2,5","*-2,5"
W1,14,70,4,BB_99,BB_61,Flow,,,,,,,,,,,
W1,15,70,5,BB_51,BB_105,Germ,,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,20-Dec,,"*-2,3,7","*-2;DP-8;D-3,7"
W1,15,70,5,BB_51,BB_105,Flow,,,,,,,,,,,
W1,16,80.5,5,BB_176,BB_59,Germ,13-Dec,13-Dec,,,13-Dec,20-Dec,13-Dec,20-Dec,,"D-5;T-5;*-6,7,8","*-5,6,7;D-8"
W1,16,80.5,5,BB_176,BB_59,Flow,,,,,,,,,,,
W1,17,80.5,4,BB_125,BB_137,Germ,20-Dec,20-Dec,13-Dec,,13-Dec,,20-Dec,,,"*-2,3",*-3;D-7
W1,17,80.5,4,BB_125,BB_137,Flow,,,,,,,,,,,
W1,18,80.5,2,BB_014,BB_102,Germ,,,,13-Dec,,13-Dec,13-Dec,20-Dec,,T-2;UR-7,
W1,18,80.5,2,BB_014,BB_102,Flow,,,,,,,,,,,
W1,19,90,1,BB_075,BB_164,Germ,13-Dec,13-Dec,13-Dec,13-Dec,20-Dec,20-Dec,13-Dec,13-Dec,,,*-8
W1,19,90,1,BB_075,BB_164,Flow,,,,,,,,,,,
W1,20,90,4,BB_125,BB_24,Germ,13-Dec,13-Dec,,,13-Dec,,13-Dec,13-Dec,G-1,"D-1,2;T-2;*-5,7,8","T&D-1;*-8;D-2,"
W1,20,90,4,BB_125,BB_24,Flow,,,,,,,,,,,
