Block (1-3),Transect (1-12),Sequence (1-396),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8
1,1,1,BO_201,BO_130,Germ Date,,,28-Dec,28-Dec,,28-Dec,6-Dec,6-Dec
1,1,1,BO_201,BO_130,Flow Date,,,,,,,,
1,1,2,BO_192,BO_166,Germ Date,,6-Dec,,,,6-Dec,,
1,1,2,BO_192,BO_166,Flow Date,,,,,,,,
1,1,3,BO_5,BO_19,Germ Date,,,,,6-Dec,,,
1,1,3,BO_5,BO_19,Flow Date,,,,,,,,
1,1,4,BO_70,BO_66,Germ Date,21-Dec,,28-Dec,,,,6-Dec,
1,1,4,BO_70,BO_66,Flow Date,,,,,,,,
1,1,5,BO_038,BO_137,Germ Date,,,,,6-Dec,6-Dec,6-Dec,6-Dec
1,1,5,BO_038,BO_137,Flow Date,,,,,,,,
1,1,6,BO_170,BO_45,Germ Date,,,,15-Dec,15-Dec,6-Dec,,
1,1,6,BO_170,BO_45,Flow Date,,,,,,,,
1,1,7,BO_1,BO_48,Germ Date,,,6-Dec,,,,,6-Dec
1,1,7,BO_1,BO_48,Flow Date,,,,,,,,
1,1,8,BO_69,BO_43,Germ Date,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
1,1,8,BO_69,BO_43,Flow Date,,,,,,,,
1,1,9,BO_33,BO_99,Germ Date,,6-Dec,,,,,,
1,1,9,BO_33,BO_99,Flow Date,,,,,,,,
1,1,10,BO_65,BO_115,Germ Date,,,,6-Dec,6-Dec,,,
1,1,10,BO_65,BO_115,Flow Date,,,,,,,,
1,1,11,BO_106,BO_104,Germ Date,,6-Dec,,6-Dec,,,6-Dec,6-Dec
1,1,11,BO_106,BO_104,Flow Date,,,,,,,,
1,1,12,BO_40,BO_29,Germ Date,6-Dec,,,6-Dec,,,,
1,1,12,BO_40,BO_29,Flow Date,,,,,,,,
1,1,13,BO_096,BO_12,Germ Date,6-Dec,6-Dec,15-Dec,,,,,
1,1,13,BO_096,BO_12,Flow Date,,,,,,,,
1,1,14,BO_13,BO_114,Germ Date,,,,,,15-Dec,15-Dec,28-Dec
1,1,14,BO_13,BO_114,Flow Date,,,,,,,,
1,1,15,BO_163,BO_34,Germ Date,6-Dec,6-Dec,6-Dec,,,6-Dec,6-Dec,
1,1,15,BO_163,BO_34,Flow Date,,,,,,,,
1,1,16,BO_74,BO_47,Germ Date,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,,6-Dec
1,1,16,BO_74,BO_47,Flow Date,,,,,,,,
1,1,17,BO_188,BO_8,Germ Date,,28-Dec,28-Dec,,6-Dec,21-Dec,6-Dec,6-Dec
1,1,17,BO_188,BO_8,Flow Date,,,,,,,,
1,1,18,BO_106,BO_191,Germ Date,6-Dec,,,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
1,1,18,BO_106,BO_191,Flow Date,,,,,,,,
1,1,19,BO_73,BO_117,Germ Date,6-Dec,6-Dec,6-Dec,P,P,15-Dec,6-Dec,28-Dec
1,1,19,BO_73,BO_117,Flow Date,,,,,,,,
