Transect,Seq (1-42),Co.,Donor_ID,Recipient_ID,Date (mm/dd),1,2,3,4,5,6,7,8
W1,1,4,BO_192,BO_166,Germ,6-Dec,6-Dec,,6-Dec,,6-Dec,6-Dec,6-Dec
W1,1,4,BO_192,BO_166,Flow,,,,,,,,
W1,2,4,BO_192,BO_21,Germ,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,
W1,2,4,BO_192,BO_21,Flow,,,,,,,,
W1,3,6,BO_201,BO_130,Germ,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,
W1,3,6,BO_201,BO_130,Flow,,,,,,,,
W1,4,6,BO_201,BO_199,Germ,6-Dec,6-Dec,,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W1,4,6,BO_201,BO_199,Flow,,,,,,,,
W1,5,2,BO_189,BO_142,Germ,6-Dec,6-Dec,6-Dec,,6-Dec,6-Dec,6-Dec,6-Dec
W1,5,2,BO_189,BO_142,Flow,,,,,,,,
W1,6,6,BO_201,BO_189,Germ,6-Dec,6-Dec,6-Dec,,6-Dec,6-Dec,6-Dec,6-Dec
W1,6,6,BO_201,BO_189,Flow,,,,,,,,
W1,7,5,BO_143,BO_152,Germ,6-Dec,,6-Dec,6-Dec,,6-Dec,6-Dec,6-Dec
W1,7,5,BO_143,BO_152,Flow,,,,,,,,
W1,8,2,BO_189,BO_86,Germ,6-Dec,6-Dec,,15-Dec,6-Dec,6-Dec,,6-Dec
W1,8,2,BO_189,BO_86,Flow,,,,,,,,
W1,9,1,BO_101,BO_182,Germ,6-Dec,6-Dec,,,6-Dec,6-Dec,6-Dec,6-Dec
W1,9,1,BO_101,BO_182,Flow,,,,,,,,
W1,10,6,BO_1,BO_48,Germ,,6-Dec,6-Dec,6-Dec,,6-Dec,,
W1,10,6,BO_1,BO_48,Flow,,,,,,,,
W1,11,1,BO_101,BO_24,Germ,6-Dec,,21-Dec,15-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W1,11,1,BO_101,BO_24,Flow,,,,,,,,
W1,12,6,BO_1,BO_25,Germ,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,
W1,12,6,BO_1,BO_25,Flow,,,,,,,,
W1,13,5,BO_143,BO_195,Germ,,6-Dec,15-Dec,,6-Dec,6-Dec,,
W1,13,5,BO_143,BO_195,Flow,,,,,,,,
W1,14,2,BO_038,BO_82,Germ,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W1,14,2,BO_038,BO_82,Flow,,,,,,,,
W1,15,2,BO_038,BO_137,Germ,15-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,15-Dec,6-Dec
W1,15,2,BO_038,BO_137,Flow,,,,,,,,
W1,16,5,BO_143,BO_4,Germ,6-Dec,6-Dec,6-Dec,6-Dec,,,30-Dec,6-Dec
W1,16,5,BO_143,BO_4,Flow,,,,,,,,
W1,17,2,BO_189,BO_126,Germ,15-Dec,,6-Dec,6-Dec,15-Dec,6-Dec,,6-Dec
W1,17,2,BO_189,BO_126,Flow,,,,,,,,
W1,18,4,BO_192,BO_127,Germ,,6-Dec,,,6-Dec,6-Dec,6-Dec,
W1,18,4,BO_192,BO_127,Flow,,,,,,,,
W1,19,6,BO_1,BO_151,Germ,6-Dec,6-Dec,6-Dec,6-Dec,,6-Dec,6-Dec,6-Dec
W1,19,6,BO_1,BO_151,Flow,,,,,,,,
W1,20,2,BO_038,BO_149,Germ,6-Dec,6-Dec,6-Dec,6-Dec,,6-Dec,6-Dec,6-Dec
W1,20,2,BO_038,BO_149,Flow,,,,,,,,
W1,21,1,BO_101,BO_80,Germ,6-Dec,6-Dec,6-Dec,6-Dec,15-Dec,6-Dec,6-Dec,6-Dec
W1,21,1,BO_101,BO_80,Flow,,,,,,,,
W2,22,6,BO_201,BO_189,Germ,,6-Dec,6-Dec,,6-Dec,6-Dec,6-Dec,6-Dec
W2,22,6,BO_201,BO_189,Flow,,,,,,,,
W2,23,5,BO_143,BO_195,Germ,6-Dec,6-Dec,6-Dec,15-Dec,15-Dec,6-Dec,6-Dec,15-Dec
W2,23,5,BO_143,BO_195,Flow,,,,,,,,
W2,24,1,BO_101,BO_24,Germ,6-Dec,6-Dec,6-Dec,15-Dec,15-Dec,21-Dec,30-Dec,6-Dec
W2,24,1,BO_101,BO_24,Flow,,,,,,,,
W2,25,1,BO_101,BO_182,Germ,30-Dec,6-Dec,15-Dec,,6-Dec,15-Dec,6-Dec,6-Dec
W2,25,1,BO_101,BO_182,Flow,,,,,,,,
W2,26,4,BO_192,BO_166,Germ,6-Dec,6-Dec,6-Dec,21-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W2,26,4,BO_192,BO_166,Flow,,,,,,,,
W2,27,4,BO_192,BO_21,Germ,6-Dec,,6-Dec,6-Dec,6-Dec,6-Dec,,15-Dec
W2,27,4,BO_192,BO_21,Flow,,,,,,,,
W2,28,2,BO_038,BO_137,Germ,15-Dec,30-Dec,6-Dec,15-Dec,15-Dec,6-Dec,6-Dec,6-Dec
W2,28,2,BO_038,BO_137,Flow,,,,,,,,
W2,29,2,BO_038,BO_149,Germ,,21-Dec,6-Dec,6-Dec,15-Dec,21-Dec,21-Dec,6-Dec
W2,29,2,BO_038,BO_149,Flow,,,,,,,,
W2,30,6,BO_1,BO_25,Germ,21-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W2,30,6,BO_1,BO_25,Flow,,,,,,,,
W2,31,6,BO_1,BO_151,Germ,15-Dec,6-Dec,6-Dec,6-Dec,21-Dec,6-Dec,,
W2,31,6,BO_1,BO_151,Flow,,,,,,,,
W2,32,6,BO_201,BO_199,Germ,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W2,32,6,BO_201,BO_199,Flow,,,,,,,,
W2,33,2,BO_189,BO_126,Germ,6-Dec,,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,
W2,33,2,BO_189,BO_126,Flow,,,,,,,,
W2,34,5,BO_143,BO_4,Germ,,6-Dec,6-Dec,,,15-Dec,6-Dec,15-Dec
W2,34,5,BO_143,BO_4,Flow,,,,,,,,
W2,35,6,BO_1,BO_48,Germ,6-Dec,,6-Dec,,21-Dec,,6-Dec,6-Dec
W2,35,6,BO_1,BO_48,Flow,,,,,,,,
W2,36,4,BO_192,BO_127,Germ,6-Dec,6-Dec,15-Dec,6-Dec,6-Dec,15-Dec,6-Dec,6-Dec
W2,36,4,BO_192,BO_127,Flow,,,,,,,,
W2,37,2,BO_189,BO_142,Germ,15-Dec,6-Dec,15-Dec,,6-Dec,21-Dec,21-Dec,21-Dec
W2,37,2,BO_189,BO_142,Flow,,,,,,,,
W2,38,2,BO_038,BO_82,Germ,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
