Site: Blue Oak Ranch (2021-2022),,,,,,Plant ID,,,,,,,,"P- pig damage, G- gopher; UR-uprooted (plug pushed up), B- buried, PR- paddle replaced, DP-deer poop, T-trampled by deer, 3- Tripplet (3 Cotyledons)",,,
Transect,Seq (1-42),Co.,Donor_ID,Recipient_ID,Date (mm/dd),1,2,3,4,5,6,7,8,Notes - 12/6,Notes - 12/15,Notes - 12/21,Notes 12/28-29
W1,1,4,BO_192,BO_166,Germ,2022-12-06,2022-12-06,,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,,,,
W1,1,4,BO_192,BO_166,Flow,,,,,,,,,,,,
W1,2,4,BO_192,BO_21,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,D-1
W1,2,4,BO_192,BO_21,Flow,,,,,,,,,,,,
W1,3,6,BO_201,BO_130,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,P-2,,,
W1,3,6,BO_201,BO_130,Flow,,,,,,,,,,,,
W1,4,6,BO_201,BO_199,Germ,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,"P-2,3;*-2,6",,*-8,*-8
W1,4,6,BO_201,BO_199,Flow,,,,,,,,,,,,
W1,5,2,BO_189,BO_142,Germ,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,
W1,5,2,BO_189,BO_142,Flow,,,,,,,,,,,,
W1,6,6,BO_201,BO_189,Germ,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,*-6,,*-5,"*-5,6"
W1,6,6,BO_201,BO_189,Flow,,,,,,,,,,,,
W1,7,5,BO_143,BO_152,Germ,2022-12-06,,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,,,,
W1,7,5,BO_143,BO_152,Flow,,,,,,,,,,,,
W1,8,2,BO_189,BO_86,Germ,2022-12-06,2022-12-06,,2022-12-15,2022-12-06,2022-12-06,,2022-12-06,,,"*-1,4",
W1,8,2,BO_189,BO_86,Flow,,,,,,,,,,,,
W1,9,1,BO_101,BO_182,Germ,2022-12-06,2022-12-06,,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,PR-3,,,
W1,9,1,BO_101,BO_182,Flow,,,,,,,,,,,,
W1,10,6,BO_1,BO_48,Germ,,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,,,,,*-2,
W1,10,6,BO_1,BO_48,Flow,,,,,,,,,,,,
W1,11,1,BO_101,BO_24,Germ,2022-12-06,,2022-12-21,2022-12-15,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,"*-5,7",*-8,"*-3,5;D-7"
W1,11,1,BO_101,BO_24,Flow,,,,,,,,,,,,
W1,12,6,BO_1,BO_25,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,*-2,,D-2
W1,12,6,BO_1,BO_25,Flow,,,,,,,,,,,,
W1,13,5,BO_143,BO_195,Germ,,2022-12-06,2022-12-15,,2022-12-06,2022-12-06,,,,D-2;*-5;P-5,*-6,"*-5,6;D-2"
W1,13,5,BO_143,BO_195,Flow,,,,,,,,,,,,
W1,14,2,BO_038,BO_82,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,
W1,14,2,BO_038,BO_82,Flow,,,,,,,,,,,,
