Site: Hastings Reservation (2021-2022),,,,,,Plant ID,,,,,,,,,
Transect,Seq (1-42),Co.,Donor_ID,Recipient_ID,Date (mm/dd),1,2,3,4,5,6,7,8,Notes 12/6,Notes 12/17
W1,1,4,HR_34,HR_112,Germ,2022-12-17,2022-12-17,2022-12-17,2022-12-17,2022-12-17,2022-12-17,2022-12-17,2022-12-17,,
W1,1,4,HR_34,HR_112,Flow,,,,,,,,,"**112 and 80 have the same sire/donor, as do 149 and 180",
W1,2,4,HR_34,HR_80,Germ,2022-12-17,2022-12-17,2022-12-17,2022-12-17,,2022-12-17,,2022-12-17,,*-4
W1,2,4,HR_34,HR_80,Flow,,,,,,,,,,
W1,3,1,HR_027,HR_145,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,
W1,3,1,HR_027,HR_145,Flow,,,,,,,,,,
W1,4,6,HR_168,HR_148,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,
W1,4,6,HR_168,HR_148,Flow,,,,,,,,,,
W1,5,6,HR_168,HR_64,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,,
W1,5,6,HR_168,HR_64,Flow,,,,,,,,,,
W1,6,1,HR_027,HR_119,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,,
W1,6,1,HR_027,HR_119,Flow,,,,,,,,,,
W1,7,5,HR_6,HR_146,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,
W1,7,5,HR_6,HR_146,Flow,,,,,,,,,,
W1,8,2,HR_002,HR_59,Germ,2022-12-17,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,(3)-1
W1,8,2,HR_002,HR_59,Flow,,,,,,,,,,
W1,9,2,HR_002,HR_71,Germ,2022-12-17,2022-12-17,2022-12-17,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,,
W1,9,2,HR_002,HR_71,Flow,,,,,,,,,,
W1,10,7,HR_5,HR_180,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,,
W1,10,7,HR_5,HR_180,Flow,,,,,,,,,,
