Sample ID,?13CVPDB (‰),Total C (µg),C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
AC-015-001-05,-32.78,652.53,,Nemo2022AC1,A1,plant stem tissue,13C,1.83,1998104,684332,H
AC-046-001-03,-30.83,843.4,,Nemo2022AC1,A2,plant stem tissue,13C,2.24,1998105,684333,H
AC-048-001-04,-30.8,1522.28,,Nemo2022AC1,A3,plant stem tissue,13C,4.35,1998106,684334,H
AC-055-001-05,-31.88,1241.68,,Nemo2022AC1,A4,plant stem tissue,13C,4.27,1998107,684335,H
AC-056-001-05,-31.53,479.16,,Nemo2022AC1,A5,plant stem tissue,13C,1.32,1998108,684336,H
AC-057-001-07,-29.93,803.71,,Nemo2022AC1,A6,plant stem tissue,13C,2.29,1998109,684337,H
AC-058-001-09,-30.62,1508.98,,Nemo2022AC1,A7,plant stem tissue,13C,4.56,1998110,684338,H
AC-062-001-06,-32.87,919,,Nemo2022AC1,A8,plant stem tissue,13C,2.37,1998111,684339,H
AC-066-001-10,-33.23,879.04,,Nemo2022AC1,A9,plant stem tissue,13C,2.22,1998112,684340,H
AC-070-001-09,-31.09,1575.61,,Nemo2022AC1,A10,plant stem tissue,13C,4.22,1998113,684341,H
AC-074-001-06,-31.93,1484.64,,Nemo2022AC1,A11,plant stem tissue,13C,3.96,1998114,684342,H
AC-086-001-04,-30.91,1099.53,,Nemo2022AC1,A12,plant stem tissue,13C,3.2,1998115,684343,H
AC-089-001-10,-29.96,971.8,,Nemo2022AC1,B2,plant stem tissue,13C,3.08,1998117,684350,H
AC-097-001-01,-31.62,1031.23,,Nemo2022AC1,B4,plant stem tissue,13C,2.76,1998119,684351,H
AC-107-001-04,-30.95,517.67,,Nemo2022AC1,B5,plant stem tissue,13C,1.72,1998120,684352,H
AC-109-001-04,-30.65,851.78,,Nemo2022AC1,B6,plant stem tissue,13C,2.2,1998121,684353,H
AC-110-001-04,-31.43,671.06,,Nemo2022AC1,B7,plant stem tissue,13C,2.53,1998122,684354,H
AC-120-001-08,-33,1239.51,,Nemo2022AC1,B8,plant stem tissue,13C,3.57,1998123,684355,H
AC-128-001-10,-31.66,1560.03,,Nemo2022AC1,B9,plant stem tissue,13C,4.41,1998124,684356,H
AC-136-001-04,-32.07,521.73,,Nemo2022AC1,B10,plant stem tissue,13C,1.37,1998125,684357,H
AC-131-001-06,-31.73,914.79,,Nemo2022AC1,B11,plant stem tissue,13C,3.16,1998126,684358,H
