Block,Transect,Recipient,Plant_ID,Leaf area (mm^2),Area notes,Dry weight (mg),Weight notes
1,1,AC_015,5,11.436,brightmax: 199,0.75,
1,1,AC_046,9,24.709,"somewhat blurry, difficult to distinguish edges. brightmax: 185. measured multiple times",1.68,
1,1,AC_048,5,34.442,brightmax: 168,2.71,
1,1,AC_055,8,33.852,brightmax: 180,2.66,
1,1,AC_056,4,41.239,brightmax: 190,2.68,
1,1,AC_057,10,19.398,brightmax: 198,1.12,
1,1,AC_058,4,38.434,brightmax: 192,2.86,
1,1,AC_062,9,37.37,Use alternative steps for weird loops. brightmax: 165. Lowered upper limit to account for inclusion of weird loops,2.87,
1,1,AC_066,6,26.19,brightmax: 177,1.84,
1,1,AC_070,3,48.245,brightmax: 160,3.75,
1,1,AC_074,3,48.056,brightmax: 168,3.67,
1,1,AC_086,10,42.988,brightmax: 180,2.52,
1,1,AC_088,4,51.681,edges have shadows; set lower brightness limit to compensate for inclusion of shadows - binary still incllues whole-leaf perimeter (brightmax: 176),3.1,
1,1,AC_089,NA,,,,missing
1,1,AC_096,7,28.01,brightmax: 150,1.43,
1,1,AC_097,10,15.943,brightmax: 141,1.64,
1,1,AC_107,9,47.468,brightmax: 164,2.89,
1,1,AC_109,5,88.441,brightmax: 178,4.69,
1,1,AC_110,9,57.791,brightmax: 181,3.34,
1,1,AC_120,5,47.139,brightmax: 164,2.89,
1,1,AC_128,8,31.264,brightmax: 158,2.40,
1,1,AC_130,9,47.489,brightmax: 167,3.16,
1,1,AC_131,9,38.866,brightmax: 159,2.65,
1,1,AC_136,10,21.259,brightmax: 157,1.55,
1,1,AC_151,4,37.348,brightmax: 151,3.24,
1,1,AC_168,9,45.35,brightmax: 157,3.83,
1,1,AC_181,4,18.382,brightmax: 181,1.17,
1,1,AC_185,8,36.054,brightmax: 185,2.39,
1,1,AC_189,1,37.217,brightmax: 184,2.7,
1,1,AC_190,5,14.988,brightmax: 180,0.96,
1,1,AC_191,6,69.747,brightmax: 175,3.56,
1,1,AC_193,10,11.428,brightmax: 170,0.95,
1,1,AC_200,5,95.372,brightmax: 166,5.3,
1,1,AC_203,3,120.399,alternate method; brightmax: 195,8.68,
1,1,AC_205,5,17.511,brightmax: 188,1.3,
1,1,AC_218,8,56.215,brightmax: 185,3.17,
1,2,AC_011,6,38.983,brightmax: 161 (leaf was 2 pieces: 35.737 + 3.246),3.13,
1,2,AC_014,8,75.66,brightmax: 164,5.18,
1,2,AC_030,10,19.035,brightmax: 184,1.49,
1,2,AC_034,7,55.649,brightmax: 182,3.31,
1,2,AC_038,7,35.026,brightmax: 186,2.21,
1,2,AC_052,6,39.472,brightmax: 183,2.93,
1,2,AC_054,10,85.716,brightmax: 160,5.95,
1,2,AC_068,6,49.582,brightmax: 174,2.53,
1,2,AC_072,5,20.957,brightmax: 158,1.56,
1,2,AC_082,7,20.299,brightmax: 182,1.23,
1,2,AC_083,10,26.312,brightmax: 184,1.75,
1,2,AC_094,3,33.289,brightmax: 168,1,
1,2,AC_104,4,15.042,brightmax: 171,0.99,
1,2,AC_114,2,31.023,brightmax: 170,2.18,
1,2,AC_118,5,10.496,brightmax: 186 (Slightly blurry),0.79,
1,2,AC_123,6,25.157,brightmax: 154,1.28,
1,2,AC_142,1,71.745,brightmax: 179,3.75,
1,2,AC_143,5,71.854,brightmax: 179,4.1,
1,2,AC_144,3,32.488,brightmax: 196 Notes: alternative steps were used. Upper right gaps in leaf area were set to approximately equal the middle right extraneous material.,1.67,
1,2,AC_148,2,10.265,brightmax: 155,0.73,
1,2,AC_152,10,41.871,brightmax: 168,2.57,
1,2,AC_153,8,25.123,brightmax: 178,1.89,
1,2,AC_158,2,43.917,brightmax: 170,3.98,
1,2,AC_159,8,16.936,brightmax: 166,1.24,
1,2,AC_171,4,22.865,brightmax: 162,1.68,
1,2,AC_172,2,35.54,brightmax: 155,2.5,
1,2,AC_178,9,93.048,brightmax: 176,6.09,
1,2,AC_182,7,56.619,brightmax: 150,4.53,
1,2,AC_186,4,39.671,brightmax: 164,3.53,
1,2,AC_195,10,14.202,brightmax: 178,0.94,
1,2,AC_199,3,13.898,brightmax: 152,0.83,
1,2,AC_204,9,57.758,brightmax: 151,4.93,
1,2,AC_206,5,16.535,brightmax: 182,0.73,
1,2,AC_211,8,79.126,brightmax: 166,5.92,
1,2,AC_213,8,21.473,brightmax: 186,1.21,
1,2,AC_215,7,28.253,brightmax: 176,1.82,
1,3,AC_005,4,9.169,brightmax: 196,0.21,
1,3,AC_010,5,17.69,brightmax: 173,1.15,
1,3,AC_016,6,10.946,brightmax: 200,0.44,
1,3,AC_017,2,20.866,brightmax: 205,1.02,
1,3,AC_032,9,24.905,brightmax: 177,1.09,
1,3,AC_040,3,8.695,brightmax: 182,0.28,
