Block,Location,Recipient,Plant_ID,Leaf area (mm^2),Area notes,Dry weight (mg),Weight notes
1,1,BB_170,8,165.928,brightmax: 186 (alt method used),,
1,1,BB_206,8,36.884,brightmax:177,,
1,2,BB_085,5,59.081,brightmax: 200 (alt method used b/c leaves touching),,
1,2,BB_085,8,35.389,brightmax: 180 (alt method used b/c leaves touching),,
1,2,BB_179,7,25.267,brightmax: 146,,
1,3,BB_003,2,22.503,brightmax: 192,,
1,3,BB_010,NA,,,,
1,3,BB_109,NA,,,,
1,3,BB_154,1,116.131,brightmax: 202 (alt method b/c leaves touching),,
1,4,BB_143,7,95.732,birghtmax: 209 (alt). Plant line originally missing,,
1,4,BB_143,8,65.635,brightmax: 171,,
1,4,BB_161,4,82.185,brightmax: 178,,
1,4,BB_214,3,81.728,brightmax: 135,,
1,5,BB_013,7,153.347,brightmax: 177,,
1,5,BB_020,3,12.94,brightmax: 176,,
1,5,BB_020,7,56.009,brightmax: 189 (alt method b/c leaves touching),,
1,5,BB_069,NA,,,,
1,5,BB_114,8,41.034,brightmax: 197,,
1,6,BB_104,NA,,,,
1,6,BB_193,6,71.774,brightmax: 143,,
1,6,BB_195,6,75.958,brightmax: 199,,
1,7,BB_027,NA,,,,
1,7,BB_186,NA,,,,
1,7,BB_201,NA,,,,
1,8,BB_137,7,87.182,brightmax:186,,
1,8,BB_137,5,37.995,brightmax:176 (Area measured - previously not measured),,
1,8,BB_207,NA,,,,
1,8,BB_218,NA,,,,
1,9,BB_009,NA,,,,
1,9,BB_017,5,31.124,brightmax:178,,
1,9,BB_189,3,76.777,brightmax: 187,,
1,10,BB_021,5,58.285,brightmax: 179,,
1,10,BB_032,NA,,,,
1,10,BB_058,4,136.06,brightmax: 185,,
1,10,BB_187,7,41.426,brightmax: 195,,
1,10,BB_187,5,22.563,brightmax: 194,,
1,11,BB_060,NA,,,,
1,11,BB_093,5,32.423,brightmax: 186,,
1,12,BB_018,NA,,,,
1,12,BB_068,NA,,,,
1,13,BB_029,6,60.499,brightmax: 196,,
1,13,BB_045,5,77.091,brightmax: 195,,
1,13,BB_131,3,31.052,brightmax: 189,,
1,14,BB_083,8,115.951,brightmax: 198,,
1,14,BB_116,2,43.969,brightmax: 187,,
1,14,BB_172,5,67.494,brightmax: 177,,
1,15,BB_019,5,46.395,brightmax:170,,
1,15,BB_061,NA,,,,
1,16,BB_166,6,66.592,brightmax: 209,,
1,16,BB_210,7,44.052,brightmax: 162,,
1,17,BB_034,7,35.896,brightmax: 170,,
1,17,BB_098,NA,,,,
1,17,BB_146,8,160.221,brightmax: 166,,
1,18,BB_052,1,103.625,brightmax: 208,,
1,18,BB_101,3,103.307,brightmax: 165,,
1,19,BB_117,2,99.038,brightmax:  180,,
1,19,BB_134,NA,,,,
1,19,BB_209,1,52.35,brightmax: 193,,
1,20,BB_048,3,90.224,brightmax: 175,,
1,20,BB_150,NA,,,,
1,20,BB_164,1,61.111,"brightmax: 189. File originally named ""154"" - corrected (DG)",,
1,20,BB_164,5,55.873,brightmax: 162,,
1,21,BB_004,2,57.004,brightmax: 169,,
1,21,BB_110,7,39.878,brightmax: 185,,
1,21,BB_160,2,246.176,brightmax: 192,,
1,22,BB_084,7,82.618,brightmax: 174,,
