Block,Transect,Recipient,Plant_ID,Leaf area (mm^2),Area notes,Dry weight (mg),Weight notes
1,1,HR_005,5,17.231,brightmax: 171,1.09,
1,1,HR_007,3,14.302,brightmax: 151,1,
1,1,HR_010,NA,,,,
1,1,HR_011,NA,,,,
1,1,HR_016,7,21.4,brightmax: 176,1.4,
1,1,HR_018,4,58.613,brightmax: 196,2.99,
1,1,HR_020,2,34.761,brightmax: 199 (alt method used b/c leaflets touching),2.29,
1,1,HR_026,2,25.196,brightmax: 171,1.49,
1,1,HR_032,6,77.728,brightmax: 202,4,
1,1,HR_033,2,23.203,brightmax: 176,1.82,
1,1,HR_036,8,39.708,brightmax: 182,2.78,
1,1,HR_037,6,45.424,brightmax: 152,2.49,
1,1,HR_039,3,10.351,brightmax: 165,0.59,
1,1,HR_040,1,16.412,brightmax: 165,1.2,
1,1,HR_041,NA,,,,
1,1,HR_046,6,33.773,brightmax: 167,1.97,
1,1,HR_047,1,84.131,brightmax: 170,4.09,
1,1,HR_049,6,55.611,brightmax: 170,3.08,
1,1,HR_057,6,28.997,brightmax: 194,1.94,
1,1,HR_058,8,33.764,brightmax: 209,1.54,
1,1,HR_060,5,33.504,brightmax: 223 (row added manually),2.16,
1,1,HR_061,8,39.274,brightmax: 186,2.38,
1,1,HR_080,6,82.661,brightmax: 230 (row added manually),6.09,
1,1,HR_092,4,30.692,brightmax: 209,1.67,
1,1,HR_095,4,50.648,brightmax: 190,3.01,
1,1,HR_105,NA,,,NA,
1,1,HR_108,8,22.542,brightmax: 182,1.43,
1,1,HR_110,5,47.171,brightmax: 185,2.72,
1,1,HR_113,3,19.067,brightmax: 193,1.27,
1,1,HR_114,8,12.188,brightmax: 168,0.79,
1,1,HR_115,5,41.022,brightmax: 166,3.02,
1,1,HR_123,7,20.625,brightmax: 178,1.26,
1,1,HR_134,NA,,,NA,
1,1,HR_136,6,57.028,brightmax: 187,3.01,
1,1,HR_146,4,65.649,"brightmax: 164 (there were two images for the same maternal ID, the first one was used)",4.03,
1,1,HR_146,5,41.074,brightmax: 172,2.28,
1,1,HR_148,NA,,,,
1,1,HR_158,6,49.817,brightmax: 169,4.03,
