Transect,Recipient,Plant_ID,Skeleton Weights,Units,Notes
1,HR_005,4,86.19,,
1,HR_007,6,29.31,,
1,HR_010,5,,,Incomplete
1,HR_011,8,49.68,,
1,HR_016,4,34.86,,
1,HR_018,8,,,DNE
1,HR_020,8,14.53,,
1,HR_026,4,,,Incomplete
1,HR_032,4,78.14,,
1,HR_033,5,,,DNE
1,HR_036,4,31.12,,
1,HR_037,5,69.81,,
1,HR_039,1,11.93,,
1,HR_040,3,,,
1,HR_040,5,20.98,,
1,HR_040,7,,,
1,HR_041,3,,,DNE
1,HR_046,6,59.37,,
1,HR_047,2,,,DNE
1,HR_049,3,37.05,,
1,HR_057,4,21.18,,
1,HR_058,2,123.09,,
1,HR_061,2,,,DNE
1,HR_092,1,40.84,,
1,HR_095,8,30.01,,
1,HR_105,7,,,DNE
1,HR_108,1,32.08,,
1,HR_110,6,44.98,,
1,HR_113,5,94.51,,
1,HR_114,7,24.14,,
1,HR_115,6,62.48,,
1,HR_123,5,29.31,,
1,HR_134,4,14.88,,
1,HR_136,3,,,DNE
1,HR_146,3,,,
1,HR_146,6,,,
1,HR_146,8,,,DNE
1,HR_148,5,57.8,,
1,HR_148,6,,,
1,HR_158,4,85.29,,
1,HR_162,2,57.18,,
1,HR_162,5,,,
1,HR_162,8,,,
1,HR_170,5,61.78,,
1,HR_173,5,5.2,,
1,HR_175,6,51.98,,
1,HR_176,7,28.08,,
1,HR_177,3,39.97,,
1,HR_178,6,35.57,,
1,HR_183,2,,,Incomplete
1,HR_196,5,120.03,,
2,HR_006,6,38.46,,
2,HR_012,7,46.68,,
2,HR_014,6,,,Incomplete
2,HR_015,3,,,
2,HR_015,6,80.49,,
2,HR_015,7,,,
2,HR_023,2,9.29,,
2,HR_027,8,,,DNE
2,HR_034,5,72.14,,
2,HR_035,6,29.95,,
2,HR_038,8,45.67,,
2,HR_043,1,,,
2,HR_043,4,19.78,,
2,HR_043,5,,,
2,HR_050,1,36.32,,
2,HR_051,3,28.92,,
2,HR_054,1,57.52,,
2,HR_059,1,,,
2,HR_059,5,25.11,,
2,HR_059,8,,,
2,HR_062,5,21.53,,
2,HR_064,6,,,
2,HR_064,7,,,
2,HR_064,8,28.21,,
2,HR_071,2,,,
2,HR_071,5,,,
2,HR_071,7,37.4,,
2,HR_072,7,115.22,,
2,HR_073,3,16.03,,
2,HR_078,2,13.07,,
2,HR_080,1,45.67,,
2,HR_080,5,,,
2,HR_080,6,,,
2,HR_085,4,118.36,,
2,HR_086,1,32.19,,
2,HR_088,8,5.33,,
2,HR_101,3,19.72,,
2,HR_101,4,,,
2,HR_101,6,,,
2,HR_104,4,13.83,,
2,HR_107,6,76.26,,
2,HR_109,8,25.38,,
2,HR_112,3,123.33,,
2,HR_112,5,,,
2,HR_112,7,,,
2,HR_119,1,,,
2,HR_119,5,53.68,,
2,HR_119,8,,,
2,HR_121,1,34.69,,
2,HR_126,7,58.09,,
2,HR_129,1,14.65,,
2,HR_133,6,15.6,,
2,HR_137,8,126.81,,
2,HR_142,1,,,
2,HR_142,3,,,
2,HR_142,4,12.66,,
2,HR_145,3,4.81,,
2,HR_145,5,,,
2,HR_145,6,,,
2,HR_149,1,93.27,,
2,HR_149,2,,,
2,HR_149,4,,,
2,HR_153,4,10.59,,
2,HR_161,8,66.77,,
2,HR_164,3,,,Incomplete
2,HR_165,8,95.49,,
2,HR_169,5,168.19,,
2,HR_180,2,,,
2,HR_180,6,8.93,,
2,HR_180,7,,,
2,HR_195,3,30.61,,
2,HR_201,6,84.65,,
3,HR_001,7,36.66,,
3,HR_004,3,13.51,,
3,HR_009,8,67.73,,
3,HR_017,4,,,
3,HR_017,7,,,
3,HR_017,8,78.95,,
3,HR_019,5,175.76,,
3,HR_021,4,96.04,,
3,HR_028,1,,,DNE
3,HR_042,7,82.96,,
3,HR_044,1,,,
3,HR_044,4,,,
3,HR_044,8,127.53,,
3,HR_053,3,17.92,,
3,HR_056,2,,,
3,HR_056,6,,,
3,HR_056,7,54.9,,
3,HR_065,6,139.51,,
3,HR_066,7,47.92,,
3,HR_067,5,62.15,,
3,HR_068,2,12.16,,
3,HR_070,7,,,DNE
3,HR_079,4,46.75,,
3,HR_087,7,,,Incomplete
3,HR_103,2,79.01,,
3,HR_111,3,25.56,,
3,HR_116,5,,,Incomplete
3,HR_118,8,212.73,,
3,HR_124,6,86.46,,
3,HR_127,7,62.03,,
3,HR_131,6,90.32,,
3,HR_135,4,293.28,,
3,HR_139,2,40.05,,
3,HR_141,5,179.7,,
3,HR_147,7,58.62,,
3,HR_150,2,46.99,,
3,HR_152,1,26.72,,Not listed in the fitness plant list but is certainly a fitness plant
3,HR_155,7,143.3,,
3,HR_156,5,123.06,,
3,HR_159,3,60.64,,
3,HR_166,4,20.79,,
3,HR_168,4,43.86,,
3,HR_174,7,11,,
3,HR_179,7,79.25,,
3,HR_181,5,48.16,,
3,HR_182,3,60.77,,
3,HR_184,2,,,
3,HR_184,3,,,
3,HR_184,6,52.87,,
3,HR_190,4,60.74,,
3,HR_192,1,24.54,,
3,HR_193,6,104.28,,
3,HR_197,3,20.25,,
4,HR_004,3,,,
4,HR_005,8,,,
4,HR_007,7,,,
4,HR_011,4,,,
4,HR_012,1,,,
4,HR_017,2,,,
4,HR_017,3,,,
4,HR_017,6,,,
4,HR_034,7,,,
4,HR_035,8,,,
4,HR_036,8,,,
4,HR_039,6,,,
4,HR_040,2,,,
4,HR_040,5,,,
4,HR_040,8,,,
4,HR_042,8,,,
4,HR_049,4,,,
4,HR_053,7,,,
4,HR_058,2,,,
4,HR_061,3,,,
4,HR_064,2,,,
4,HR_064,4,,,
4,HR_064,7,,,
4,HR_067,3,,,
4,HR_070,5,,,
4,HR_071,2,,,
4,HR_071,4,,,
4,HR_071,5,,,
4,HR_078,5,,,
4,HR_080,1,,,
4,HR_080,2,,,
4,HR_080,5,,,
4,HR_083,4,,,
4,HR_085,5,,,
4,HR_107,7,,,
4,HR_108,2,,,
4,HR_118,1,,,
4,HR_126,8,,,
4,HR_136,3,,,
4,HR_139,6,,,
4,HR_141,4,,,
4,HR_145,1,,,
4,HR_145,3,,,
4,HR_145,6,,,
4,HR_146,1,,,
4,HR_146,5,,,
4,HR_146,7,,,
4,HR_147,5,,,
4,HR_150,5,,,
4,HR_156,6,,,
4,HR_158,7,,,
4,HR_164,1,,,
4,HR_166,6,,,
4,HR_168,4,,,
4,HR_169,5,,,
4,HR_175,6,,,
4,HR_184,2,,,
4,HR_184,6,,,
4,HR_184,8,,,
4,HR_192,6,,,
4,HR_193,3,,,
4,HR_196,1,,,
5,HR_001,5,,,
5,HR_006,1,,,
5,HR_009,6,,,
5,HR_020,6,,,
5,HR_021,1,,,
5,HR_033,6,,,
5,HR_043,1,,,
5,HR_043,2,,,
5,HR_043,7,,,
5,HR_044,3,,,
5,HR_044,5,,,
5,HR_044,6,,,
5,HR_046,4,,,
5,HR_047,5,,,
5,HR_050,6,,,
5,HR_054,5,,,
5,HR_056,3,,,
5,HR_056,4,,,
5,HR_056,7,,,
5,HR_057,5,,,
5,HR_062,2,,,
5,HR_065,4,,,
5,HR_066,3,,,
5,HR_068,7,,,
5,HR_072,6,,,
5,HR_073,5,,,
5,HR_086,3,,,
5,HR_087,3,,,
5,HR_103,8,,,
5,HR_109,8,,,
5,HR_110,4,,,
5,HR_119,1,,,
5,HR_119,2,,,
5,HR_119,7,,,
5,HR_123,6,,,
5,HR_124,6,,,
5,HR_127,1,,,
5,HR_131,2,,,
5,HR_133,5,,,
5,HR_134,8,,,
5,HR_142,2,,,
5,HR_142,5,,,
5,HR_142,6,,,
5,HR_152,7,,,
5,HR_153,1,,,
5,HR_162,1,,,
5,HR_162,2,,,
5,HR_162,6,,,
5,HR_165,5,,,
5,HR_170,4,,,
5,HR_176,6,,,
5,HR_177,6,,,
5,HR_180,2,,,
5,HR_180,4,,,
5,HR_180,8,,,
5,HR_181,6,,,
5,HR_183,3,,,
5,HR_197,1,,,
5,HR_201,6,,,
6,HR_014,5,,,
6,HR_015,2,,,
6,HR_015,6,,,
6,HR_015,7,,,
6,HR_016,8,,,
6,HR_018,4,,,
6,HR_019,4,,,
6,HR_023,3,,,
6,HR_025,3,,,
6,HR_026,2,,,
6,HR_027,5,,,
6,HR_028,1,,,
6,HR_032,3,,,
6,HR_037,6,,,
6,HR_038,7,,,
6,HR_041,6,,,
6,HR_051,6,,,
6,HR_059,3,,,
6,HR_059,4,,,
6,HR_059,8,,,
6,HR_079,1,,,
6,HR_088,2,,,
6,HR_092,3,,,
6,HR_095,6,,,
6,HR_101,1,,,
6,HR_101,2,,,
6,HR_101,4,,,
6,HR_104,2,,,
6,HR_105,1,,,
6,HR_111,4,,,
6,HR_112,1,,,
6,HR_112,7,,,
6,HR_112,8,,,
6,HR_113,5,,,
6,HR_114,7,,,
6,HR_115,6,,,
6,HR_116,3,,,
6,HR_121,7,,,
6,HR_129,7,,,
6,HR_135,3,,,
6,HR_137,4,,,
6,HR_148,3,,,
6,HR_148,4,,,
6,HR_148,6,,,
6,HR_149,3,,,
6,HR_149,6,,,
6,HR_149,7,,,
6,HR_155,4,,,
6,HR_159,4,,,
6,HR_161,7,,,
6,HR_174,7,,,
6,HR_178,2,,,
6,HR_179,6,,,
6,HR_182,6,,,
6,HR_190,4,,,
6,HR_195,5,,,
7,HR_001,5,,,
7,HR_005,3,,,
7,HR_010,1,,,
7,HR_015,1,,,
7,HR_015,2,,,
7,HR_015,6,,,
7,HR_017,1,,,
7,HR_017,3,,,
7,HR_017,5,,,
7,HR_023,3,,,
7,HR_028,6,,,
7,HR_032,1,,,
7,HR_046,4,,,
7,HR_049,1,,,
7,HR_054,4,,,
7,HR_056,1,,,
7,HR_056,5,,,
7,HR_056,8,,,
7,HR_057,2,,,
7,HR_058,2,,,
7,HR_059,4,,,
7,HR_059,5,,,
7,HR_059,7,,,
7,HR_061,3,,,
7,HR_065,1,,,
7,HR_067,5,,,
7,HR_070,2,,,
7,HR_078,3,,,
7,HR_104,5,,,
7,HR_112,2,,,
7,HR_112,3,,,
7,HR_112,4,,,
7,HR_114,3,,,
7,HR_124,8,,,
7,HR_127,2,,,
7,HR_131,1,,,
7,HR_134,5,,,
7,HR_136,2,,,
7,HR_137,5,,,
7,HR_142,5,,,
7,HR_142,7,,,
7,HR_142,8,,,
7,HR_147,2,,,
7,HR_148,1,,,
7,HR_148,4,,,
7,HR_148,7,,,
7,HR_152,2,,,
7,HR_155,1,,,
7,HR_156,7,,,
7,HR_161,4,,,
7,HR_165,3,,,
7,HR_173,3,,,
7,HR_175,7,,,
7,HR_179,5,,,
7,HR_180,4,,,
7,HR_180,5,,,
7,HR_180,8,,,
7,HR_182,7,,,
7,HR_183,1,,,
7,HR_184,4,,,
7,HR_184,6,,,
7,HR_184,7,,,
7,HR_192,1,,,
7,HR_201,4,,,
8,HR_006,1,,,
8,HR_007,3,,,
8,HR_012,1,,,
8,HR_014,1,,,
8,HR_018,6,,,
8,HR_019,3,,,
8,HR_020,7,,,
8,HR_026,2,,,
8,HR_033,7,,,
8,HR_034,6,,,
8,HR_040,2,,,
8,HR_040,4,,,
8,HR_040,8,,,
8,HR_041,6,,,
8,HR_042,8,,,
8,HR_051,8,,,
8,HR_064,1,,,
8,HR_064,3,,,
8,HR_064,8,,,
8,HR_068,7,,,
8,HR_071,1,,,
8,HR_071,3,,,
8,HR_071,5,,,
8,HR_072,5,,,
8,HR_079,8,,,
8,HR_083,5,,,
8,HR_088,5,,,
8,HR_092,2,,,
8,HR_109,3,,,
8,HR_110,1,,,
8,HR_111,1,,,
8,HR_115,6,,,
8,HR_116,7,,,
8,HR_119,3,,,
8,HR_119,5,,,
8,HR_119,6,,,
8,HR_121,1,,,
8,HR_133,5,,,
8,HR_139,1,,,
8,HR_141,6,,,
8,HR_145,1,,,
8,HR_145,3,,,
8,HR_145,4,,,
8,HR_150,2,,,
8,HR_153,3,,,
8,HR_158,3,,,
8,HR_162,2,,,
8,HR_162,7,,,
