Transect,Recipient,Plant_ID,F?,2022-04-09,2022-04-21,2022-05-03,2022-05-13,2022-05-25,2022-06-08,,,,LEAF,flr_P,Recipient,Plant_ID,F?,2022-04-09,2022-04-21,2022-05-03,2022-05-13,2022-05-25,2022-06-08,2022-06-22,,,LEAF,flr_P
1,AC_200,1,,,,2022-05-03,2022-05-13,,,,,,,,AC_200,6,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_200,2,,,,,2022-05-13,,,,,,,,AC_200,7,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_200,3,,,,2022-05-03,2022-05-13,,,,,,,,AC_200,8,,,,,2022-05-13,,,,,,,
1,AC_200,4,,,,2022-05-03,2022-05-13,,,,,,,,AC_200,9,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_200,5,,,,2022-05-03,2022-05-13,,,,,,2022-05-13,,AC_200,10,F,,,2022-05-03,2022-05-13,,,,,,,2022-05-03
1,AC_191,1,,,,,,,,,,,,,AC_191,6,,,,2022-05-03,2022-05-13,,,,,,2022-05-13,2022-05-03
1,AC_191,2,,,,,,,,,,,,,AC_191,7,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_191,3,,,,,,,,,,,,,AC_191,8,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_191,4,,,,,,,,,,,,,AC_191,9,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_191,5,F,,,2022-05-03,2022-05-13,,,,,,,2022-05-13,AC_191,10,,,,,,,,,,,,
1,AC_107,1,,,,,,,,,,,,,AC_107,6,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_107,2,,,,,,,,,,,,,AC_107,7,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_107,3,,,,2022-05-03,2022-05-13,,,,,,,,AC_107,8,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_107,4,F,,,2022-05-03,2022-05-13,,,,,,,2022-05-03,AC_107,9,,,,2022-05-03,2022-05-13,,,,,,2022-05-13,
1,AC_107,5,,,,2022-05-03,2022-05-13,,,,,,,,AC_107,10,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_109,1,F,,,2022-05-03,2022-05-13,,,,,,,2022-05-03,AC_109,6,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_109,2,,,,2022-05-03,2022-05-13,,,,,,,,AC_109,7,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_109,3,F,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21,AC_109,8,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_109,4,F,,,2022-05-03,2022-05-13,,,,,,,2022-05-03,AC_109,9,,,,,,,,,,,,
1,AC_109,5,,,2022-04-21,2022-05-03,2022-05-13,,,,,,2022-05-13,2022-04-21,AC_109,10,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21
1,AC_110,1,,,,2022-05-03,2022-05-13,,,,,,,,AC_110,6,,,,,,,,,,,,
1,AC_110,2,,,,2022-05-03,2022-05-13,,,,,,,,AC_110,7,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21
1,AC_110,3,,,,2022-05-03,2022-05-13,,,,,,,,AC_110,8,,,,,2022-05-13,,,,,,,
1,AC_110,4,F,,,2022-05-03,2022-05-13,,,,,,,2022-05-03,AC_110,9,,,,2022-05-03,2022-05-13,,,,,,2022-05-13,
1,AC_110,5,,,,2022-05-03,2022-05-13,,,,,,,,AC_110,10,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_48,1,,,,2022-05-03,2022-05-13,,,,,,,,AC_48,6,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_48,2,,,,2022-05-03,2022-05-13,,,,,,,,AC_48,7,,,,,,,,,,,,
1,AC_48,3,,,,,,,,,,,,,AC_48,8,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_48,4,F,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21,AC_48,9,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_48,5,,,,2022-05-03,2022-05-13,,,,,,2022-05-13,,AC_48,10,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_190,1,,,,,,,,,,,,,AC_190,6,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_190,2,F,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-05-03,AC_190,7,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,
1,AC_190,3,F,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21,AC_190,8,,,,,,,,,,,,
1,AC_190,4,F,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21,AC_190,9,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,
1,AC_190,5,,,,2022-05-03,2022-05-13,,,,,,2022-05-13,,AC_190,10,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_74,1,,,,2022-05-03,2022-05-13,,,,,,,,AC_74,6,F,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21
1,AC_74,2,,,,2022-05-03,,,,,,,,,AC_74,7,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_74,3,,,2022-04-21,2022-05-03,2022-05-13,,,,,,2022-05-13,,AC_74,8,,,,,,,,,,,,
1,AC_74,4,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,,AC_74,9,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,
1,AC_74,5,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21,AC_74,10,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_130,1,,,,,,,,,,,,,AC_130,6,,,,,,,,,,,,
1,AC_130,2,,,,,,,,,,,,,AC_130,7,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,
1,AC_130,3,,,,,,,,,,,,,AC_130,8,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,
1,AC_130,4,,,,,,,,,,,,,AC_130,9,,,2022-04-21,2022-05-03,2022-05-13,,,,,,2022-05-13,2022-04-21
1,AC_130,5,,,,2022-05-03,2022-05-13,,,,,,,,AC_130,10,F,,,,2022-05-13,,,,,,,2022-05-13
1,AC_70,1,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,,AC_70,6,,,2022-04-21,2022-05-03,,,,,,,,
1,AC_70,2,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,,AC_70,7,F,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21
1,AC_70,3,,,,2022-05-03,2022-05-13,,,,,,2022-05-13,,AC_70,8,F,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21
1,AC_70,4,,,,,,,,,,,,,AC_70,9,F,,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-21
1,AC_70,5,,2022-04-09,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-09,AC_70,10,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,
1,AC_181,1,,,,,,,,,,,,,AC_181,6,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_181,2,,,2022-04-21,2022-05-03,2022-05-13,,,,,,,,AC_181,7,F,2022-04-09,2022-04-21,2022-05-03,2022-05-13,,,,,,,2022-04-09
1,AC_181,3,,,2022-04-21,,,,,,,,,,AC_181,8,,,,2022-05-03,2022-05-13,,,,,,,
1,AC_181,4,,,,2022-05-03,2022-05-13,,,,,,2022-05-13,,AC_181,9,,,,,,,,,,,,
