Block,Location,Recipient,Plant_ID,F?,25-Feb,3-Mar,11-Mar,17-Mar,25-Mar,1-Apr,9-Apr,22-Apr,28-Apr,4-May,12-May,19-May,25-May,SLA,flr_P,Recipient,Plant_ID,F?,25-Feb,3-Mar,11-Mar,17-Mar,25-Mar,1-Apr,9-Apr,22-Apr,28-Apr,4-May,12-May,19-May,25-May,SLA,flr_P
1,1,BB_170,1,,,,,,,,,,,,,,,,,BB_170,5,,,,,,2022-03-25,,,,,,,,,,2022-03-25
1,1,BB_170,2,,,,,,,,,,,,,,,,,BB_170,6,,,,,,,,,,,,,,,,
1,1,BB_170,3,,,,,,,,,,,,,,,,,BB_170,7,F,,,,,,2022-04-01,2022-04-08,,,,,,,,2022-04-08
1,1,BB_170,4,,,,,,2022-03-25,,,,,,,,,,,BB_170,8,,,,,,,2022-04-01,2022-04-08,,,,,,,2022-04-28,
1,1,BB_206,1,,,,,,,,,,,,,,,,,BB_206,5,F,,,,2022-03-17,,2022-04-01,2022-04-08,,,,,,,,2022-03-17
1,1,BB_206,2,,,,,,,,,,,,,,,,,BB_206,6,,,,,,,,,,,,,,,,
1,1,BB_206,3,,,,,,,,,,,,,,,,,BB_206,7,,,,,,,,,,,,,,,,
1,1,BB_206,4,,,,,2022-03-17,,2022-04-01,2022-04-08,,,,,,,,2022-03-17,BB_206,8,,,,,,,2022-04-01,2022-04-08,,,,,,,2022-04-28,
1,2,BB_85,1,,,,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,,BB_85,5,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,
1,2,BB_85,2,,,,,2022-03-17,2022-03-25,,,,,,,,,,,BB_85,6,F,,,,2022-03-17,2022-03-25,,,,,,,,,,2022-03-25
1,2,BB_85,3,F,,,,2022-03-17,2022-03-25,,2022-04-08,,,,,,,,2022-03-17,BB_85,7,F,,,,2022-03-17,2022-03-25,,2022-04-08,,2022-04-28,,,2022-05-19,,,2022-03-17
1,2,BB_85,4,,,,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,,BB_85,8,,,,,,2022-03-25,,2022-04-08,,,,,,,2022-04-28,
1,2,BB_179,1,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_179,5,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,
1,2,BB_179,2,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_179,6,,,,,,2022-03-25,2022-04-01,,,,,,,,,
1,2,BB_179,3,F,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-17,BB_179,7,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,
1,2,BB_179,4,,,,,,,,,,2022-04-28,,,,,,,BB_179,8,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-11
1,2,BB_79,1,,,,,,,,,,,,,,,,,BB_79,5,,,,,,,,,,,,,,,,
1,2,BB_79,2,,,,,,,,,,,,,,,,,BB_79,6,,,,,,,,,,,,,,,,
1,2,BB_79,3,,,,,,,,,,,,,,,,,BB_79,7,,,,,,,,,,,,,,,,
1,2,BB_79,4,,,,,,,,,,,,,,,,,BB_79,8,,,,,,,,,,,,,,,,
1,3,BB_109,1,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-11,BB_109,5,,,2022-03-03,,2022-03-17,2022-03-25,,,,,,,,,,
1,3,BB_109,2,F,,,2022-03-11,2022-03-17,,2022-04-01,,,,,,,,,2022-03-11,BB_109,6,,,,2022-03-11,2022-03-17,,,,,,,,,,,2022-03-11
1,3,BB_109,3,,,,2022-03-11,2022-03-17,2022-03-25,,,,,,,,,,2022-03-11,BB_109,7,,,,2022-03-11,2022-03-17,,,,,,,,,,,
1,3,BB_109,4,,,,,,,,,,,,,,,,,BB_109,8,,,,,2022-03-17,2022-03-25,,,,,,,,,,
1,3,BB_3,1,F,,,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-17,BB_3,5,,,,2022-03-11,2022-03-17,2022-03-25,,,,,,,,,,2022-03-11
1,3,BB_3,2,,,,2022-03-11,2022-03-17,2022-03-25,,,,,,,,,2022-04-28,2022-03-11,BB_3,6,,,,,,,,,,,,,,,,
1,3,BB_3,3,,,,,,,,,,,,,,,,,BB_3,7,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,
1,3,BB_3,4,,,,,,2022-03-25,,,,,,,,,,,BB_3,8,,,,,,2022-03-25,,,,,,,,,,
1,3,BB_10,1,,,,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,,BB_10,5,F,,,2022-03-11,2022-03-17,,,,,,,,,,,2022-03-11
1,3,BB_10,2,,,,,,,,,,,,,,,,,BB_10,6,,,,,,,,,,,,,,,,
1,3,BB_10,3,,,,2022-03-11,2022-03-17,,,,,,,,,,,,BB_10,7,,,,,,,,,,,,,,,,
1,3,BB_10,4,,,,2022-03-11,2022-03-17,,2022-04-01,,,,,,,,,,BB_10,8,,,,2022-03-11,2022-03-17,2022-03-25,,,,,,,,,,2022-03-11
1,4,BB_161,1,,,,,,,,,,,,,,,,,BB_161,5,,,,,,,,,,,,,,,,
1,4,BB_161,2,,,,,,,,,,,,,,,,,BB_161,6,F,,,,,,2022-04-01,,2022-04-22,2022-04-28,,,,,,2022-04-01
1,4,BB_161,3,,,,,,,,,,,,,,,,,BB_161,7,,,,,,,,,,,,,,,,
1,4,BB_161,4,F,,,,,,2022-04-01,2022-04-08,,,,,,,,2022-04-01,BB_161,8,,,,,,,,,,,,,,,,
1,4,BB_214,1,,,,,,,,,,,,,,,,,BB_214,5,,,,,,,2022-04-01,2022-04-08,,,,,,,,
1,4,BB_214,2,,,,,,,2022-04-01,2022-04-08,,,,,,,,,BB_214,6,F,,,,,,2022-04-01,,,,,,,,,2022-04-01
1,4,BB_214,3,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,2022-03-17,BB_214,7,,,,,,,,,,,,,,,,
1,4,BB_214,4,,,,,,,,,,,,,,,,,BB_214,8,,,,,,,,,,,,,,,,
1,4,BB_143,1,,,,,,,,,,,,,,,,,BB_143,5,,,,,,,,,,,,,,,,
1,4,BB_143,2,,,,,,,,,,,,,,,,,BB_143,6,F,,,,,,2022-04-01,,,,,,,,,2022-04-01
