Transect,Recipient,Plant_ID,F?,10-Mar,16-Mar,24-Mar,31-Mar,7-Apr,14-Apr,20-Apr,26-Apr,4-May,11-May,20-May,24-May,SLA,flr_P,Sterile,Recipient,Plant_ID,F?,10-Mar,16-Mar,24-Mar,31-Mar,7-Apr,14-Apr,20-Apr,26-Apr,4-May,11-May,20-May,24-May,SLA,flr_P,Sterile
1,HR_58,1,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_58,5,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_58,2,F,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-31,,HR_58,6,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_58,3,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_58,7,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-24,
1,HR_58,4,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_58,8,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,
1,HR_183,1,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_183,5,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,
1,HR_183,2,F,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-31,,HR_183,6,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_183,3,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_183,7,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,2022-03-24,
1,HR_183,4,,,,,,,,,,,,,,,,,HR_183,8,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-24,
1,HR_176,1,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,,,HR_176,5,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,2022-05-16,,
1,HR_176,2,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,,HR_176,6,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,,,,,,,,,
