Note: Yellow cells need to be rechecked in lab or by referencing old datasheet that had data in rows that were removed from the cumulative fruit dataset because they were non-fitness. Missing data. 07282022. DO NOT INSERT OR DELETE SINGLE CELLS FOR ANY REASON PLEASE!,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,,Collection Date: 2022-05-24 to 2022-05-26,,,,Collection Date: 2022-06-06 to 2022-06-08,,,,Collection Date: 2022-06-22,,,,Collection Date: NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg
26,1,AC_15,AC_015,5,,,,,,,,,3,6,6,12.28,,,,,,,,
12,1,AC_46,AC_046,3,,,,,,,,,6,26,25,41.98,2,2,2,3.68,,,,
6,1,AC_48,AC_048,4,,,,,7,21,21,31.33,9,33,33,56.84,5,19,19,24.78,,,,
32,1,AC_55,AC_055,5,,,,,14,54,54,60.1,,,,,,,,,,,,
32,1,AC_55,AC_055,9,,,,,4,11,11,20.57,1,0,,,,,,,,,,
15,1,AC_56,AC_056,5,,,,,4,12,12,18.97,7,8,8,9.58,,,,,,,,
25,1,AC_57,AC_057,7,,,,,,,,,1,3,3,2.45,,,,,,,,
29,1,AC_58,AC_058,1,,,,,3,3,3,9.27,,,,,,,,,,,,
29,1,AC_58,AC_058,7,,,,,,,,,5,9,9,27.89,2,8,8,14.99,,,,
29,1,AC_58,AC_058,9,,,,,1,0,,,,,,,,,,,,,,
17,1,AC_62,AC_062,6,,,,,1,1,1,1.03,,,,,,,,,,,,
34,1,AC_66,AC_066,10,1,0,,,3,8,8,17.8,2,1,1,2.59,,,,,,,,
10,1,AC_70,AC_070,7,,,,,4,19,19,42.76,4,12,12,25.64,,,,,,,,
10,1,AC_70,AC_070,8,,,,,2,11,11,23.32,1,3,3,5.32,,,,,,,,
10,1,AC_70,AC_070,9,,,,,5,20,20,32.85,4,7,7,16.18,,,,,,,,
8,1,AC_74,AC_074,6,1,0,,,3,13,13,18.8,3,5,5,8.28,,,,,,,,
14,1,AC_86,AC_086,4,,,,,,,,,11,22,22,60.73,,,,,,,,
27,1,AC_88,AC_088,1,,,,,,,,,1,1,1,1.7,,,,,,,,
19,1,AC_89,AC_089,10,,,,,4,9,9,15.61,3,11,11,18.19,,,,,,,,
28,1,AC_96,AC_096,9,,,,,1,1,1,2.39,,,,,9,18,18,30.81,,,,
18,1,AC_97,AC_097,1,,,,,,,,,16,78,78,119.92,29,104,50,67.77,,,,
18,1,AC_97,AC_097,3,,,,,,,,,8,52,52,57.19,132,763,50,81.64,,,,
18,1,AC_97,AC_097,9,,,,,,,,,4,14,14,21.06,2,4,4,6.55,,,,
3,1,AC_107,AC_107,4,,,,,6,15,15,22.46,3,11,11,21.53,,,,,,,,
4,1,AC_109,AC_109,1,,,,,6,26,26,43.25,2,13,13,24.78,,,,,,,,
4,1,AC_109,AC_109,3,,,,,6,29,29,44.96,5,30,30,50.38,,,,,,,,
4,1,AC_109,AC_109,4,,,,,3,18,18,30.28,3,12,12,28.99,,,,,,,,
