,,,,Collection Date: 2022-04-08,,,,Collection Date: 2022-04-22 to 2022-04-23,,,,Collection Date: 2022-04-28 to 2022-04-29,,,,Collection Date: 2022-05-04,,,,Collection Date: 2022-05-12,,,,Collection Date: 2022-05-19 ,,,,Collection Date: 2022-05-25 to 2022-05-26,,,,Collection Date: 2022-06-09,,,,Collection Date: NA,,,,ff_date
Block,Location,Recipient,SINGLE Fitness Plant,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,17-Mar
1,1,BB_206,5,,,,,,,,,,,,,,,4,15.43,,,,,,,2,11.11,,,,,,,,,,,,,17-Mar
1,1,BB_170,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
1,2,BB_79,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,2,BB_179,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
1,2,BB_85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,3,BB_3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,3,BB_109,2,,,,,,,,,,,,,,,2,7.69,,,,,,,,,,,,,,,,,,,,,17-Mar
1,3,BB_10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Mar
1,4,BB_214,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
1,4,BB_161,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,4,BB_143,7,,,,,,,,,,,,,,,9,15.69,,,19,54.1,,,,,,,,,,,,,,,,,25-Mar
1,5,BB_20,5,,,,,,,,,,,,,,,,,,,7,19.03,,,,,,,,,,,,,,,,,1-Apr
1,5,BB_69,4,,,,,,,,,,,,,,,,,,,,,,,6,21.66,,,,,,,,,,,,,11-Mar
1,5,BB_114,5,,,,,,,,,,,,,,,,,,,,,,,1,9.98,,,,,,,,,,,,,8-Apr
1,5,BB_13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,6,BB_195,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,6,BB_104,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,6,BB_193,8,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1-Apr
1,7,BB_201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
1,7,BB_27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.96,,,,,22-Apr
1,7,BB_186,7,,,,,,,,,,,,,,,,,,,,,,,2,15.69,,,,,,,,,,,,,25-Mar
1,8,BB_207,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
1,8,BB_137,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
1,8,BB_218,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,9,BB_9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
1,9,BB_17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,9,BB_189,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,10,BB_58,2,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25.79,,,,,,,,,1-Apr
1,10,BB_187,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dead
1,10,BB_21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr
1,10,BB_32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
1,11,BB_71,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,11,BB_60,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,139.9,,,,,25-Mar
1,11,BB_93,7,,,,,,,,,,,,,,,,,,,23,53.3,,,18,43.81,,,,,,,,,,,,,8-Apr
1,12,BB_68,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
1,12,BB_18,6,,,,,,,,,,,,,,,,,,,,,,,14,44.18,,,,,,,,,,,,,8-Apr
1,13,BB_29,5,,,,,,,,,,,,,,,,,,,,,,,3,10.98,,,,,,,,,,,,,8-Apr
1,13,BB_131,6,,,,,,,,,,,,,,,,,,,,,,,4,28.16,,,,,,,,,,,,,1-Apr
1,13,BB_45,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,14,BB_172,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.08,,,,,8-Apr
1,14,BB_116,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-May
1,14,BB_83,7,,,,,,,,,,,,,,,,,,,18,78.64,,,7,49.12,,,,,,,,,,,,,26-Mar
1,15,BB_19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
1,15,BB_61,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,16,BB_166,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24.94,,,,,1-Apr
1,16,BB_210,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
1,17,BB_98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,17,BB_34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20.01,,,,,,,,,2-Apr
1,17,BB_146,7,,,,,,,,,,,,,,,,,,,,,,,12,40.75,,,,,,,,,,,,,17-Mar
1,18,BB_101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13.14,,,,,,,,,2-Apr
1,18,BB_52,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.39,,,,,8-Apr
1,19,BB_117,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16.22,,,5,18.42,,,,,11-Mar
1,19,BB_134,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,19,BB_209,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,20,BB_164,4,,,,,,,,,,,,,,,4,8.5,,,,,,,,,,,,,,,,,,,,,8-Apr
1,20,BB_150,3,,,7,,,,,,,,,,,,,,,,10,26.14,,,36,118.69,,,,,,,,,,,,,26-Mar
1,20,BB_48,8,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.37,,,,,,,,,22-Apr
1,21,BB_160,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
1,21,BB_4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6,29.28,,,,,,,,,26-Mar
1,21,BB_110,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,22,BB_84,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.56,,,,,,,,,NA
1,22,BB_215,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,22,BB_149,6,,,,,,,,,,,,,,,,,,,,,,,,,,,29,83.9,,,,,,,,,26-Mar
1,23,BB_44,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,23,BB_103,5,,,,,,,,,,,,,,,,,,,,,,,35,105.21,,,30,92.65,,,,,,,50,134.62,26-Mar
1,23,BB_7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,24,BB_199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,24,BB_211,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,24,BB_200,5,,,,,,,10,19.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,25,BB_113,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,25,BB_171,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
1,25,BB_94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,26,BB_59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,26,BB_25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
1,26,BB_185,4,,,,,,,,,,,,,,,,,,,,,,,2,24.4,,,,,,,,,,,,,22-Apr
1,27,BB_97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,27,BB_70,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
1,27,BB_92,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
1,28,BB_76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,17.47,,,,,26-Mar
1,28,BB_123,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
1,28,BB_163,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,29,BB_81,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,29,BB_135,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
W1,30,BB_32,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
W1,30,BB_17,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
W1,30,BB_185,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
1,31,BB_133,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,31,BB_154,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
1,31,BB_95,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,32,BB_64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,32,BB_8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,33,BB_205,1,,,,,,,,,,,,,,,,,,,4,9.68,,,18,82.77,,,2,7.57,,,,,,,,,26-Mar
1,33,BB_147,1,,,,,,,,,,,,,,,,,,,,,,,4,16,,,,,,,,,,,,,2-Apr
1,33,BB_159,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,82.03,,,,,,,,,26-Mar
1,34,BB_46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,34,BB_53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
1,34,BB_102,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,35,BB_183,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,35,BB_2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,36,BB_151,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
1,36,BB_72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
1,36,BB_204,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
1,37,BB_50,2,,,,,,,,,,,,,,,4,28.55,,,,,,,,,,,,,,,,,,,,,26-Mar
1,37,BB_132,6,,,,,,,,,,,,,,,9,26.85,,,,,,,,,,,,,,,12,65.57,,,,,11-Mar
1,37,BB_121,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
1,38,BB_63,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
1,38,BB_126,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Mar
1,38,BB_89,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13.67,,,,,NA
1,38,BB_139,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.83,,,,,,,,,NA
1,39,BB_105,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29-Apr
1,39,BB_145,4,,,,,,,,,,,,,,,,,,,,,,,8,33.34,,,,,,,,,,,,,26-Mar
1,39,BB_39,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
W1,40,BB_118,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
W1,40,BB_187,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
W1,40,BB_77,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
1,41,BB_77,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,41,BB_37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,41,BB_190,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,42,BB_138,1,,,,,,,,,,,,,,,,,,,5,11.23,,,,,,,,,,,,,,,,,26-Mar
1,42,BB_111,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,43,BB_35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Apr
1,43,BB_54,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,43,BB_87,7,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.41,,,,,,,,,25-Mar
1,44,BB_152,2,,,,,,,,,,,,,,,,,,,1,6.55,,,5,16.78,,,,,,,,,,,,,25-Mar
1,44,BB_208,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
1,44,BB_40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
1,45,BB_43,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,45,BB_74,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,45,BB_192,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
1,46,BB_127,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
1,46,BB_153,1,,,,,,,,,,,,,,,,,,,,,,,17,63.75,,,3,10.11,,,,,,,,,23-Apr
1,46,BB_24,4,,,,,,,,,,,,,,,4,9.81,,,,,,,,,,,,,,,,,,,,,11-Mar
1,47,BB_31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,47,BB_30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,47,BB_49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,48,BB_148,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,48,BB_205 B,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,48,BB_157,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,49,BB_181,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,49,BB_88,7,,,,,,,,,,,,,,,,,,,,,,,16,43.58,,,,,,,,,,,,,2-Apr
1,49,BB_119,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
W1,50,BB_161,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
W1,50,BB_143,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
W1,50,BB_49,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Feb
1,51,BB_80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,51,BB_140,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Feb
1,51,BB_158,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Feb
1,52,BB_16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
1,52,BB_51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
1,52,BB_216,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
1,53,BB_56,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,53,BB_118,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
1,53,BB_78,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
1,54,BB_42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
1,54,BB_120,8,,,,,,,,,,,,,,,,,,,,,,,1,2.32,,,1,1.23,,,,,,,,,NA
1,55,BB_86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
2,56,BB_118,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
2,56,BB_148,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
