,,,,Collection Date: 2022-04-14,,,,Collection Date: 2022-04-20,,,,Collection Date: 2022-04-26 to 2022-04-27,,,,Collection Date: 2022-05-02 to 2022-05-06,,,,Collection Date: 2022-05-09 to 2022-05-12,,,,Collection Date: 2022-05-16 to 2022-05-20,,,,Collection Date: 2022-05- 23 to 2022-05-24,,,,Collection Date: 2022-06-13 to 2022-06-19,,,,Collection Date: NA,,,
Transect,Recipient,Recipient _ID,Fitness Plant,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg
1,HR_5,HR_005,4,,,,,,,,,,,,,,,,,16,42,42,144.04,,,,,,,,,,,,,,,,
1,HR_7,HR_007,6,,,,,,,,,,,,,2,8,8,18.33,,,,,,,,,,,,,,,,,,,,
1,HR_10,HR_010,5,,,,,,,,,,,,,3,1,1,1.57,,,,,,,,,,,,,,,,,,,,
1,HR_11,HR_011,8,,,,,,,,,,,,,,,,,5,16,16,29.66,,,,,,,,,,,,,,,,
1,HR_16,HR_016,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HR_18,HR_018,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HR_20,HR_020,8,,,,,,,,,,,,,3,7,7,13.41,,,,,,,,,,,,,,,,,,,,
1,HR_25,HR_025,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HR_26,HR_026,4,,,,,,,,,,,,,,,,,2,1,1,1.31,,,,,,,,,,,,,,,,
1,HR_32,HR_032,4,,,,,,,,,,,,,,,,,5,4,4,9.07,3,2,2,4.36,,,,,,,,,,,,
1,HR_33,HR_033,5,,,,,,,,,,,,,,,,,11,9,9,27.89,7,12,12,28.12,,,,,,,,,,,,
