Transect,Recipient,Plant_ID,Sample ID,Tube ID,Weight including capsule (mg),Sample weight (mg),Well ID,Tray Name,Type of Material,Analysis,Enriched
1,AC_015,5,AC_015-001-05,1,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_046,3,AC_046-001-03,2,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_048,4,AC_048-001-04,3,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_055,5,AC_055-001-05,4,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_056,5,AC_056-001-05,5,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_057,7,AC_057-001-07,6,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_058,9,AC_058-001-09,7,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_062,6,AC_062-001-06,8,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_066,10,AC_066-001-10,9,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_070,9,AC_070-001-09,10,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_074,6,AC_074-001-06,11,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_086,4,AC_086-001-04,12,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_088,1,AC_088-001-01,13,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_089,10,AC_089-001-10,14,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_096,9,AC_096-001-09,15,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_097,1,AC_097-001-01,16,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_107,4,AC_107-001-04,17,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_109,4,AC_109-001-04,18,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_110,4,AC_110-001-04,19,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_120,8,AC_120-001-08,20,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_128,10,AC_128-001-10,21,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_130,10,AC_130-001-10,22,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_131,6,AC_131-001-06,23,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_136,4,AC_136-001-04,24,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_151,6,AC_151-001-06,25,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_168,5,AC_168-001-05,26,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_181,7,AC_181-001-07,27,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_185,10,AC_185-001-10,28,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_189,3,AC_189-001-03,29,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_190,3,AC_190-001-03,30,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_191,5,AC_191-001-05,31,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_193,5,AC_193-001-05,32,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_200,10,AC_200-001-10,33,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_203,2,AC_203-001-02,34,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_205,6,AC_205-001-06,35,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
1,AC_218,9,AC_218-001-09,36,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
2,AC_011,9,AC_011-002-09,37,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
2,AC_014,6,AC_014-002-06,38,,,,Nemo_2022_AC_1,plant stem tissue,"13C, 15N",No
