Location,Recipient,Plant_ID,Sample ID,Tube ID,Weight including capsule (mg),Sample weight (mg),Well ID,Tray Name,Type of Material,Analysis,Enriched
2,BB_085,3,BB_085-002-03,1,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
2,BB_179,3,BB_179-002-03,2,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
3,BB_010,5,BB_010-003-05,3,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
4,BB_143,7,BB_143-004-07,4,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
4,BB_161,4,BB_161-004-04,5,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
5,BB_020,1,BB_020-005-01,6,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
5,BB_069,4,BB_069-005-04,7,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
5,BB_114,5,BB_114-005-05,8,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
6,BB_104,8,BB_104-006-08,9,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
6,BB_195,4,BB_195-006-04,10,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
7,BB_027,2,BB_027-007-02,11,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
7,BB_186,7,BB_186-007-07,12,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
8,BB_137,3,BB_137-008-03,13,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
8,BB_207,6,BB_207-008-06,14,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
9,BB_009,2,BB_009-009-02,15,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
9,BB_017,4,BB_017-009-04,16,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
9,BB_189,6,BB_189-009-06,17,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
10,BB_058,2,BB_058-010-02,18,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
10,BB_187,3,BB_187-010-03,19,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
11,BB_060,3,BB_060-011-03,20,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
11,BB_093,7,BB_093-011-07,21,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
12,BB_018,6,BB_018-012-06,22,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
13,BB_029,5,BB_029-013-05,23,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
13,BB_131,6,BB_131-013-06,24,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
14,BB_083,7,BB_083-014-07,25,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
14,BB_116,6,BB_116-014-06,26,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
14,BB_172,4,BB_172-014-04,27,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
15,BB_019,1,BB_019-015-01,28,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
15,BB_061,8,BB_061-015-08,29,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
16,BB_166,5,BB_166-016-05,30,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
16,BB_210,6,BB_210-016-06,31,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
17,BB_034,5,BB_034-017-05,32,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
17,BB_098,2,BB_098-017-02,33,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
18,BB_052,5,BB_052-018-05,34,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
19,BB_117,5,BB_117-019-05,35,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
19,BB_134,6,BB_134-019-06,36,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
19,BB_209,6,BB_209-019-06,37,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
20,BB_048,8,BB_048-020-08,38,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
20,BB_150,3,BB_150-020-03,39,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
20,BB_164,4,BB_164-020-04,40,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
21,BB_004,4,BB_004-021-04,41,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
21,BB_110,6,BB_110-021-06,42,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
21,BB_160,3,BB_160-021-03,43,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
22,BB_084,4,BB_084-022-04,44,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
22,BB_215,5,BB_215-022-05,45,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
23,BB_007,7,BB_007-023-07,46,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
23,BB_103,5,BB_103-023-05,47,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
24,BB_199,1,BB_199-024-01,48,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
24,BB_200,5,BB_200-024-05,49,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
24,BB_211,3,BB_211-024-03,50,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
25,BB_113,2,BB_113-025-02,51,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
25,BB_171,2,BB_171-025-02,52,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
26,BB_025,4,BB_025-026-04,53,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
26,BB_059,3,BB_059-026-03,54,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
26,BB_185,4,BB_185-026-04,55,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
27,BB_070,6,BB_070-027-06,56,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
27,BB_092,8,BB_092-027-08,57,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
28,BB_076,1,BB_076-028-01,58,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
28,BB_123,4,BB_123-028-04,59,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
29,BB_135,8,BB_135-029-08,60,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
31,BB_154,4,BB_154-031-04,61,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
32,BB_008,8,BB_008-032-08,62,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
33,BB_147,1,BB_147-033-01,63,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
33,BB_159,5,BB_159-033-05,64,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
33,BB_205,1,BB_205-033-01,65,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
35,BB_002,6,BB_002-035-06,66,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
36,BB_072,4,BB_072-036-04,67,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
36,BB_204,8,BB_204-036-08,68,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
37,BB_050,2,BB_050-037-02,69,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
37,BB_121,7,BB_121-037-07,70,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
37,BB_132,6,BB_132-037-06,71,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
38,BB_089,4,BB_089-038-04,72,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
38,BB_139,7,BB_139-038-07,73,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
39,BB_105,3,BB_105-039-03,74,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
39,BB_145,4,BB_145-039-04,75,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
41,BB_037,2,BB_037-041-02,76,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
41,BB_190,2,BB_190-041-02,77,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
42,BB_111,6,BB_111-042-06,78,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
42,BB_138,1,BB_138-042-01,79,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
43,BB_054,6,BB_054-043-06,80,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
44,BB_040,4,BB_040-044-04,81,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
44,BB_152,2,BB_152-044-02,82,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
44,BB_208,3,BB_208-044-03,83,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
45,BB_074,4,BB_074-045-04,84,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
