Transect,Recipient,Plant_ID,Sample ID,Tube ID,Weight including capsule (mg),Sample weight (mg),Tray Name,Well ID,Type of Material,Analysis,Enriched
1,BO_004,6,BO_004-001-06,1,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_024,3,BO_024-001-03,2,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_048,3,BO_048-001-03,3,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_060,4,BO_060-001-04,4,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_080,1,BO_080-001-01,5,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_082,2,BO_082-001-02,6,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_094,4,BO_094-001-04,7,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_120,2,BO_120-001-02,8,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_127,8,BO_127-001-08,9,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_130,7,BO_130-001-07,10,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_137,8,BO_137-001-08,11,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_139,7,BO_139-001-07,12,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_149,1,BO_149-001-01,13,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_166,6,BO_166-001-06,14,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_176,5,BO_176-001-05,15,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_182,4,BO_182-001-04,16,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
1,BO_185,1,BO_185-001-01,17,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_017,3,BO_017-002-03,18,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_050,7,BO_050-002-07,19,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_051,7,BO_051-002-07,20,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_071,6,BO_071-002-06,21,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_086,7,BO_086-002-07,22,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_089,3,BO_089-002-03,23,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_095,8,BO_095-002-08,24,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_106,6,BO_106-002-06,25,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_125,7,BO_125-002-07,26,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_132,3,BO_132-002-03,27,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
2,BO_154,8,BO_154-002-08,28,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
