Transect,Recipient,Plant_ID,Sample ID,Tube ID,Weight including capsule (mg),Sample weight (mg),Tray Name,Well ID,Type of Material,Analysis,Enriched
1,HR_005,4,HR_005-001-04,1,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_007,6,HR_007-001-06,2,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_010,5,HR_010-001-05,3,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_011,8,HR_011-001-08,4,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_016,4,HR_016-001-04,5,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_020,8,HR_020-001-08,6,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_026,4,HR_026-001-04,7,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_032,4,HR_032-001-04,8,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_033,5,HR_033-001-05,9,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_036,4,HR_036-001-04,10,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_037,5,HR_037-001-05,11,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_039,1,HR_039-001-01,12,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_040,5,HR_040-001-05,13,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_046,6,HR_046-001-06,14,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_047,2,HR_047-001-02,15,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_049,3,HR_049-001-03,16,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_057,4,HR_057-001-04,17,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_058,2,HR_058-001-02,18,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_061,2,HR_061-001-02,19,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_092,1,HR_092-001-01,20,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_095,8,HR_095-001-08,21,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_108,1,HR_108-001-01,22,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_110,6,HR_110-001-06,23,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
1,HR_113,5,HR_113-001-05,24,,,Nemo_2022_HR_1,,plant stem tissue,"13C, 15N",No
