Block,Location,Recipient,Plant_ID,Skeleton Weights (mg),Units,Notes,Chosen for Pulverization? (y/n),
1,1,BB_170,7,,,DNE,,
1,1,BB_206,5,,,DNE,,
1,2,BB_085,3,,,Incomplete,y,
1,2,BB_085,6,22.47,,Complete,n,
1,2,BB_085,7,18.52,,Complete,n,
1,2,BB_179,3,,,Incomplete,y,
1,3,BB_003,1,,,DNE,,
1,3,BB_010,5,12.1,,complete ,y,
1,3,BB_109,2,,,DNE,,
1,4,BB_143,4,3.89,,Complete,n,
1,4,BB_143,6,11.75,,complete,n,
1,4,BB_143,7,42.4,,Complete ,y,
,4,BB_161,4,,,Incomplete,y,
1,4,BB_161,6,14.75,,Complete,n,
1,4,BB_214,3,,,Incomplete,n,
1,5,BB_013,8,,,DNE,,
1,5,BB_020,1,,,incomplete,y,
1,5,BB_020,5,,,DNE ,,
1,5,BB_020,7,,,incomplete,n,
1,5,BB_069,4,32.47,,Complete,y,
1,5,BB_114,5,9.97,,Complete,y,
1,6,BB_104,8,,,Incomplete (as marked on envelope. Recorded as complete with weight 34.88. Unsure where weight belongs),y,
1,6,BB_104,NA,,,Incomplete,,
1,6,BB_193,8,,,DNE,,
1,6,BB_195,4,15.78,,Complete,y,
1,7,BB_027,2,83.57,,Complete,y,
1,7,BB_186,7,82.7,,Complete,y,
1,7,BB_201,1,,,DNE,,
1,8,BB_137,3,,,Incomplete,y,
1,8,BB_137,6,,,DNE,,
1,8,BB_137,7,,,DNE,,
1,8,BB_207,6,7.22,,Complete,y,
1,8,BB_218,7,,,DNE,,
1,9,BB_009,2,13.97,,Complete ,y,
1,9,BB_017,4,16.2,,Complete,y,
1,9,BB_017,5,,,incomplete,n,
1,9,BB_017,8,,,incomplete,n,
1,9,BB_189,6,2.26,,Complete,y,
1,10,BB_021,3,,,DNE,,
1,10,BB_032,5,,,DNE,,
1,10,BB_058,2,33.66,,Complete,y,
1,10,BB_187,3,,,Incomplete,y,
1,11,BB_060,3,258.43,,Complete,y,
1,11,BB_093,7,79.64,,Complete,y,
1,12,BB_018,6,61.06,,Complete,y,
1,12,BB_068,2,,,DNE,,
1,13,BB_029,5,,,Incomplete,y,
1,13,BB_045,6,,,DNE,,
1,13,BB_131,6,44.29,,Complete,y,
1,14,BB_083,7,,,Incomplete,y,
1,14,BB_116,6,12.26,,Complete,y,
