Transect,Recipient,Plant_ID,Skeleton Weights,Units,Notes,Chosen for Pulverization? (y/n)
1,BO_004,6,2.59,,complete,y
1,BO_004,7,,,incomplete,n
1,BO_008,2,,,DNE,
1,BO_012,1,,,DNE,
1,BO_019,7,,,DNE,
1,BO_021,1,,,DNE,
1,BO_021,3,,,DNE,
1,BO_021,4,,,DNE,
1,BO_024,2,,,DNE,
1,BO_024,3,19.42,,Complete,y
1,BO_029,1,,,DNE,
1,BO_045,5,,,DNE,
1,BO_047,6,,,DNE,
1,BO_048,3,96.62,,complete,y
1,BO_048,8,,,incomplete,n
1,BO_060,4,11.73,,complete,y
1,BO_066,7,,,DNE,
1,BO_080,1,8.1,,complete,y
1,BO_080,2,,,DNE,
1,BO_080,3,,,incomplete,
1,BO_082,1,,,DNE,
1,BO_082,2,49.88,,complete,y
1,BO_094,4,,,Incomplete,y
1,BO_098,7,1.47,,complete,n
1,BO_099,2,,,DNE,
1,BO_104,4,,,DNE,
1,BO_115,5,,,DNE,
1,BO_117,7,,,DNE,
1,BO_118,3,,,DNE,
1,BO_120,2,6.56,,complete,y
1,BO_121,6,,,DNE,
1,BO_127,8,333.97,,complete,y
1,BO_130,7,194.14,,complete,y
1,BO_137,5,77.45,,"EXCLUDE. lost, not found for pulverization",
1,BO_137,8,,,incomplete,y
1,BO_139,7,2.65,,complete,y
1,BO_141,2,,,DNE,
1,BO_149,1,19.4,,complete (formerly marked incomplete),y
1,BO_149,4,19.81,,"EXCLUDE. lost, not found for pulverization",
1,BO_155,8,,,DNE,
1,BO_166,6,,,Incomplete,y
1,BO_175,2,,,DNE,
1,BO_176,5,12.1,,complete,y
1,BO_178,3,,,DNE,
1,BO_182,1,,,incomplete,n
1,BO_182,4,7.32,,complete,y
1,BO_185,1,19.1,,complete,y
1,BO_191,6,,,DNE,
2,BO_017,3,133.34,,complete,y
2,BO_050,7,21.38,,complete,y
2,BO_051,7,75.71,,complete,y
2,BO_052,4,,,DNE,
2,BO_055,7,,,DNE,
2,BO_056,3,,,DNE,
2,BO_061,1,,,DNE,
2,BO_063,2,,,DNE,
2,BO_071,6,,,Incomplete,y
2,BO_072,2,,,DNE,
2,BO_078,7,,,DNE,
2,BO_086,2,,,incomplete,n
2,BO_086,7,38.84,,complete,y
2,BO_086,8,,,DNE,
2,BO_089,3,10.24,,complete,y
2,BO_095,8,,,Incomplete,y
2,BO_106,6,1.95,,complete,y
2,BO_111,3,,,DNE,
2,BO_125,7,,,Incomplete,y
2,BO_132,3,21.09,,complete,y
2,BO_152,1,,,DNE,
2,BO_152,7,,,DNE,
2,BO_152,8,,,DNE,
2,BO_154,8,73.67,,complete,y
2,BO_159,6,12.14,,complete,y
2,BO_164,5,13.64,,complete,y
2,BO_174,2,24.6,,complete,y
2,BO_189,4,,,DNE,
2,BO_198,2,4.93,,complete,y
2,BO_199,2,14.74,,"EXCLUDE. lost, not found for pulverization",
2,BO_199,4,,,incomplete,n
2,BO_199,7,,,incomplete,y
2,BO_200,6,68.03,,complete,y
3,BO_001,5,,,DNE,
3,BO_025,5,,,DNE,
3,BO_025,7,,,DNE,
3,BO_028,1,,,DNE,
3,BO_054,1,,,DNE,
3,BO_069,1,13.14,,complete,y
3,BO_088,5,,,DNE,
3,BO_100,8,8.88,,complete,y
3,BO_116,6,,,DNE,
3,BO_123,2,,,DNE,
3,BO_126,3,24.22,,complete,y
3,BO_126,5,,,DNE,
3,BO_126,6,,,incomplete,n
3,BO_134,5,,,DNE,
3,BO_140,1,91.63,,complete,y
3,BO_142,5,,,DNE,
3,BO_142,6,,,DNE,
3,BO_142,8,,,DNE,
3,BO_145,4,,,DNE,
3,BO_146,7,,,DNE,
3,BO_150,4,,,DNE,
3,BO_151,3,,,DNE,
3,BO_151,6,,,DNE,
3,BO_158,1,23.16,,complete,y
3,BO_169,6,,,Incomplete,y
3,BO_171,3,,,DNE,
3,BO_201,7,12.91,,complete,y
4,BO_014,2,,,DNE,
4,BO_015,2,10.84,,complete,y
4,BO_020,8,,,DNE,
4,BO_046,3,,,DNE,
4,BO_087,6,,,"incomplete, weight 1.36",n
4,BO_090,8,,,DNE,
4,BO_131,3,,,DNE,
4,BO_144,3,19.1,,complete,y
4,BO_147,3,,,DNE,
4,BO_161,6,,,DNE - weighed? 18.88mg,
4,BO_167,7,9.18,,complete,y
4,BO_184,7,,,DNE,
4,BO_195,3,,,DNE,
5,BO_001,4,11.08,,complete,y
5,BO_012,2,48.39,,complete,y
5,BO_014,7,24.19,,complete,y
5,BO_017,6,23.91,,complete,y
5,BO_020,1,74.27,,complete,y
5,BO_022,2,,,DNE,
5,BO_028,5,,,DNE,
5,BO_031,6,,,DNE,
5,BO_045,5,,,DNE,
5,BO_047,4,,,DNE,
5,BO_051,1,33.74,,complete,y
5,BO_060,8,,,incomplete,y
5,BO_063,8,11.94,,complete,y
5,BO_071,3,,,DNE,
5,BO_079,4,78.36,,complete,y
5,BO_082,5,19.19,,complete,n
5,BO_082,6,19,,complete,y
5,BO_082,7,21.98,,complete,n
5,BO_085,6,,,DNE,
5,BO_086,3,157.59,,complete,y
5,BO_089,7,6.9,,complete,y
5,BO_095,8,29.9,,complete,y
5,BO_098,5,,,DNE,
5,BO_108,1,,,incomplete,y
5,BO_114,8,36.2,,complete,y
5,BO_115,2,7.54,,Complete,y
5,BO_117,1,,,DNE,
5,BO_118,8,53.05,,complete,y
5,BO_121,7,47.89,,complete,y
5,BO_122,7,,,DNE,
5,BO_140,4,,,DNE,
5,BO_149,2,,,DNE,
5,BO_149,3,18.61,,complete,y
5,BO_171,1,58.16,,Complete,y
5,BO_186,6,,,DNE,
5,BO_195,4,,,Incomplete,y
5,BO_198,8,,,DNE,
6,BO_008,7,46.97,,complete,y
6,BO_025,3,,,incomplete,n
6,BO_025,6,17.02,,complete,n
6,BO_025,7,50.6,,complete,y
6,BO_032,4,17.06,,complete,y
6,BO_050,4,,,DNE,
6,BO_052,2,31.09,,complete,y
6,BO_056,6,,,DNE,
6,BO_056,8,66.4,,complete,y
6,BO_061,3,64.38,,complete,y
6,BO_070,5,,,incomplete - weight 58.38mg,y
6,BO_078,4,5.33,,complete,y
6,BO_090,1,22,,complete,y
6,BO_096,4,,,DNE,
6,BO_118,1,6.29,,complete,y
6,BO_120,7,,,incomplete,y
