Transect,Recipient,Plant_ID,Skeleton Weights (mg),Units,Notes,Chosen for Pulverization? (y/n),
1,HR_005,4,86.19,,complete,y,
1,HR_007,6,29.31,,complete,y,
1,HR_010,5,,,Incomplete,y,
1,HR_011,8,49.68,,complete,y,
1,HR_016,4,34.86,,complete,y,
1,HR_018,8,,,DNE,n,
1,HR_020,8,14.53,,complete,y,
1,HR_026,4,,,Incomplete,y,
1,HR_032,4,78.14,,complete,y,
1,HR_033,5,87.33,,complete ,y,
1,HR_036,4,31.12,,complete ,y,
1,HR_037,5,69.81,,complete ,y,
1,HR_039,1,11.93,,complete ,y,
1,HR_040,3,,,incomplete ,n,
1,HR_040,5,20.98,,complete ,y,
1,HR_040,7,,,incomplete ,n,
1,HR_041,3,,,DNE,n,
1,HR_046,6,59.37,,complete,y,
1,HR_047,2,,,incomplete,y,
1,HR_049,3,37.05,,complete,y,
1,HR_057,4,21.18,,complete,y,
1,HR_058,2,123.09,,complete,y,
1,HR_061,2,61.48,,complete,y,
1,HR_092,1,40.84,,complete,y,
1,HR_095,8,30.01,,complete,y,
1,HR_105,7,,,DNE,n,
1,HR_108,1,32.08,,complete,y,
1,HR_110,6,44.98,,complete,y,
1,HR_113,5,94.51,,complete,y,
1,HR_114,7,24.14,,complete,y,
1,HR_115,6,62.48,,complete,y,
1,HR_123,5,29.31,,complete,y,
1,HR_134,4,14.88,,complete,y,
1,HR_136,3,,,DNE,n,
1,HR_146,3,,,incomplete,y,
1,HR_146,6,,,DNE,n,
1,HR_146,8,,,DNE,n,
1,HR_148,5,57.8,,complete,y,
1,HR_148,6,,,incomplete,n,
1,HR_158,4,85.29,,complete,y,
1,HR_162,2,57.18,,complete,y,
1,HR_162,5,,,incomplete,n,
1,HR_162,5,,,incomplete,n,
1,HR_170,5,61.78,,complete,y,
1,HR_173,5,5.2,,complete,y,
1,HR_175,6,51.98,,complete,y,
1,HR_176,7,28.08,,complete,y,
1,HR_177,3,39.97,,complete,y,
1,HR_178,6,35.57,,complete,y,
1,HR_183,2,,,Incomplete,y,
1,HR_196,5,120.03,,complete,y,
2,HR_006,6,38.46,,complete,y,
2,HR_012,7,46.68,,complete,y,
2,HR_014,6,,,Incomplete,y,
2,HR_015,5,,,incomplete,n,
2,HR_015,6,80.49,,complete,y,
2,HR_015,7,,,incomplete,n,
2,HR_023,2,9.29,,complete,y,
2,HR_027,8,,,DNE,n,
2,HR_034,5,72.14,,complete,y,
2,HR_035,6,29.95,,complete,y,
2,HR_038,8,45.67,,complete,y,
2,HR_043,5,,,incomplete,n,
2,HR_043,4,19.78,,complete,y,
2,HR_043,5,,,incomplete,n,
2,HR_050,1,36.32,,complete,y,
2,HR_051,3,28.92,,complete,y,
2,HR_054,1,57.52,,complete,y,
2,HR_059,5,,,incomplete,n,
2,HR_059,5,25.11,,complete,y,
2,HR_059,5,,,incomplete,n,
2,HR_062,5,21.53,,complete,y,
2,HR_064,5,,,incomplete,n,
2,HR_064,5,,,incomplete,n,
2,HR_064,8,28.21,,complete,y,
2,HR_071,5,,,incomplete,n,
2,HR_071,5,,,incomplete,n,
2,HR_071,7,37.4,,complete,y,
2,HR_072,7,115.22,,complete,y,
2,HR_073,3,16.03,,complete,y,
2,HR_078,2,13.07,,complete,y,
2,HR_080,1,45.67,,complete,y,
2,HR_080,5,,,incomplete,n,
2,HR_080,5,,,incomplete,n,
2,HR_085,4,118.36,,complete,y,
2,HR_086,1,32.19,,complete,y,
2,HR_088,8,5.33,,complete,y,
2,HR_101,3,19.72,,complete,y,
2,HR_101,5,,,incomplete,n,
2,HR_101,5,,,incomplete,n,
2,HR_104,4,13.83,,complete,y,
2,HR_107,6,76.26,,complete,y,
2,HR_109,8,25.38,,complete,y,
2,HR_112,3,123.33,,complete,y,
2,HR_112,5,,,incomplete,n,
2,HR_112,5,,,incomplete,n,
2,HR_119,1,,,incomplete,n,
2,HR_119,5,53.68,,complete,y,
2,HR_119,8,33.97,,complete,n,
2,HR_121,1,34.69,,complete,y,
2,HR_126,7,58.09,,complete,y,
2,HR_129,1,14.65,,complete,y,
2,HR_133,6,15.6,,complete,y,
2,HR_137,8,126.81,,complete,y,
2,HR_142,5,,,incomplete,n,
2,HR_142,5,,,incomplete,n,
2,HR_142,4,12.66,,complete,y,
2,HR_145,3,4.81,,complete,y,
2,HR_145,5,,,incomplete,n,
2,HR_145,5,,,incomplete,n,
2,HR_149,1,93.27,,complete,y,
2,HR_149,5,,,incomplete,n,
2,HR_149,4,,,incomplete,n,
2,HR_153,4,10.59,,complete,y,
2,HR_161,8,66.77,,complete,y,
2,HR_164,3,,,Incomplete,y,
2,HR_165,8,95.49,,complete,y,
2,HR_169,5,168.19,,complete,y,
2,HR_180,2,,,Incomplete,n,
2,HR_180,6,8.93,,complete,y,
2,HR_180,5,,,incomplete,n,
2,HR_195,3,30.61,,complete,y,
2,HR_201,6,84.65,,complete,y,
3,HR_001,7,36.66,,complete,y,
3,HR_004,3,13.51,,complete,y,
