Transect,Recipient,Plant ID,Skeleton Weights,Units (mg),Notes
W1,AC_034,1,22.13,,complete
W1,AC_034,2,32.18,,complete
W1,AC_034,6,27.28,,complete
W1,AC_040,4,29.5,,complete
W1,AC_040,6,7.87,,complete
W1,AC_040,7,,,incomplete
W1,AC_055,1,12.98,,complete
W1,AC_055,4,4.22,,complete
W1,AC_055,8,6.88,,complete
W1,AC_058,3,15.84,,complete
W1,AC_058,6,9.4,,complete
W1,AC_058,7,4.09,,complete
W1,AC_070,4,9.66,,complete
W1,AC_070,5,2.06,,complete
W1,AC_070,6,,,incomplete
W1,AC_070,7,,,DNE
W1,AC_081,2,58.67,,complete
W1,AC_081,5,14.89,,complete
W1,AC_081,8,30.64,,complete
W1,AC_082,2,9.73,,complete
W1,AC_082,3,9.17,,complete
W1,AC_082,6,5.84,,complete
W1,AC_097,6,27.71,,comlpete
W1,AC_097,7,15.94,,complete
W1,AC_097,8,7.49,,complete
W1,AC_099,3,9.08,,complete
W1,AC_099,4,,,
W1,AC_109,1,25.53,,complete
W1,AC_109,3,27.54,,complete
W1,AC_109,4,11.76,,complete
W1,AC_111,2,,,"incomplete, extra"
W1,AC_111,4,4.91,,complete
W1,AC_111,6,,,
W1,AC_147,3,5.17,,
W1,AC_147,4,4.08,,
W1,AC_147,6,3.83,,
W1,AC_187,4,23.19,,complete
W1,AC_187,5,6.5,,complete
W1,AC_187,6,7.85,,complete
W1,AC_189,3,3.12,,complete 
W1,AC_189,5,5.38,,complete
W1,AC_189,8,8.08,,complete
W1,AC_190,2,38.03,,complete 
W1,AC_190,8,10.18,,complete
W1,AC_197,3,24.71,,complete
W1,AC_197,8,12.76,,complete
W1,AC_197,7,,,incomplete; no fruit collected (DEG)
W1,AC_204,3,44.7,,complete
W1,AC_204,4,41.38,,complete
W1,AC_204,5,29.89,,complete
W1,AC_208,1,3.64,,
W1,AC_208,7,2.13,,
W1,AC_208,8,10.29,,complete
W1,AC_216,1,7.57,,
W1,AC_216,6,9.05,,complete
W1,AC_216,8,11.3,,complete
W1,AC_217,2,138.56,,
W1,AC_217,7,3.95,,complete
W1,AC_217,8,,,incomplete
W1,AC_218,3,18.65,,complete
W1,AC_218,4,,,incomplete
W1,AC_218,5,,,incomplete
W2,AC_034,3,1.76,,complete
W2,AC_034,5,4.08,,complete
W2,AC_040,5,7.09,,
W2,AC_040,6,8.87,,complete
W2,AC_040,7,10.02,,complete
W2,AC_055,3,5.37,,complete
W2,AC_055,6,9.65,,complete
W2,AC_055,7,112.24,,complete
W2,AC_058,1,4.57,,complete
W2,AC_058,2,10.08,,complete
W2,AC_058,3,9.3,,complete
W2,AC_070,2,,,
W2,AC_070,4,,,incomplete
W2,AC_070,7,1.46,,complete
W2,AC_081,1,21.22,,complete
W2,AC_081,2,3.01,,complete
W2,AC_081,8,5.4,,complete
W2,AC_082,2,3.03,,complete
W2,AC_082,4,3.62,,complete
W2,AC_082,5,2.35,,complete
W2,AC_085,4,3.62,,complete
W2,AC_097,1,6.82,,complete
W2,AC_097,4,12.88,,
W2,AC_097,7,27.08,,complete
W2,AC_099,6,20.27,,complete
W2,AC_099,7,10.94,,complete
W2,AC_109,4,10.91,,complete
W2,AC_109,5,10.4,,complete
W2,AC_109,8,11.57,,complete
W2,AC_111,4,23.32,,complete
W2,AC_147,1,5.25,,complete
W2,AC_147,2,8.62,,complete
W2,AC_147,6,13.22,,
W2,AC_178,3,,,"extra, incomplete"
W2,AC_187,3,,,
W2,AC_187,4,6.16,,complete
W2,AC_187,8,6.74,,complete
W2,AC_189,2,17.07,,
W2,AC_189,4,3.31,,complete
W2,AC_189,8,21.87,,complete
W2,AC_190,1,7.41,,
W2,AC_190,4,12.11,,complete
W2,AC_190,7,6.47,,complete
W2,AC_197,5,,,
W2,AC_197,6,,,
W2,AC_197,7,,,
W2,AC_204,2,40.18,,complete
W2,AC_204,5,41.36,,complete
W2,AC_204,8,91.41,,complete
W2,AC_208,6,13.43,,complete
W2,AC_208,7,9.23,,complete
W2,AC_216,1,30.44,,complete
W2,AC_216,3,33.23,,
W2,AC_216,6,,,
W2,AC_216,7,,,"incomplete, extra"
W2,AC_217,5,2.54,,"complete, extra"
W2,AC_217,6,0.54,,complete
W2,AC_217,8,,,incomplete
W2,AC_218,1,5.96,,
W2,AC_218,5,1.66,,complete
W2,AC_218,7,22.14,,complete
