Location,Recipient,Plant ID,Skeleton Weights,Units,Notes
30,BB_017,2,,,DNE
30,BB_017,3,,,incomplete
30,BB_032,1,,,incomplete
30,BB_032,3,,,incomplete
30,BB_032,6,,,incomplete
30,BB_185,3,,,incomplete
30,BB_185,5,,,incomplete
30,BB_185,6,,,incomplete
40,BB_077,7,,,incomplete. 6/8 incomplete；6/9complete
40,BB_118,1,,,
40,BB_118,4,,,
40,BB_118,6,,,
40,BB_187,3,,,DNE
40,BB_187,4,,,incomplete
50,BB_049,3,28.94,,complete
50,BB_049,5,43.23,,complete
50,BB_049,7,,,incomplete
50,BB_143,2,,,incomplete
50,BB_143,4,39.51,,complete
50,BB_143,5,9.46,,complete
50,BB_161,4,,,DNE
60,BB_051,2,3.3,,complete
60,BB_051,7,5.28,,complete
60,BB_085,8,61.17,,DNE
60,BB_152,7,,,complete
60,BB_152,8,,,DNE
70,BB_020,4,17.8,,complete
70,BB_061,6,19.34,,complete
70,BB_105,4,,,DNE
80.5,BB_059,2,42.97,,complete
80.5,BB_102,6,42.21,,complete
,BB_102,8,,,DNE
80.5,BB_137,5,39.55,,complete
90,BB_024,7,,,DNE
90,BB_079,8,4.75,,complete
90,BB_164,5,1.28,,complete
90,BB_164,7,14.66,,complete
100,BB_032,NA,,,DNE
100,BB_085,1,4.04,,complete
100,BB_161,NA,,,DNE
110,BB_061,4,,,DNE
110,BB_077,5,8.34,,complete
110,BB_077,7,8.19,,complete
110,BB_187,7,9.22,,complete
110,BB_187,8,12.44,,complete
120,BB_017,3,,,incomplete
120,BB_017,4,95.95,,
120,BB_017,7,,,incomplete
120,BB_024,1,23.85,,complete
120,BB_024,2,48.38,,complete
120,BB_024,4,227.63,,complete
120,BB_024,5,,,DNE
120,BB_137,2,23.31,,complete
120,BB_137,8,,,DNE
120,BB_137,6,7.13,,complete
130,BB_105,5,,,DNE
130,BB_105,6,,,incomplete
130,BB_105,8,,,incomplete
130,BB_118,4,34.35,,complete
130,BB_185,1,95.75,,complete
130,BB_185,6,10.73,,complete
130,BB_185,7,32.66,,complete
140,BB_049,1,4.41,,complete
140,BB_049,2,12.04,,complete
140,BB_049,3,,,"incomplete (5/12), 4/23 complete"
140,BB_143,3,2.03,,complete
140,BB_143,4,,,incomplete
140,BB_164,NA,,,DNE
150,BB_051,3,12.39,,complete
150,BB_051,6,,,DNE
150,BB_051,7,5.56,,complete; no fruit produced; tiny
150,BB_059,6,,,DNE
150,BB_079,5,,,DNE
150,BB_079,6,61.97,,complete
150,BB_079,8,56.55,,complete
160,BB_020,1,,,DNE
160,BB_020,3,,,DNE
160,BB_020,6,53.49,,complete
160,BB_102,3,13.22,,"complete,"
160,BB_102,4,17.13,,"complete,"
160,BB_102,5,8.39,,"complete,"
160,BB_152,3,18.23,,"complete,"
160,BB_152,4,35.04,,"complete,"
160,BB_152,7,11.17,,"complete,"
