Transect,Recipient,Plant ID,Skeleton Weights,Units,Notes
W1,BO_004,1,,,
W1,BO_021,3,,,
W1,BO_021,5,,,Incomplete
W1,BO_024,1,,,
W1,BO_025,3,,,
W1,BO_048,3,,,
W1,BO_080,NA,,,
W1,BO_082,1,,,
W1,BO_086,4,,,
W1,BO_126,5,,,
W1,BO_127,NA,,,
W1,BO_130,1,6.29,,complete
W1,BO_130,4,,,incomplete
W1,BO_137,2,,,
W1,BO_142,2,,,
W1,BO_149,NA,,,
W1,BO_151,3,,,
W1,BO_152,1,,,
W1,BO_166,4,,,
W1,BO_182,1,,,
W1,BO_189,1,,,
W1,BO_195,3,,,
W1,BO_199,1,,,
W2,BO_004,2,,,
W2,BO_021,1,,,
W2,BO_024,3,23.68,,complete
W2,BO_025,NA,,,
W2,BO_048,1,,,
W2,BO_080,4,,,
W2,BO_082,1,,,
W2,BO_086,NA,,,
W2,BO_126,4,,,
W2,BO_127,1,,,
W2,BO_130,2,,,
W2,BO_137,5,,,
W2,BO_142,3,,,
W2,BO_149,3,,,
W2,BO_151,5,,,
W2,BO_152,7,,,
W2,BO_166,1,,,
W2,BO_166,2,,,
W2,BO_166,7,,,Incomplete
W2,BO_182,7,3.02,,Complete. Labeled as plant 8 but likely 7
W2,BO_189,6,,,
W2,BO_195,1,,,
W2,BO_195,2,,,
W2,BO_199,2,,,
