Transect,Recipient,Plant ID,Skeleton Weights,Units,Notes
W1,HR_015,1,9.56,,complete
W1,HR_015,5,36.79,,complete
W1,HR_015,8,,,
W1,HR_017,1,25.37,,complete
W1,HR_017,4,,,
W1,HR_017,8,,,
W1,HR_040,3,,,incomplete
W1,HR_040,6,27.17,,complete
W1,HR_040,7,21.3,,complete
W1,HR_043,1,,,
W1,HR_043,2,25.6,,complete
W1,HR_043,7,60.79,mg,complete
W1,HR_044,1,22.12,,complete
W1,HR_044,2,49.72,mg,complete
W1,HR_044,6,44.47,mg,complete
W1,HR_056,1,,,
W1,HR_056,3,65.16,,complete
W1,HR_056,6,131.84,mg,complete
W1,HR_059,2,154.02,mg,complete
W1,HR_059,6,265.5,mg,complete
W1,HR_059,7,70.56,mg,complete
W1,HR_064,2,52.82,mg,complete
W1,HR_064,4,50.47,mg,complete
W1,HR_064,8,93.96,,complete
W1,HR_071,1,,,
W1,HR_071,3,94.91,,complete
W1,HR_071,4,96.24,,complete
W1,HR_080,1,87.16,,complete
W1,HR_080,2,51.72,,complete
W1,HR_101,1,34.23,,complete
W1,HR_101,2,,,
W1,HR_101,7,69.61,,complete
W1,HR_112,1,57.15,,complete
W1,HR_112,5,164.41,mg,complete
W1,HR_112,7,82.49 or 406.42,,EXCLUDE. complete
W1,HR_119,2,67.71,mg,complete
W1,HR_119,6,,,incomplete
W1,HR_119,7,68.43,mg,complete
W1,HR_142,1,205.77,,complete
W1,HR_142,4,65.22,,complete
W1,HR_142,6,166.67,,complete
W1,HR_145,3,20.99,,complete
W1,HR_145,4,36.91,,complete
W1,HR_146,2,67.44,,complete
W1,HR_146,7,,,
W1,HR_146,8,89.99,mg,complete
W1,HR_148,2,,,
W1,HR_149,2,,,
W1,HR_149,7,,,
W1,HR_149,8,62.11,mg,complete
W1,HR_162,3,105.69,mg,complete
W1,HR_162,7,126.67,mg,complete
W1,HR_162,8,57.75,mg,complete
W1,HR_180,3,146.09,mg,complete
W1,HR_180,4,116.35,mg,complete
W1,HR_180,7,103.38,mg,complete
W1,HR_184,2,23.24,mg,complete
W1,HR_184,4,25.32,mg,complete
W1,HR_184,6,78.65,mg,complete
W2,HR_015,1,77.03,mg,complete
W2,HR_017,1,48.67,mg,complete
W2,HR_017,3,32.25,mg,complete
W2,HR_017,8,46.24,mg,complete
W2,HR_040,1,27.93,mg,complete
W2,HR_040,5,,,
W2,HR_040,7,79.2,mg,complete
W2,HR_043,4,58.51,mg,complete
W2,HR_043,6,104.03,mg,complete
W2,HR_043,8,231.38,mg,complete
W2,HR_044,3,120.3,mg,complete
W2,HR_044,4,71.16,mg,complete
W2,HR_044,7,,,incomplete
W2,HR_056,2,,,
W2,HR_056,4,101.63,mg,complete
W2,HR_056,8,352.91,mg,complete
W2,HR_059,1,53.73,mg,complete
W2,HR_059,5,180.62,mg,complete
W2,HR_059,6,83.54,mg,complete
W2,HR_064,3,,,incomplete
W2,HR_064,4,37.55,mg,complete
W2,HR_064,7,23.01,mg,complete
W2,HR_071,3,,,
W2,HR_080,5,13.59,mg,complete
W2,HR_080,6,37.63,mg,complete
W2,HR_101,3,94.51,mg,complete
W2,HR_101,5,57.15,mg,complete
W2,HR_101,7,110,mg,complete
W2,HR_112,3,8.54,mg,complete
W2,HR_119,3,,,
W2,HR_119,4,,,
W2,HR_119,5,22.06,mg,incomplete
W2,HR_142,5,415.83,mg,complete
W2,HR_142,6,1085.18,mg,complete
W2,HR_142,8,54.55,mg,complete
W2,HR_145,2,95.57,mg,complete
W2,HR_145,4,95.16,mg,complete
W2,HR_145,6,70.09,mg,complete
W2,HR_146,1,86.67,mg,"complete, Either plant 1 or 7 - both identical envelopes labeled as plant 7"
W2,HR_146,7,158.71,,"complete, Either plant 1 or 7 - both identical envelopes labeled as plant 7"
W2,HR_146,8,139.18,mg,complete
W2,HR_148,1,,,complete
W2,HR_149,2,30.97,mg,complete
W2,HR_149,4,100.25,mg,complete
W2,HR_149,7,91.96,mg,
W2,HR_162,1,6.64,mg,incomplete
W2,HR_162,2,,,incomplete
W2,HR_162,3,64.08,mg,complete
W2,HR_180,2,21.92,mg,complete 
W2,HR_180,4,37.17,mg,complete
W2,HR_180,8,7.04,mg,complete
W2,HR_184,1,53.51,mg,complete
W2,HR_184,5,99.98,mg,complete
W2,HR_184,8,96.35,mg,complete
