Site: Angelo Coast 2021-22,,,,,,,,,,,
Block (1-3),Transect (1-9),Section (A/B),Sequence (1-321),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds plantable 2021,Number seeds per block
1,1,A,1,1,1,1,AC_150,AC_200,110,55,18.33333333
1,1,A,2,1,2,3,AC_102,AC_191,56,28,9.333333333
1,1,A,3,1,3,2,AC_177,AC_107,109,54,18
1,1,A,4,1,4,4,AC_94,AC_109,171,85,28.33333333
1,1,A,5,1,5,1,AC_150,AC_110,205,102,34
1,1,A,6,1,6,5,AC_186,AC_48,100,50,16.66666667
1,1,A,7,1,7,3,AC_15,AC_190,129,64,21.33333333
1,1,A,8,1,8,5,AC_96,AC_74,100,50,16.66666667
1,1,A,9,1,9,7,AC_107,AC_130,38,19,6.333333333
1,1,A,10,1,10,2,AC_207,AC_70,207,103,34.33333333
1,1,A,11,1,11,5,AC_96,AC_181,100,50,16.66666667
1,1,A,12,1,12,5,AC_54,AC_46,100,50,16.66666667
1,1,A,13,1,13,6,AC_52,AC_131,91,45,15
1,1,A,14,1,14,5,AC_64,AC_86,100,50,16.66666667
1,1,A,15,1,15,3,AC_68,AC_56,106,53,17.66666667
1,1,A,16,1,16,3,AC_170,AC_203,31,15,5
1,1,A,17,1,17,5,AC_165,AC_62,96,48,16
1,1,A,18,1,18,3,AC_15,AC_97,119,59,19.66666667
1,1,B,19,1,19,3,AC_68,AC_89,35,17,5.666666667
1,1,B,20,1,20,7,AC_169,AC_120,97,48,16
1,1,B,21,1,21,1,AC_179,AC_136,197,98,32.66666667
1,1,B,22,2,1,2,AC_039,AC_168,150,75,25
1,1,B,23,2,2,7,AC_45,AC_151,92,46,15.33333333
1,1,B,24,2,3,6,AC_195,AC_193,93,46,15.33333333
1,1,B,25,2,4,4,AC_89,AC_57,41,20,6.666666667
1,1,B,26,2,5,6,AC_160,AC_15,98,49,16.33333333
1,1,B,27,2,6,3,AC_161,AC_88,112,56,18.66666667
1,1,B,28,2,7,7,AC_45,AC_96,64,32,10.66666667
1,1,B,29,2,8,5,AC_216,AC_58,100,50,16.66666667
1,1,B,30,2,9,4,AC_91,AC_218,103,51,17
1,1,B,31,2,10,3,AC_170,AC_185,38,19,6.333333333
1,1,B,32,2,11,2,AC_207,AC_55,184,92,30.66666667
1,1,B,33,2,12,4,AC_91,AC_189,103,51,17
1,1,B,34,2,13,1,AC_198,AC_66,181,90,30
1,1,B,35,2,14,5,AC_64,AC_205,100,50,16.66666667
1,1,B,36,2,15,5,AC_96,AC_128,100,50,16.66666667
1,2,A,37,2,16,5,AC_186,AC_153,100,50,16.66666667
1,2,A,38,2,17,5,AC_216,AC_34,100,50,16.66666667
1,2,A,39,2,18,3,AC_8,AC_68,132,66,22
1,2,A,40,2,19,1,AC_150,AC_83,161,80,26.66666667
1,2,A,41,2,20,5,AC_124,AC_14,100,50,16.66666667
1,2,A,42,2,21,4,AC_91,AC_204,116,58,19.33333333
